title, old_name, hint, fen, moves
2步杀, 2步杀600, 马兵胜双士, 1P1k5/4a4/5a3/4N4/9/9/9/9/9/4K4 w, b9c9 d9e9 e6g7
2步杀, 2步杀601, 马兵胜士象, 2bk5/5P3/3a5/2N6/9/9/9/9/9/4K4 w, c6b8 d9d8 e0d0
2步杀, 2步杀602, 马兵胜双士, 3a5/3ka1N2/4P4/9/9/9/9/9/9/4K4 w, g8f6 e8f9 e7d7
2步杀, 2步杀603, 马兵胜双士, 9/3ka4/3aP4/N8/9/9/9/9/4K4/9 w, a6b8 e8d9 e7d7
2步杀, 2步杀604, 马兵胜双士双象, 3a5/4a1P2/4bk3/9/6b2/9/9/7N1/9/4K4 w, h2i4 g5i7 i4h6
2步杀, 2步杀605, 马兵胜双卒双士双象, 3a1kb2/4a1N2/4bP3/9/9/9/9/9/4p1p2/5K3 w, f7f8 f9e9 f8f9
2步杀, 2步杀607, 马兵胜炮卒士象, 3P2bc1/5k3/5a3/9/6N2/9/9/9/3p5/4K4 w, g5h7 f8f9 d9e9
2步杀, 2步杀608, 马兵胜马, 9/4P4/5k3/9/5N3/5n3/9/9/4K4/9 w, f5h6 f4g6 e1e2
2步杀, 2步杀609, 马兵胜马双士, 2N1Pa3/3k5/3n1a3/9/9/9/9/9/3K5/9 w, d1d2 f9e8 c9b7
2步杀, 2步杀610, 马兵胜马双士, 3ak4/4a1P2/9/6n2/2N6/9/9/9/9/4K4 w, c5d7 e9f9 g8g9
2步杀, 2步杀611, 马兵双士胜马双士, 2P1ka3/4a4/1n7/1N7/9/9/9/5A3/9/4KA3 w, b6d7 b7d8 e0e1
3步杀, 2步杀606, 马兵胜炮双士, 3ak1P2/4a4/N8/9/9/9/9/4K4/9/3c5 w, a7c8 d0d8 c8d6 d8d7 d6f7
