name,type_red,type_black,fen,branchs,steps,moves
64局-实战杀局欣赏.xqf,双车炮三兵仕相全,双车马炮卒士象全,C3ka3/4a4/4r1P1b/8p/2b2r3/4c4/P3RnR1P/9/4A4/2BAK1B2 b,1,5,e7g7 g3g7 i7g5 g7g5 f5g5
封阻两肋 中线纵杀.xqf,双车双炮双兵仕相全,双车双炮三卒双士象,3ak1br1/1r2aR3/4R3c/p8/6p2/9/P5P2/1C2B2Cp/4A4/2BAK3c w,1,5,b2c2 b8c8 e2c4 c8c4 c2e2
底部纵断 同步横杀.xqf,双车双马双炮三兵仕相全,双车双马双炮多卒士象全,2bakab2/RC7/2n5c/6R1p/2NP2p2/P8/8P/1pp1B2C1/3rN1c2/rn1AKAB2 w,1,5,c5d7 e9e8 g6e6 e8d8 b8b7
59局-实战杀局欣赏.xqf,双车马炮三兵仕相全,双车双马多卒士象全,2b1kab1r/2R1n4/5a3/p2r2n1p/2pC5/1N3p3/P3P3P/4B4/3R5/3AKAB2 w,1,7,b4c6 g6e7 d5e5 d6d1 c6b8 d1d9 e5e6
单阻二线 闷攻横杀(14).xqf,双车马炮三兵仕相全,双车双马炮三卒士象全,3k1ab2/4a4/3nb4/N1CRp3p/5rp2/2P6/P1n2r2P/4B4/4A4/1R1K1ABc1 w,1,7,a6c7 d9e9 b0b9 e7c9 b9c9 d7c9 d6d9
阻塞纵横 斜闷钳杀(1).xqf,双车马双炮三兵双仕相,双车马双炮三卒士象全,4ka3/4a4/b3b1n2/N1R1C2rp/2p3p2/3R5/2PcP3P/C8/4Ar3/1cBAK4 w,1,7,c6c9 a7c9 d4d9 e9d9 a6b8 d9e9 a2a9
露将四断 同步钳杀.xqf,双车双马炮三兵双仕相,双车双马双炮多卒士双象,1rb1ka3/1R2n4/2RPb4/pN4p1p/4c2c1/4p1B2/P1N4nP/4r4/4A3C/4KA3 w,1,7,b6c8 e9d9 d7d8 d9d8 c7d7 d8d7 c8b6
86局-实战杀局欣赏.xqf,马双兵仕相全,炮士象全,2b1k4/3PaP3/2ca4b/3N5/9/9/9/4B4/4A4/2BA1K3 w,1,9,d6b5 c7c6 b5c7 c6f6 d8e8 d7e8 f8e8 e9f9 f0f1
88局-实战杀局欣赏.xqf,双车双马双炮三兵仕相全,双车双马双炮三卒士象全,2baka3/9/2n1b3c/3Pp3p/9/1NCnP4/4c1p1P/1R1CB2R1/r3Ar3/3AKNB2 b,1,9,a1e1 d0e1 f1e1 e0d0 d4c2 b2c2 e1e0 d0d1 e3d3
94局-实战杀局欣赏.xqf,双车双马双炮多兵仕相全,双车双马双炮多卒士象全,2bakab2/9/2n1c3c/p1N1p3p/1r3n3/2P3pr1/P3P1P1P/R3C1N2/2CR5/2BAKAB2 w,1,9,a2d2 g4g3 c6e7 f5e7 e2e6 f9e8 c1c7 e9f9 d2d9
