name,type_red,type_black,fen,branchs,steps,moves
烂柯神机_当头一喝.xqf,马炮兵,多卒双士,9/3ka4/4Pa3/2p2C3/4N4/9/9/9/3pp2p1/5K3 w,1,1,f6d6
适情雅趣550局_第315局 渴骥饮泉.XQF,车马炮双相,双车马炮三卒士象全,2ba1kbRC/2N1a4/9/4p4/4c1p2/9/9/1p2B1r2/4r1n2/3K2B2 w,1,1,c8e7
适情雅趣550局_第394局 地险兵强.XQF,车兵,车卒,3R5/4r4/5k3/4p4/9/8P/9/4K4/9/9 w,1,1,d9i9
适情雅趣550局_第429局 上陵下替.XQF,马兵,士象全,3k5/5P3/3a1a2b/2N6/6b2/9/9/9/9/3K5 w,1,1,c6e5
适情雅趣550局_第435局 独行千里.XQF,单车,士象全,3k1ab2/4a4/8b/9/9/9/9/9/4K4/8R w,1,1,i0i5
适情雅趣550局_第444局 地网天罗.XQF,炮双兵,双象,2b1C1b2/4PP3/3k5/9/9/9/9/9/9/5K3 w,1,1,f0e0
适情雅趣550局_第447局 茕茕孑立.XQF,双兵,双士,3a5/3Pak3/9/5P3/9/9/9/9/9/4K4 w,1,1,f6e6
适情雅趣550局_第450局 驽驹失厩.XQF,单车,马双士,2R6/3ka4/3a5/3n5/9/9/9/9/9/3K5 w,1,1,c9c6
烂柯神机_善阵善战.xqf,车马炮,车炮双卒象,3k5/6R1C/3c5/6N2/6b2/9/9/9/2r1p1p2/5K3 w,1,3,g6f8 d9d8 g8g9
适情雅趣360局_移星换斗.xqf,双车双炮双相,车马炮双卒士象全,4kab2/4a3C/3rb4/n1R4Cc/5R3/9/9/4B4/3pp4/2B2K3 w,1,3,h6e6 e9d9 e6e8
适情雅趣550局_第118局 多士莫及.XQF,车马双炮三兵仕相全,马炮多卒双士,C4a3/3k4C/2R2a3/2p1pPN2/9/9/2P5P/1cn5B/2p1App2/4KAB2 w,1,3,c7c8 d8d9 a9f9
适情雅趣550局_第144局 清门缵戎.XQF,双车马双炮双仕,车双马炮卒士象全,2b1ka3/4a4/4b3n/3R1N3/6R2/9/9/3C3C1/1nrpA4/1c2KA3 w,1,3,d6d9 e8d9 h2e2
