title, old_name, hint, fen, moves
1步杀, 1步杀1, 兵胜将, 4k4/5P3/9/9/9/9/9/9/3K5/9 w, d1d2
1步杀, 1步杀10, 兵胜马双士象, 3ak1b2/4n1P2/3a5/9/9/9/9/9/9/4K4 w, g8g9
1步杀, 1步杀11, 兵士胜马士双象, 4kab2/3Pn4/4b4/9/9/9/9/9/4A4/3K5 w, d8d9
1步杀, 1步杀12, 兵胜车双士, 5a3/3r1k3/5aP2/9/9/9/9/9/9/4K4 w, g7g8
1步杀, 1步杀13, 双兵胜将, 3k5/4P4/3P5/9/9/9/9/9/9/4K4 w, e8e9
1步杀, 1步杀14, 双兵胜士双象, 4k4/3PaP3/4b4/9/2b6/9/9/9/9/5K3 w, f8e8
1步杀, 1步杀15, 双兵双士象胜士双象, 4k4/3P1P3/3ab4/9/2b6/9/9/4B4/4A4/3A1K3 w, f8f9
1步杀, 1步杀16, 双兵胜炮士, 2P1k4/4cP3/5a3/9/9/9/9/9/9/3K5 w, c9d9
1步杀, 1步杀17, 双兵胜炮双卒士象, 4kab2/3P1P3/4c4/9/9/9/9/9/4p1p2/5K3 w, f8f9
1步杀, 1步杀18, 双兵双士象胜马士象, 3a5/2P6/3kn4/4P4/6b2/9/9/4B4/4A4/3AK4 w, e6d6
1步杀, 1步杀19, 双兵胜马炮三卒, 5k3/4P1n2/5P3/9/9/9/9/9/3p1p3/2p1Kc3 w, e8f8
1步杀, 1步杀2, 兵胜士, 3k5/9/3aP4/9/9/9/9/9/9/3K5 w, e7e8
1步杀, 1步杀3, 兵胜双士, 3ak4/4a1P2/9/9/9/9/9/9/9/4K4 w, g8f8
1步杀, 1步杀4, 兵胜双士, 4ka3/2P1a4/9/9/9/9/9/9/9/4K4 w, c8d8
1步杀, 1步杀5, 兵象胜双士, 3ak1P2/4a4/9/9/9/9/9/4B4/9/4K4 w, e2g4
1步杀, 1步杀6, 兵士胜双士, 4ka3/2P1a4/9/9/9/9/9/5A3/9/4K4 w, c8d8
1步杀, 1步杀7, 兵胜炮士, 3c5/3k5/2Pa5/9/9/9/9/9/9/4K4 w, c7c8
