title, old_name, hint, fen, moves
1步杀, 1步杀100, 双炮胜马炮双士, 3a4n/3k5/3a5/3c5/3C5/9/9/9/4K3C/9 w, i1i8
1步杀, 1步杀102, 双炮士胜马炮三卒双士双象, 2bakab2/9/6n2/6C2/9/4C4/4c4/9/3p1p3/2p1KA3 w, g6e6
1步杀, 1步杀103, 双炮胜双马双士, Cn1ak4/4a4/9/9/9/4n4/4C4/5K3/9/9 w, f2f1
1步杀, 1步杀104, 双炮胜车马双象, 3kr1bC1/3n5/9/9/6b2/6C2/9/9/9/3K5 w, g4g9
1步杀, 1步杀105, 双炮胜车双马双卒双象, 2b3r2/4k4/2nnb4/3C3C1/6p2/9/9/9/4p4/5K3 w, h6e6
1步杀, 1步杀20, 炮士胜将, 3k5/9/9/9/9/9/9/3A5/7C1/4K4 w, h1d1
1步杀, 1步杀21, 炮士胜将, 5k3/9/9/9/9/9/9/9/4A4/4KC3 w, e1f2
1步杀, 1步杀22, 炮胜双士, 3a5/3k1C3/3a5/9/9/9/9/9/9/3K5 w, d0e0
1步杀, 1步杀23, 炮胜双士, 4ka3/4a4/9/9/9/9/9/7C1/9/4K4 w, h2h9
1步杀, 1步杀24, 炮胜双士, 5a3/5k3/5a3/9/9/2C6/9/9/9/4K4 w, c4c8
1步杀, 1步杀25, 炮胜双士, 5a3/5k3/5a3/9/9/9/9/3C5/9/4K4 w, d2d8
1步杀, 1步杀26, 炮胜双士象, 3ak4/4a4/4b4/9/9/6C2/9/9/9/5K3 w, g4e4
1步杀, 1步杀27, 炮胜双士象, 4ka3/4a4/4b4/9/9/9/9/9/4K4/4C4 w, e1d1
1步杀, 1步杀28, 炮士胜双士, 4ka3/4a4/9/9/9/9/9/9/3KA4/4C4 w, d1d2
1步杀, 1步杀29, 炮士胜卒, 5k3/9/9/9/9/5C3/9/5A3/5p3/4K4 w, f4f1
1步杀, 1步杀30, 炮士胜炮双士, 3ak4/4a4/4c4/9/9/9/9/4C4/5K3/3A5 w, e2e6
1步杀, 1步杀31, 炮双士胜炮双士, 4ka3/4a4/1c7/9/9/6C2/9/9/4A4/3AK4 w, g4g9
1步杀, 1步杀32, 炮双士胜炮双士, 4ka3/4a4/9/6C2/9/2c6/9/3A5/4A4/4K4 w, g6g9
1步杀, 1步杀33, 炮双士胜炮双士, 9/3ka4/3a5/6C2/9/9/6c2/9/4A4/4KA3 w, g6d6
1步杀, 1步杀34, 炮胜马双士, 3ak4/4a4/9/4n4/7C1/9/9/9/9/5K3 w, h5e5
1步杀, 1步杀35, 炮胜马双士, 3ak4/4a4/9/9/4n4/4C4/9/9/9/4K4 w, e0f0
1步杀, 1步杀36, 炮胜马双士, 4ka3/4n4/3a5/9/C8/9/9/9/9/4K4 w, a5d5
1步杀, 1步杀37, 炮胜马双士象, 3ak4/4n4/3ab4/7C1/9/9/9/9/5K3/9 w, h6e6
1步杀, 1步杀38, 炮士胜马双卒, 3k5/9/9/9/9/9/9/3A2n2/1C3p3/2p1K4 w, b1d1
1步杀, 1步杀39, 炮胜马炮双士, 3a5/3kacC2/3n5/9/9/9/9/9/9/4K4 w, e0d0
1步杀, 1步杀40, 炮胜马炮双士, 3a5/3knc3/3a5/9/9/9/9/6C2/4K4/9 w, g2g8
1步杀, 1步杀41, 炮士胜马炮双士, 9/4an3/3a1k3/c8/9/9/9/5A3/2C6/4K4 w, c1c7
1步杀, 1步杀42, 炮士双象胜马炮双象, 2b1k4/4n4/c3b4/1C7/9/9/9/4B4/4A4/4K1B2 w, b6b9
1步杀, 1步杀43, 炮胜双马双士, 5a3/C1n1ak3/5n3/9/9/9/9/9/9/4K4 w, e0f0
1步杀, 1步杀44, 炮双士象胜双马炮双卒双象, 2b1knc2/9/4b4/C8/2p3p2/9/2n6/9/4A4/3K1AB2 w, a6e6
1步杀, 1步杀45, 炮双象胜车双马炮双士, 3aka3/4n4/9/9/9/9/9/B8/n2CK4/rcB6 w, d1b1
1步杀, 1步杀92, 双炮胜双士双象, 4kab1C/4a4/4b4/C8/9/9/9/9/3K5/9 w, a6e6
1步杀, 1步杀93, 双炮双士象胜双炮双士双象, 2bakab2/9/9/4C4/9/7C1/7c1/4B4/4A4/3AK3c w, h4e4
1步杀, 1步杀94, 双炮双士双象胜双炮双士双象, 2bakab2/9/9/6C2/9/4C4/7c1/4B4/4A4/2BAK3c w, g6e6
1步杀, 1步杀95, 双炮双士双象胜双炮双士双象, 3ak1b2/4a4/4b4/4C4/9/2C6/9/4B2c1/4A4/2BAK3c w, c4c9
1步杀, 1步杀96, 双炮胜马双士, 3ak1CnC/4a4/9/9/9/9/9/9/9/4K4 w, g9f9
1步杀, 1步杀97, 双炮胜马双士双象, 1Cbnkab2/4a4/9/7C1/9/9/9/9/9/4K4 w, h6h9
1步杀, 1步杀98, 双炮胜马双士双象, 3akC3/4a4/4n3b/4C4/6b2/9/9/9/9/5K3 w, f9i9
1步杀, 1步杀99, 双炮胜马双卒士, 9/2C2k3/5a3/C8/9/9/9/6n2/3p1p3/4K4 w, a6f6
2步杀, 1步杀101, 双炮士胜马炮双士, 3a5/3k5/3n1a3/3c5/3C5/9/9/5A3/7C1/4K4 w, h1d1 d9e8 d1d6
2步杀, 2步杀507, 炮胜马双士象, 2baka3/4n4/9/9/9/9/9/2C6/4K4/9 w, c2h2 c9e7 h2e2
2步杀, 2步杀508, 炮象胜马双士象, 3aka3/4n4/b8/9/9/9/9/4B4/2C6/4K4 w, e2c4 a7c5 c1c5
2步杀, 2步杀509, 炮士胜双马双士, 3aka3/4n1n2/9/9/9/9/9/9/9/3AK1C2 w, g0g6 g8e7 g6e6
2步杀, 2步杀557, 双炮胜将, 4k4/8C/9/9/9/9/9/9/4C4/4K4 w, e1e8 e9d9 e8h8
2步杀, 2步杀558, 双炮胜双士双象, 2b1ka3/4a4/4b4/9/9/9/9/C8/3K5/4C4 w, a2e2 c9a7 e0e7
2步杀, 2步杀559, 双炮胜双士双象, 3ak4/4a4/4b4/9/2b6/4C4/9/4C4/9/5K3 w, f0f1 c5a7 e2e7
2步杀, 2步杀560, 双炮胜炮双士, 9/4ak3/3a1c3/9/9/9/9/5K3/4C4/5C3 w, f2e2 f7g7 e1f1
2步杀, 2步杀561, 双炮士象胜炮双士双象, 1Cbak4/4a4/4c4/4C4/2b6/2B6/9/9/4A4/5K3 w, c4e2 c5a7 b9b6
2步杀, 2步杀562, 双炮双士双象胜炮双士双象, 2bcka3/4a4/4b4/4C4/9/6B2/9/5A2B/3KA4/2C6 w, c0h0 d9d8 h0h9
2步杀, 2步杀563, 双炮士双象胜双炮双士, 4ka1cC/4a4/4c4/9/9/6B2/9/8B/3K5/4CA3 w, e0e6 h9g9 i9h9
2步杀, 2步杀564, 双炮胜马双士, 3aka3/9/9/4C4/4n4/9/9/4C4/9/4K4 w, e6e8 d9e8 e0d0
2步杀, 2步杀565, 双炮胜马双士, 4ka3/1C1na4/9/9/9/C8/9/9/9/4K4 w, a4g4 d8c6 g4g9
2步杀, 2步杀566, 双炮胜马双士双象, 2bak4/4a4/b3n4/9/9/9/9/9/4CK3/5C3 w, f0c0 a7c5 c0c9
2步杀, 2步杀567, 双炮胜马三卒象, 2b2k3/5n3/1C7/9/9/9/9/9/4p1p2/2Cp1K3 w, b7b9 c9e7 c0c9
2步杀, 2步杀568, 双炮胜马炮象, C4k3/5n3/c3b4/9/9/9/9/3C5/9/5K3 w, d2d9 e7c9 d9d8
2步杀, 2步杀569, 双炮象胜双马双士象, 4kab2/4n4/4na3/9/9/6B2/9/4C4/4K4/4C4 w, e1d1 g9i7 e0e7
2步杀, 2步杀570, 双炮双象胜双马双士象, 4ka3/4n4/4ban2/4C4/9/9/9/4B4/7C1/3K2B2 w, h1h7 g7f5 h7h9
2步杀, 2步杀571, 双炮胜车双士双象, 2baka3/5r1C1/4b4/8C/9/9/9/9/9/4K4 w, i6i9 f9e8 h8h9
2步杀, 2步杀572, 双炮胜车卒双士象, 4kabrC/4a4/9/6p2/9/6C2/9/9/9/3K5 w, i9g9 h9g9 g4g9
2步杀, 2步杀573, 双炮士象胜车卒双士双象, 2b2a3/3k5/3ab4/4C4/9/2C6/2r6/4B4/5p3/3AK4 w, c4d4 d7e8 e6d6
2步杀, 2步杀574, 双炮胜车炮卒双士象, 3cka3/4a4/8b/6C2/9/6C2/9/9/3r1p3/4K4 w, g6e6 e8f7 g4e4
2步杀, 2步杀575, 双炮胜车双炮双象, 3ckcb2/9/4b2Cr/9/9/7C1/9/9/9/4K4 w, h4e4 e7c9 h7e7
2步杀, 2步杀576, 双炮胜车马双士, 3a5/3kn4/3a5/3rCC3/9/9/9/9/9/4K4 w, f6f8 e8f6 e6e8
2步杀, 2步杀577, 双炮士胜车马双象, 1C3k3/5n3/r3b4/9/2b6/9/9/9/5K3/3C1A3 w, d0d9 e7c9 d9d8
2步杀, 2步杀578, 双炮胜车双马炮卒双士双象, 2bakabr1/3cn4/5Cn2/6C2/9/9/9/9/5p3/4K4 w, g6g9 h9g9 f7e7
2步杀, 2步杀579, 双炮象胜双车双士双象, 2bak4/4a4/4b4/9/9/2B6/2C6/9/3rr4/2C2K3 w, c3c9 e7c9 c0c9
2步杀, 2步杀580, 双炮象胜双车双士双象, 3ak1b2/4a4/4b4/9/9/2B6/9/1C7/3rr4/2C2K3 w, b2b9 e7c9 c0c9
2步杀, 2步杀581, 双炮胜双车马双象, 3n1kb2/C1Cr5/4b4/9/9/9/9/9/3r5/4K4 w, c8c9 d9f8 a8a9
2步杀, 2步杀582, 双炮胜双车马士双象, 3n1kb2/2Cra1rC1/8b/9/9/9/9/9/9/4K4 w, c8c9 d9f8 h8h9
3步杀, 3步杀1405, 双炮胜双士, 2Ca5/4ak3/9/C8/9/9/9/9/9/4K4 w, a6f6 f8f7 c9c1 f7f8 c1f1
3步杀, 3步杀1406, 双炮胜双士, 4k4/4a4/3a5/9/9/9/9/4K4/3C5/5C3 w, d1d6 e9f9 d6e6 f9f8 e6f6
3步杀, 3步杀1407, 双炮胜双士, 9/4ak3/3a5/9/9/6C2/9/9/4C4/4K4 w, g4f4 f8f9 f4f0 f9f8 e1f1
3步杀, 3步杀1408, 双炮士胜双象, 2b6/3k5/9/4C4/2b6/9/9/3AK4/7C1/9 w, e6d6 d8d7 d6i6 c9e7 h1d1
3步杀, 3步杀1409, 双炮胜双士双象, 4ka3/4a4/4b3b/9/9/9/9/9/2C1K4/4C4 w, e1d1 i7g9 c1c7 g9i7 c7i7
3步杀, 3步杀1410, 双炮胜炮双士, 5a3/C4k3/5a3/9/9/9/9/2c6/4C4/4K4 w, e1e8 c2c8 e8d8 c8b8 d8c8
3步杀, 3步杀1412, 双炮胜炮双士双象, 4kab2/4a4/4c4/9/6b2/C8/9/9/3K5/4C4 w, a4g4 g9i7 e0e6 i7g9 g4g9
3步杀, 3步杀1413, 双炮士胜双炮象, 2b2k3/5c3/cC7/9/9/9/9/3C5/4A4/4K4 w, b7b9 c9e7 d2d9 e7c9 d9d8
3步杀, 3步杀1414, 双炮胜马, 9/3k5/9/9/9/9/9/9/1n1CK4/5C3 w, f0f4 b1c3 d1d3 d8d7 f4d4
3步杀, 3步杀1415, 双炮胜马双士象, 4kan2/4a4/4b1C2/9/9/9/9/9/3K5/4C4 w, g7g1 g9f7 g1e1 f7e5 e0e5
3步杀, 3步杀1416, 双炮胜马士双象, 5kb2/5n3/5a2b/9/9/9/9/1C7/9/4K2C1 w, b2f2 i7g5 h0h9 g9i7 f2f6
3步杀, 3步杀1418, 双炮双士双象胜马炮卒双士双象, 4ka3/4a4/4b1n2/4c1C2/6b2/2B3B2/9/3A4C/2p1A4/3K5 w, i2i9 g7h9 g6g9 e7g9 i9g9
3步杀, 3步杀1419, 双炮胜马炮双卒象, 2b2k3/5n3/c8/9/9/9/9/1C1C5/4p1p2/5K3 w, b2b9 c9e7 d2d9 e7c9 d9d8
3步杀, 3步杀1420, 双炮双士胜马炮双卒双士, 5n3/3ka4/3a5/8p/5CC1c/9/9/3A5/5p3/4KA3 w, f5f8 d8d9 g5g9 f9d8 f8f9
3步杀, 3步杀1421, 双炮双士胜马炮三卒双士, 5n3/3ka4/3a5/8p/5CC1c/9/9/3A5/5pp2/4KA3 w, f5f8 d8d9 g5g9 f9d8 f8f9
3步杀, 3步杀1422, 双炮胜马双炮卒象, 2b2k3/5c3/cC7/9/9/9/7n1/3C5/4p4/5K3 w, b7b9 c9e7 d2d9 e7c9 d9d8
3步杀, 3步杀1423, 双炮胜双马双士, 3k1a3/3na4/3n5/3C5/9/9/9/1C7/9/4K4 w, b2d2 d9e9 d6g6 d7c5 g6g9
3步杀, 3步杀1424, 双炮胜双马炮双士, 3nka3/1n2a1c2/6C2/9/9/3C5/9/9/9/4K4 w, d4d8 g8g9 g7c7 b8c6 c7c9
3步杀, 3步杀1425, 双炮双士胜双马炮双士, 3c1n3/3k1n3/3a1a3/9/9/9/9/3A5/3CAK3/4C4 w, e1f2 f8h7 d2e1 d7e8 e0d0
3步杀, 3步杀1426, 双炮胜车炮卒士, 2Ca5/3ck4/C2r5/9/9/9/9/9/4p4/5K3 w, c9c8 e8e9 a7a9 d9e8 c8c9
3步杀, 3步杀1427, 双炮胜车炮卒士, 5aC2/4kc3/5r2C/9/9/9/9/9/4p4/3K5 w, g9g8 e8e9 i7i9 f9e8 g8g9
3步杀, 3步杀1428, 双炮双象胜车马卒双士双象, 2b1ka3/4a4/4b1n2/6C1C/9/9/9/4B4/3p1r3/4K1B2 w, i6i9 g7h9 g6g9 e7g9 i9g9
3步杀, 4步杀1373, 炮双士象胜马卒, 3k3C1/9/9/9/6p2/9/9/3AK3B/4A3n/9 w, h9h1 d9d8 e1f2 d8d9 h1d1
3步杀, 5步杀1417, 双炮双士双象胜马双士双象, 3aka3/4n4/4b3b/9/9/4C4/9/3AK4/4A4/2BC2B2 w, g0i2 i7g5 d0i0 g5i7 i0i7
4步杀, 4步杀1411, 双炮胜炮双士象, 2bak4/4a4/4c4/9/9/9/9/9/4C1C2/5K3 w, e1e6 c9a7 g1e1 a7c9 e1e7 c9e7 f0f1
4步杀, 4步杀2964, 炮士胜卒双士, 3a5/3k5/3a5/9/9/2C6/9/3AK4/3p5/9 w, c4d4 d7e8 d4d1 e8d7 d1d0 d9e8 d2e1
4步杀, 4步杀2965, 炮士胜卒双士, 5a3/5k3/5a3/9/9/6C2/9/4KA3/5p3/9 w, g4f4 f7e8 f4f1 e8f7 f1f0 f9e8 f2e1
