13步杀9089,3ak4/3nan3/5C3/9/9/9/9/9/4KC3/9 w
14步杀9387,5k3/9/9/C8/9/2n6/9/3A1A3/3K5/9 w
1步杀100,3a4n/3k5/3a5/3c5/3C5/9/9/9/4K3C/9 w
1步杀101,3a5/3k5/3n1a3/3c5/3C5/9/9/5A3/7C1/4K4 w
1步杀102,2bakab2/9/6n2/6C2/9/4C4/4c4/9/3p1p3/2p1KA3 w
1步杀103,Cn1ak4/4a4/9/9/9/4n4/4C4/5K3/9/9 w
1步杀104,3kr1bC1/3n5/9/9/6b2/6C2/9/9/9/3K5 w
1步杀105,2b3r2/4k4/2nnb4/3C3C1/6p2/9/9/9/4p4/5K3 w
1步杀20,3k5/9/9/9/9/9/9/3A5/7C1/4K4 w
1步杀21,5k3/9/9/9/9/9/9/9/4A4/4KC3 w
1步杀22,3a5/3k1C3/3a5/9/9/9/9/9/9/3K5 w
1步杀23,4ka3/4a4/9/9/9/9/9/7C1/9/4K4 w
1步杀24,5a3/5k3/5a3/9/9/2C6/9/9/9/4K4 w
1步杀25,5a3/5k3/5a3/9/9/9/9/3C5/9/4K4 w
1步杀26,3ak4/4a4/4b4/9/9/6C2/9/9/9/5K3 w
1步杀27,4ka3/4a4/4b4/9/9/9/9/9/4K4/4C4 w
1步杀28,4ka3/4a4/9/9/9/9/9/9/3KA4/4C4 w
1步杀29,5k3/9/9/9/9/5C3/9/5A3/5p3/4K4 w
1步杀30,3ak4/4a4/4c4/9/9/9/9/4C4/5K3/3A5 w
1步杀31,4ka3/4a4/1c7/9/9/6C2/9/9/4A4/3AK4 w
1步杀32,4ka3/4a4/9/6C2/9/2c6/9/3A5/4A4/4K4 w
1步杀33,9/3ka4/3a5/6C2/9/9/6c2/9/4A4/4KA3 w
1步杀34,3ak4/4a4/9/4n4/7C1/9/9/9/9/5K3 w
1步杀35,3ak4/4a4/9/9/4n4/4C4/9/9/9/4K4 w
1步杀36,4ka3/4n4/3a5/9/C8/9/9/9/9/4K4 w
1步杀37,3ak4/4n4/3ab4/7C1/9/9/9/9/5K3/9 w
1步杀38,3k5/9/9/9/9/9/9/3A2n2/1C3p3/2p1K4 w
1步杀39,3a5/3kacC2/3n5/9/9/9/9/9/9/4K4 w
1步杀40,3a5/3knc3/3a5/9/9/9/9/6C2/4K4/9 w
1步杀41,9/4an3/3a1k3/c8/9/9/9/5A3/2C6/4K4 w
1步杀42,2b1k4/4n4/c3b4/1C7/9/9/9/4B4/4A4/4K1B2 w
1步杀43,5a3/C1n1ak3/5n3/9/9/9/9/9/9/4K4 w
1步杀44,2b1knc2/9/4b4/C8/2p3p2/9/2n6/9/4A4/3K1AB2 w
1步杀45,3aka3/4n4/9/9/9/9/9/B8/n2CK4/rcB6 w
1步杀92,4kab1C/4a4/4b4/C8/9/9/9/9/3K5/9 w
1步杀93,2bakab2/9/9/4C4/9/7C1/7c1/4B4/4A4/3AK3c w
1步杀94,2bakab2/9/9/6C2/9/4C4/7c1/4B4/4A4/2BAK3c w
1步杀95,3ak1b2/4a4/4b4/4C4/9/2C6/9/4B2c1/4A4/2BAK3c w
1步杀96,3ak1CnC/4a4/9/9/9/9/9/9/9/4K4 w
1步杀97,1Cbnkab2/4a4/9/7C1/9/9/9/9/9/4K4 w
1步杀98,3akC3/4a4/4n3b/4C4/6b2/9/9/9/9/5K3 w
1步杀99,9/2C2k3/5a3/C8/9/9/9/6n2/3p1p3/4K4 w
2步杀507,2baka3/4n4/9/9/9/9/9/2C6/4K4/9 w
2步杀508,3aka3/4n4/b8/9/9/9/9/4B4/2C6/4K4 w
2步杀509,3aka3/4n1n2/9/9/9/9/9/9/9/3AK1C2 w
2步杀557,4k4/8C/9/9/9/9/9/9/4C4/4K4 w
2步杀558,2b1ka3/4a4/4b4/9/9/9/9/C8/3K5/4C4 w
2步杀559,3ak4/4a4/4b4/9/2b6/4C4/9/4C4/9/5K3 w
2步杀560,9/4ak3/3a1c3/9/9/9/9/5K3/4C4/5C3 w
2步杀561,1Cbak4/4a4/4c4/4C4/2b6/2B6/9/9/4A4/5K3 w
2步杀562,2bcka3/4a4/4b4/4C4/9/6B2/9/5A2B/3KA4/2C6 w
2步杀563,4ka1cC/4a4/4c4/9/9/6B2/9/8B/3K5/4CA3 w
2步杀564,3aka3/9/9/4C4/4n4/9/9/4C4/9/4K4 w
2步杀565,4ka3/1C1na4/9/9/9/C8/9/9/9/4K4 w
2步杀566,2bak4/4a4/b3n4/9/9/9/9/9/4CK3/5C3 w
2步杀567,2b2k3/5n3/1C7/9/9/9/9/9/4p1p2/2Cp1K3 w
2步杀568,C4k3/5n3/c3b4/9/9/9/9/3C5/9/5K3 w
2步杀569,4kab2/4n4/4na3/9/9/6B2/9/4C4/4K4/4C4 w
2步杀570,4ka3/4n4/4ban2/4C4/9/9/9/4B4/7C1/3K2B2 w
2步杀571,2baka3/5r1C1/4b4/8C/9/9/9/9/9/4K4 w
2步杀572,4kabrC/4a4/9/6p2/9/6C2/9/9/9/3K5 w
2步杀573,2b2a3/3k5/3ab4/4C4/9/2C6/2r6/4B4/5p3/3AK4 w
2步杀574,3cka3/4a4/8b/6C2/9/6C2/9/9/3r1p3/4K4 w
2步杀575,3ckcb2/9/4b2Cr/9/9/7C1/9/9/9/4K4 w
2步杀576,3a5/3kn4/3a5/3rCC3/9/9/9/9/9/4K4 w
2步杀577,1C3k3/5n3/r3b4/9/2b6/9/9/9/5K3/3C1A3 w
2步杀578,2bakabr1/3cn4/5Cn2/6C2/9/9/9/9/5p3/4K4 w
2步杀579,2bak4/4a4/4b4/9/9/2B6/2C6/9/3rr4/2C2K3 w
2步杀580,3ak1b2/4a4/4b4/9/9/2B6/9/1C7/3rr4/2C2K3 w
2步杀581,3n1kb2/C1Cr5/4b4/9/9/9/9/9/3r5/4K4 w
2步杀582,3n1kb2/2Cra1rC1/8b/9/9/9/9/9/9/4K4 w
3步杀1405,2Ca5/4ak3/9/C8/9/9/9/9/9/4K4 w
3步杀1406,4k4/4a4/3a5/9/9/9/9/4K4/3C5/5C3 w
3步杀1407,9/4ak3/3a5/9/9/6C2/9/9/4C4/4K4 w
3步杀1408,2b6/3k5/9/4C4/2b6/9/9/3AK4/7C1/9 w
3步杀1409,4ka3/4a4/4b3b/9/9/9/9/9/2C1K4/4C4 w
3步杀1410,5a3/C4k3/5a3/9/9/9/9/2c6/4C4/4K4 w
3步杀1412,4kab2/4a4/4c4/9/6b2/C8/9/9/3K5/4C4 w
3步杀1413,2b2k3/5c3/cC7/9/9/9/9/3C5/4A4/4K4 w
3步杀1414,9/3k5/9/9/9/9/9/9/1n1CK4/5C3 w
3步杀1415,4kan2/4a4/4b1C2/9/9/9/9/9/3K5/4C4 w
3步杀1416,5kb2/5n3/5a2b/9/9/9/9/1C7/9/4K2C1 w
3步杀1418,4ka3/4a4/4b1n2/4c1C2/6b2/2B3B2/9/3A4C/2p1A4/3K5 w
3步杀1419,2b2k3/5n3/c8/9/9/9/9/1C1C5/4p1p2/5K3 w
3步杀1420,5n3/3ka4/3a5/8p/5CC1c/9/9/3A5/5p3/4KA3 w
3步杀1421,5n3/3ka4/3a5/8p/5CC1c/9/9/3A5/5pp2/4KA3 w
3步杀1422,2b2k3/5c3/cC7/9/9/9/7n1/3C5/4p4/5K3 w
3步杀1423,3k1a3/3na4/3n5/3C5/9/9/9/1C7/9/4K4 w
3步杀1424,3nka3/1n2a1c2/6C2/9/9/3C5/9/9/9/4K4 w
3步杀1425,3c1n3/3k1n3/3a1a3/9/9/9/9/3A5/3CAK3/4C4 w
3步杀1426,2Ca5/3ck4/C2r5/9/9/9/9/9/4p4/5K3 w
3步杀1427,5aC2/4kc3/5r2C/9/9/9/9/9/4p4/3K5 w
3步杀1428,2b1ka3/4a4/4b1n2/6C1C/9/9/9/4B4/3p1r3/4K1B2 w
4步杀1373,3k3C1/9/9/9/6p2/9/9/3AK3B/4A3n/9 w
4步杀1411,2bak4/4a4/4c4/9/9/9/9/9/4C1C2/5K3 w
4步杀2964,3a5/3k5/3a5/9/9/2C6/9/3AK4/3p5/9 w
4步杀2965,5a3/5k3/5a3/9/9/6C2/9/4KA3/5p3/9 w
4步杀2989,3a1k3/9/3a5/9/4C4/9/9/3K5/9/5C3 w
4步杀2990,3akn3/1c2a2n1/5C3/9/9/5C3/9/9/9/4K4 w
5步杀1417,3aka3/4n4/4b3b/9/9/4C4/9/3AK4/4A4/2BC2B2 w
5步杀4500,3aka3/9/4c4/6C2/8C/9/9/9/3pp2p1/5K3 w
5步杀4501,2c3c2/4k4/b2a1a3/7C1/2b6/2B6/9/9/4C4/4K4 w
5步杀4502,2bakab2/4n4/9/9/9/9/9/9/9/2C1K1C2 w
6步杀4499,3k5/4a4/5a3/9/9/9/9/5K3/4C4/3C5 w
6步杀5825,3a1a3/3k1C3/8b/9/6b2/7C1/9/9/9/4K4 w
6步杀5826,3a1a3/3k1C3/8b/9/6b2/9/9/7C1/9/4K4 w
7步杀6947,9/4ak3/3a5/9/9/9/9/3K5/C8/2C6 w
