title, old_name, hint, fen, moves
1步杀, 1步杀325, 车兵胜马炮卒, 9/2P6/3k5/9/9/9/9/7c1/3p5/1R2K2n1 w, b0b7
1步杀, 1步杀326, 车兵胜车, 2P1R4/3k5/9/9/9/9/9/4K4/3r5/9 w, e9d9
1步杀, 1步杀327, 车兵胜车卒象, 3R2b2/9/5k3/4P4/9/9/9/9/3p1r3/4K4 w, d9f9
1步杀, 1步杀328, 车兵象胜车卒, 4k4/5P3/9/9/9/9/9/1rp1B4/9/3KR4 w, e2c4
1步杀, 1步杀329, 车兵胜车卒双士, 3ak4/4aP3/9/9/9/5R3/9/9/3r1p3/4K4 w, f8f9
1步杀, 1步杀330, 车兵胜双车马, 9/3k5/9/1n1P5/3R5/9/9/9/1r5r1/4K4 w, d6c6
1步杀, 1步杀486, 双车兵双士象胜双车卒士双象, 2b1k1r2/3RaR3/4b4/8p/9/8P/7r1/4B4/4A4/3A1K3 w, f8e8
2步杀, 2步杀1270, 双车兵双士胜车马炮卒士双象, 4ka3/2R1n4/b8/9/2b6/9/2P4R1/5A3/3p5/cr1AK4 w, c8e8 f9e8 h3h9
2步杀, 2步杀1271, 双车兵双士双象胜双车炮双士象, 2b1ka3/4a2R1/9/9/1P7/9/9/B3R4/3r5/crBAKA3 w, e2e8 f9e8 h8h9
2步杀, 2步杀826, 车兵胜双士, 7R1/9/2Paka3/9/9/9/9/9/5K3/9 w, h9e9 d7e8 f1f2
2步杀, 2步杀827, 车兵双士象胜双士, 5a3/9/3k1a3/9/9/6P2/9/5A2B/4K3R/5A3 w, e1e0 f9e8 i1d1
2步杀, 2步杀828, 车兵士胜马炮双士, 3P1k3/4a3R/3a5/9/9/9/1c7/9/9/2n1KA3 w, d9e9 f9e9 i8i9
2步杀, 2步杀830, 车兵士胜车双象, 2bk2b2/4P4/3r5/4R4/9/9/9/9/4K4/5A3 w, e8e9 d9d8 e6e8
2步杀, 2步杀832, 车兵胜车卒象, 3k2b2/4P4/3r5/9/9/4R4/9/9/5p3/4K4 w, e8e9 d9d8 e4e8
2步杀, 2步杀833, 车兵胜车卒双士, 3a1k3/7P1/5a3/9/9/9/4R4/9/2rp5/4K4 w, e3e9 f9f8 h8g8
2步杀, 2步杀834, 车兵胜车卒双士, 3a5/4ak3/6P2/7R1/9/9/9/9/3r1p3/4K4 w, h6f6 e8f7 f6f7
2步杀, 2步杀836, 车兵胜车卒双士, 4ka3/3Pa4/9/9/9/6R2/9/9/2r2p3/4K4 w, d8e8 f9e8 g4g9
2步杀, 2步杀838, 车兵胜车卒双士双象, 2ba1k3/4a1P2/4b4/9/9/7R1/9/9/1r2p4/3K5 w, h4h9 e7g9 h9g9
