1步杀325,9/2P6/3k5/9/9/9/9/7c1/3p5/1R2K2n1 w
1步杀326,2P1R4/3k5/9/9/9/9/9/4K4/3r5/9 w
1步杀327,3R2b2/9/5k3/4P4/9/9/9/9/3p1r3/4K4 w
1步杀328,4k4/5P3/9/9/9/9/9/1rp1B4/9/3KR4 w
1步杀329,3ak4/4aP3/9/9/9/5R3/9/9/3r1p3/4K4 w
1步杀330,9/3k5/9/1n1P5/3R5/9/9/9/1r5r1/4K4 w
1步杀486,2b1k1r2/3RaR3/4b4/8p/9/8P/7r1/4B4/4A4/3A1K3 w
2步杀1270,4ka3/2R1n4/b8/9/2b6/9/2P4R1/5A3/3p5/cr1AK4 w
2步杀1271,2b1ka3/4a2R1/9/9/1P7/9/9/B3R4/3r5/crBAKA3 w
2步杀826,7R1/9/2Paka3/9/9/9/9/9/5K3/9 w
2步杀827,5a3/9/3k1a3/9/9/6P2/9/5A2B/4K3R/5A3 w
2步杀828,3P1k3/4a3R/3a5/9/9/9/1c7/9/9/2n1KA3 w
2步杀829,3P1k3/4a4/5a3/9/9/7R1/9/9/5r3/4K4 w
2步杀830,2bk2b2/4P4/3r5/4R4/9/9/9/9/4K4/5A3 w
2步杀831,r2a1k3/4a4/6PR1/9/9/9/9/9/9/2B1K4 w
2步杀832,3k2b2/4P4/3r5/9/9/4R4/9/9/5p3/4K4 w
2步杀833,3a1k3/7P1/5a3/9/9/9/4R4/9/2rp5/4K4 w
2步杀834,3a5/4ak3/6P2/7R1/9/9/9/9/3r1p3/4K4 w
2步杀835,3P1k3/4a4/5a3/9/9/6R2/9/9/2r2p3/4K4 w
2步杀836,4ka3/3Pa4/9/9/9/6R2/9/9/2r2p3/4K4 w
2步杀837,2bP1k3/4a4/5a3/6R2/9/9/9/2r6/5p3/4K4 w
2步杀838,2ba1k3/4a1P2/4b4/9/9/7R1/9/9/1r2p4/3K5 w
2步杀839,9/3k5/r3P4/9/4R4/p5B2/3p2p2/9/9/3AKAB2 w
2步杀840,3a1k3/3c5/5P3/3R5/9/9/9/9/3p3r1/4K4 w
2步杀841,7R1/5k3/4Pa3/9/9/9/9/6n2/3r5/4K4 w
2步杀842,R2akr3/3Pa4/2n6/9/9/9/9/9/9/3AK4 w
2步杀843,4ka3/3Pa4/9/6R2/9/9/9/2nA5/7r1/4KA3 w
2步杀844,3ak4/9/4P4/9/2R6/9/9/6n2/3p5/2B1KAr2 w
2步杀845,2ba4R/4nk3/4ba3/5P3/9/9/9/9/1r1p5/4KA3 w
2步杀846,2bk1ab2/2P4R1/1n3a3/9/9/9/9/9/5p3/r2AK1B2 w
2步杀847,2bk2br1/2P3R2/9/2n6/9/9/9/9/2c2p3/4K4 w
2步杀848,9/3na4/b2kb2R1/4P4/5n3/9/9/4B4/r3p4/5KB2 w
2步杀849,5kb2/4P1R2/3n4b/9/9/9/9/3A1A3/1c5r1/2n1K1B2 w
2步杀850,3P1k3/4r4/9/6R2/9/9/4r4/9/9/3K5 w
2步杀851,2bkr4/2P1R4/4b4/9/9/9/3r5/9/9/4K4 w
2步杀852,3rkab2/3Pa4/9/6R2/6b2/9/9/9/3r5/4K4 w
2步杀853,3rk1b2/3PaR3/2n1b4/9/9/9/9/9/4r4/5K3 w
2步杀854,4R4/3n2P2/3a1k3/4P4/3n5/5c3/9/9/4p4/3p1K3 w
2步杀855,6b2/3Pak3/9/6P2/6b2/2B3B2/9/6n2/5r3/1R2K4 w
2步杀856,2b6/3P1k3/4R4/5c2p/9/9/P2nP3P/4B4/3r5/5KB2 w
3步杀1815,3ak4/4a1P2/9/5r3/9/9/7R1/9/9/3AK4 w
3步杀1816,3k5/1P2R4/9/9/9/9/9/9/3p3r1/4K4 w
3步杀1817,3k2b2/5P3/9/9/9/4R4/9/9/3r1p3/4K4 w
3步杀1818,4k4/9/9/p7p/2P2R3/r8/9/4B4/9/2B1K4 w
3步杀1819,3a5/4a4/3k5/4p4/1R1P5/9/9/4B4/4p1r2/5K3 w
3步杀1820,3k5/4P4/3a5/9/9/4c3r/4R4/4B4/9/3K2B2 w
3步杀1821,2b6/3c1k3/4ba3/5P3/9/7R1/2r6/9/3p5/4K4 w
3步杀1822,2ba5/4ak3/4b1P2/9/9/7R1/9/4B4/3rAp3/1cBAK4 w
3步杀1823,2bk1a3/2R1a4/3Pb4/9/9/9/9/6n2/3p1r3/4K4 w
3步杀1824,4R2r1/5k3/4P4/9/9/9/9/5A1r1/9/2B1KAB2 w
3步杀1825,9/1R1P1k3/9/4p1P2/6b2/9/4p4/9/3p1pp2/4K4 w
3步杀1826,5k3/3R5/9/4PP3/9/2r6/9/3p5/4p4/3K5 w
3步杀1827,9/4k4/2RP5/5P3/9/9/7r1/5p3/4p4/5K3 w
3步杀1828,2P6/3k5/5a3/4PR3/9/6B2/5p3/3AB4/r1n1A4/1p3K3 w
3步杀1829,2b1ka3/3PaP3/4b4/9/8R/9/9/2n1BA3/1r3pp2/4KAB2 w
3步杀1830,2b1k1c2/2PPa1R2/4b4/5r3/9/9/1n7/4B4/4A4/4KAB1c w
3步杀1831,3P1kb2/6P2/3aba3/6R2/9/9/5n3/B1n6/3r5/2B1KA3 w
3步杀1832,3ak4/2P2P3/9/3P1R3/9/9/7r1/5p3/4p4/5K3 w
3步杀1833,5R3/3P5/3k5/4P1p2/1P1PpcPc1/9/9/1rppBKnr1/9/9 w
3步杀2699,2R6/2R6/3k2P2/9/9/9/9/4p4/r2p1p3/4K4 w
3步杀2700,R4a3/2rc5/5k3/3P5/1R7/9/9/5p3/4p4/5K3 w
3步杀2701,9/3kaP3/3ab4/4R4/3Rp4/9/7rc/4B4/4p4/5KB2 w
3步杀2702,9/3Pak3/4ba3/4R4/4pR3/9/cr7/4B4/4p4/2BK5 w
3步杀2703,cr1a3R1/3Rak3/4c1P2/9/9/9/9/4B4/9/2BK5 w
3步杀2704,1R4b2/3kaR3/2P1ca3/9/9/9/9/6n2/3r5/3AKA3 w
3步杀2705,2b1ka3/3Pa4/6R1b/5R3/9/9/9/9/4A2r1/1cnA1K3 w
3步杀2706,3a1kb2/3P3R1/4b4/9/9/2R6/9/5p3/4r1r2/5K3 w
3步杀2707,3ak1b2/3P1R3/4b4/9/9/2R6/9/5p3/4r1r2/5K3 w
3步杀2708,4ka3/1R2aP3/4b4/6R2/9/6B2/2r6/4B4/3pA2r1/4K4 w
3步杀2709,2b1kar2/1R2aP3/4b4/9/9/6R2/9/3p5/2r1p4/3K5 w
3步杀2710,2b1kab2/R3aP3/9/4R4/9/9/9/4p2r1/3p1p2r/4K4 w
3步杀2711,9/3kaP3/3ab4/3RR4/2b6/9/7r1/4B4/1c2A3r/2BA1K3 w
3步杀2712,5ab2/2PR5/3ak4/9/6r2/9/7c1/4Br3/1R7/3AKAB1c w
3步杀2713,4R4/3na1P2/R2a1k3/4P4/3n5/5c3/9/9/4p4/3p1K3 w
3步杀2714,4R4/3na1P2/R2a1k3/4P4/3n5/5c3/9/9/4p1p2/3p1K3 w
3步杀2715,2ba1R3/R1P1k4/3a5/9/6b2/4P4/2n1p1n2/2r1B1r2/2p1A1p2/3AK4 w
4步杀3251,9/3k5/3aP4/3r5/9/9/9/9/4A4/1R2KA3 w
4步杀3252,3k2b2/2R1P4/b8/9/3r5/9/9/5A3/4AK3/9 w
4步杀3253,R8/3k5/3ab4/3P5/9/9/9/9/3p3r1/4K4 w
4步杀3254,3ak1bR1/9/3abP3/9/9/9/2r6/9/3p1p3/4K4 w
4步杀3255,2b1k4/4aP3/4b4/9/4R4/9/9/4p4/2r1A4/2pA1K3 w
4步杀3256,3k2b2/2R1a4/b2aP4/9/9/9/9/7p1/4Apn2/2BK1ABrc w
4步杀3257,2ba1k3/6P2/5a2b/2R2P3/9/9/9/9/3p1p3/2p1K1p2 w
4步杀3258,9/1R1ck4/3P5/4p1P2/6b2/9/4p4/9/3p1pp2/4K4 w
4步杀3259,9/3k5/9/3PPR3/9/9/7r1/5p3/4p4/5K3 w
4步杀3260,9/5k3/9/4PP3/9/2rR5/9/3p5/4p4/3K5 w
4步杀3261,9/9/2Rak4/3P1P3/9/9/7r1/5p3/4p4/5K3 w
4步杀3262,r3k4/3R1P3/5a3/4P4/9/2B6/5c3/5A3/4A4/2BK5 w
4步杀3263,2b2a3/4c4/3kb4/p8/3P2p2/P3R4/5r3/9/9/3K5 w
4步杀3264,3R5/3P5/4ka3/1c7/4P4/9/9/9/4p1r2/3c1K3 w
4步杀3265,3ak4/3Pa4/5P3/7R1/9/9/9/3n5/4r4/5K3 w
4步杀3266,2b1k4/2P6/4r1P2/9/9/9/9/3R5/4r4/3K5 w
4步杀3267,3a1k3/2P6/5P3/3P1R3/9/9/7r1/5p3/4p4/5K3 w
4步杀3268,4k4/3P2P2/3P1r3/9/9/9/5pp2/3n4B/6c2/5K1R1 w
4步杀3269,2rP1k3/6P2/4P4/9/7r1/9/9/9/4p4/2RK5 w
4步杀3270,4k4/3Pa4/b3b4/3PP4/9/2P3B2/5R3/4B4/3pp4/1c3K3 w
4步杀3271,3a5/1P1k3P1/2P3RP1/9/9/9/2r6/3p5/4p4/3K5 w
4步杀4158,3a1a3/2P1k4/9/9/9/9/3R5/4rp3/4p1p2/R4K3 w
4步杀4159,cr1a1k3/3Ra4/4c1P2/6R2/9/2B6/9/4B4/1p2A4/3K1A3 w
4步杀4160,2baknb1r/3P5/3a4c/2R6/9/9/9/1p2p2Rn/4Ap1p1/3K5 w
4步杀4161,3a1k2r/4a1P2/9/6R2/9/6R2/9/9/2r6/4K4 w
4步杀4162,3P5/5k3/4ra3/9/9/4r4/9/5R1R1/4A4/5K3 w
4步杀4163,r2k1a3/2P1a4/9/2R6/9/2R6/9/9/6r2/4K4 w
4步杀4164,3a1k2r/4a1P2/9/6R2/9/6R2/9/9/2rp5/4K4 w
4步杀4165,3k1a3/2P1a4/9/2R6/9/2R6/7r1/5A1r1/5p3/4K4 w
4步杀4166,3k5/5P3/3nr4/4r4/9/9/2R6/3RB4/4A4/3K2B2 w
4步杀4167,8R/3n2P2/R2aka3/9/4P4/9/5c3/4p4/4p4/3p1K3 w
4步杀4168,r2aka3/3P1P3/9/9/9/9/9/B3BA3/1r4p2/2RKR4 w
5步杀4683,5k3/3P5/3a1a3/9/9/9/9/4KAR2/3p1p3/9 w
5步杀4685,2bk5/4P4/2c1b1c2/2R6/9/9/9/9/9/4K4 w
5步杀4687,6P2/9/5k3/4R4/9/5r3/9/9/9/4K4 w
5步杀4688,5k3/3P5/b2a1a3/9/9/r1p6/p8/4KAR2/3p1p3/3A5 w
5步杀4689,9/4nk3/9/5P3/9/5R3/9/4B4/3p1pr2/4K4 w
5步杀4690,2b2r3/3kn4/2R1b4/9/3P5/9/9/9/2p1p4/3K5 w
5步杀4691,2ba5/4nk3/4b3R/9/5P3/9/9/9/3pp2r1/c4K3 w
5步杀4692,3a5/4ak3/8b/6P2/9/1rB6/9/7R1/1rp1A4/1cBAK4 w
