title, old_name, hint, fen, moves
1步杀, 1步杀353, 车炮兵胜车马双士, 5a3/3kaP1C1/9/7R1/9/9/2n6/5K3/4r4/9 w, h6d6
1步杀, 1步杀354, 车炮兵双士胜车马卒双士象, 3k1a3/2P1aR3/4b4/6C2/9/9/4r4/2n6/3pA4/4KA3 w, g6g9
1步杀, 1步杀355, 车炮兵双象胜车马卒双士象, 4ka1RC/2P1a4/2n1b4/9/9/6B2/8r/3p4B/5K3/9 w, h9f9
1步杀, 1步杀356, 车炮兵双象胜车马多卒双象, 5Cb2/1n1P4R/3kb4/9/2p3p2/9/9/8B/r2pp4/5KB2 w, f9f7
1步杀, 1步杀357, 车炮兵胜车双马双士双象, 3akabnr/R7n/8b/7P1/9/9/9/4C4/9/4K4 w, a8h8
1步杀, 1步杀358, 车炮兵胜双车马炮卒象, 6b2/5P3/4kc1RC/5r3/9/9/9/2n6/2r1p4/3K5 w, h7h8
1步杀, 1步杀359, 车炮双兵双士象胜车双炮双士双象, 2b1kaP2/R4P3/3ab4/9/9/9/9/4B4/4Ac3/3CKA1rc w, f8f9
1步杀, 1步杀376, 车双炮兵双士双象胜车双炮双士象, 2bakrc2/1P2a4/4c1RC1/4C4/9/9/9/4B4/4A4/3K1AB2 w, h7h9
1步杀, 1步杀377, 车双炮兵士象胜车马炮双士双象, 2Rakcb2/3Pa4/4b4/9/9/9/9/4C1n2/5r3/2C1KAB2 w, d8e8
1步杀, 1步杀378, 车双炮双兵双士象胜马双炮双卒双士象, CR1a1k3/4a1P2/4bP3/9/2p6/9/4c4/4B1n2/4Ap3/c1CAK4 w, b9d9
1步杀, 1步杀379, 车双炮双兵胜双车双卒双士双象, R4a3/1CP1a4/3kb4/9/2bP5/9/3r3r1/3C1p3/4p4/5K3 w, d5d6
1步杀, 1步杀380, 车双炮多兵双士象胜车双炮三卒双士象, 3ak1b2/4a2C1/4c3c/p3C1r1p/2R6/5p3/P1P1P3P/9/9/2BAKA3 w, h8h9
1步杀, 1步杀489, 双车炮三兵双士象胜车双炮多卒双士双象, 2bak4/3Ra4/7cb/p3R3p/2p3p2/9/P1P1cr2P/4C4/4A4/2BK1A3 w, d8d9
2步杀, 2步杀1300, 双车炮兵双象胜双车马炮卒双士双象, 2b6/3kaR3/b2ac4/1CR6/9/2P6/6r1n/4B4/2r1p4/2BK5 w, c6c8 d8d9 b6b9
2步杀, 2步杀1301, 双车炮双兵双士象胜双车炮三卒双士双象, 2ba1k3/3Ra4/8b/p3R3p/2p3r2/9/P1r1c3P/4C4/4A4/2BK1A3 w, e6f6 f9e9 d8d9
2步杀, 2步杀1302, 双车炮双兵双士象胜双车马三卒双士双象, 3akabC1/3R4n/4b2r1/p2R2P1p/2p6/9/8P/4B4/2r1A4/3AK4 w, d8d9 e9e8 d6d8
2步杀, 2步杀1303, 双车炮三兵双士双象胜车马炮双卒士, 3ak4/4C4/4R4/p7p/9/P1R6/1n2P2rP/3AB4/4A4/2B1K3c w, e8h8 d9e8 c4c9
2步杀, 2步杀1304, 双车炮三兵双士象胜双车炮三卒双士象, 1R3ab2/3kaRC2/9/p5p1p/9/2B3P2/P7P/2r6/9/3AKArc1 w, f8e8 d8d7 b9d9
2步杀, 2步杀1305, 双车炮多兵双士双象胜双车马炮三卒双士, 3aka3/4n4/4R4/p7p/1r1r5/4CRP2/P3P3P/B8/c4p3/3AKAB2 w, f4f9 e9f9 e7f7
2步杀, 2步杀1307, 双车双炮兵胜车双马双卒双士, 3aR4/2P2k3/5a3/9/9/1n6C/3R5/9/1nr2p3/1p1K1C3 w, d3d8 d9e8 d8e8
2步杀, 2步杀1308, 双车双炮兵胜车双马双卒双士, 3aR4/2P2k3/5a3/9/9/1n6C/5R3/9/1nr1p4/1p1K1C3 w, e9e8 d9e8 i4f4
2步杀, 2步杀883, 车炮兵胜三卒双士象, 1Cbaka3/9/4P1R2/9/9/9/9/9/3p1p3/4K1p2 w, e7e8 f9e8 g7g9
2步杀, 2步杀884, 车炮兵双象胜多卒双士双象, 4k3C/1R2aP3/b4a3/9/2b6/6B2/9/4B4/4p1p2/3p1K1p1 w, b8e8 f7e8 f8f9
2步杀, 2步杀885, 车炮兵胜炮双卒双士象, 3akac2/6P2/4b4/9/9/5R3/9/7C1/2p1p4/3K5 w, f4f9 e9f9 h2h9
2步杀, 2步杀886, 车炮兵双象胜炮双卒双士双象, 5ab2/3ka4/R3b4/2P6/9/6B2/9/4B4/2c1p1p2/3C1K3 w, a7d7 d8d7 c6d6
2步杀, 2步杀887, 车炮兵双象胜马双卒双士象, 3a2b2/3k5/3a5/9/9/4R4/4P4/B3C4/1np1p4/3K2B2 w, e4e8 d9e8 e2d2
2步杀, 2步杀888, 车炮兵双士胜马双炮士, 4ka3/c6c1/9/3R5/9/9/n3P4/8C/4A4/3K1A3 w, i2e2 a8e8 d6d9
2步杀, 2步杀889, 车炮兵象胜马双炮卒士双象, 2b1k4/4aP3/c3bc3/9/9/1C7/9/1n5R1/5p3/2B1K4 w, h2h9 e8f9 b4b9
2步杀, 2步杀890, 车炮兵象胜双马双卒双象, 5k3/4P1R2/4bn2b/6n2/9/9/9/4C4/2p1p4/3K2B2 w, g8f8 g6f8 e8e9
2步杀, 2步杀891, 车炮兵士双象胜双马双炮双卒双士象, 3k2c2/2P1a2C1/5a1n1/9/6b2/6B2/6n2/5K2B/1R1p1p3/3Ac4 w, h8h9 g9g8 b1b9
2步杀, 2步杀892, 车炮兵双士双象胜双马双炮双卒双士双象, 3ak1b2/n2PaR3/C1c1b1n2/9/9/2p1c4/9/9/5p3/2BAKAB2 w, a7e7 e8f7 d8e8
2步杀, 2步杀893, 车炮兵胜车卒双士双象, 2bak1r2/4aP3/4b4/4C4/9/2R6/9/9/3p5/4K4 w, f8e8 d9e8 c4c9
2步杀, 2步杀894, 车炮兵胜车三卒双士双象, 2b2a3/3ka4/1R2b4/4P4/9/4r4/9/3C5/4p1p2/3p1K3 w, b7d7 d8d7 e6d6
2步杀, 2步杀895, 车炮兵胜车炮卒双士, 4karC1/3PaR3/9/9/9/9/4p4/4c4/9/3K5 w, f8e8 e2e8 d8d9
2步杀, 2步杀897, 车炮兵胜车炮卒双士双象, 4kab2/4aP3/4b4/4C4/9/6R2/9/1r7/4p4/c2K5 w, f8e8 f9e8 g4g9
2步杀, 2步杀898, 车炮兵象胜车炮卒双士双象, 2ba5/4ak3/4b4/4CP3/5R3/2B6/r3c4/9/6p2/5K3 w, f6g6 e8f7 f5f7
2步杀, 2步杀899, 车炮兵双象胜车炮卒双士双象, 2baka3/2P6/c3b4/9/9/1C7/9/3RB4/4p1r2/5KB2 w, d2d9 e9d9 b4b9
2步杀, 2步杀900, 车炮兵双象胜车炮卒双士双象, 3akab2/6P2/4b3c/9/9/7C1/9/4BR3/2r1p4/2BK5 w, f2f9 e9f9 h4h9
2步杀, 2步杀901, 车炮兵双士双象胜车炮卒双士双象, 2bak4/4aP3/4b4/4C4/9/2R6/9/4B4/4Ap1r1/2BAK3c w, f8e8 d9e8 c4c9
2步杀, 2步杀902, 车炮兵士双象胜车双炮双卒双士双象, 2b1kacC1/3PaR3/4b4/9/9/9/9/2p1c3B/3KAp3/r5B2 w, f8e8 e2e8 d8d9
2步杀, 2步杀903, 车炮兵胜车马双士双象, 2bak1P2/4a4/4b4/4R4/9/9/9/2n3r2/5K3/2C6 w, c0c9 e7c9 g9f9
2步杀, 2步杀904, 车炮兵胜车马卒双士, 3k1a3/4a4/4P4/6C2/9/2R6/9/6n2/3r1p3/4K4 w, g6g9 d9d8 c4c8
2步杀, 2步杀905, 车炮兵胜车马双卒士双象, 4kabC1/5RP2/n3b4/9/9/9/9/3p5/2r1p4/3K5 w, f8f9 e9e8 f9f8
2步杀, 2步杀906, 车炮兵胜车马双卒双士象, R2aka1r1/2CP1n3/4b4/9/9/9/9/9/4p4/2p2K3 w, a9d9 f8d9 c8c9
2步杀, 2步杀907, 车炮兵胜车马双卒双士双象, 4kab1C/3PaR3/2n1b4/9/9/9/9/r8/2p1p4/3K5 w, f8e8 c7e8 d8d9
2步杀, 2步杀908, 车炮兵胜车马炮士象, 9/3rk4/3ab4/4P4/9/9/9/9/cn1R1K3/4C4 w, e6e7 e8e7 d1e1
2步杀, 2步杀909, 车炮兵胜车马炮卒双士双象, 2ba1k3/4a1P2/4bcn2/4C4/9/9/9/3R5/4p1r2/3K5 w, g8f8 f9f8 e6f6
2步杀, 2步杀910, 车炮兵士胜车马炮卒双士双象, 1Cbak2r1/3RaP3/4b1n2/9/9/9/9/9/2p1A4/3K4c w, f8e8 g7e8 d8d9
2步杀, 2步杀911, 车炮兵双士双象胜车马炮卒双士双象, C3k1b2/3RaP3/3ab4/9/9/9/9/4B4/2p1Ar3/2BK1A1nc w, f8e8 d7e8 d8d9
2步杀, 2步杀912, 车炮兵胜车双马卒士象, 4kab1C/3P2R2/9/3n5/9/9/9/6n2/4p3r/3K5 w, g8e8 d6e8 d8d9
2步杀, 2步杀913, 车炮兵双士双象胜车双马炮多卒双象, 2b1k2r1/1R3P3/b3n4/5n3/2p6/2B6/1C7/3AB4/2ppApp2/4K3c w, b8e8 f6e8 b3b9
2步杀, 2步杀914, 车炮兵士胜双车卒双士双象, 3a5/3k5/2Pa4b/5R3/6b2/9/9/9/3rA1p1r/3C1K3 w, c7d7 d8e8 d0e0
2步杀, 2步杀915, 车炮兵胜双车马双士双象, 2bak3C/4aP3/4b4/7R1/9/9/9/2n6/5r2r/4K4 w, h6h9 e8f9 h9f9
2步杀, 2步杀916, 车炮兵士胜双车双马士双象, 4kr3/1n1RaP3/2n1b4/9/6b2/9/9/5A3/6r2/3K1C3 w, d8e8 c7e8 f8f9
2步杀, 2步杀917, 车炮双兵双士双象胜马炮多卒双士, 3c1k3/4a1R2/5a3/p7p/4C1p2/9/Pn2p1p1P/4B4/4A4/4KAB2 w, g8f8 f9f8 e5f5
2步杀, 2步杀918, 车炮双兵双士双象胜车马炮卒双士象, R1P1k1b2/6rC1/3a1a3/9/9/6P2/3n1c3/B3B4/3p5/3AKA3 w, c9d9 e9f9 d9e9
2步杀, 2步杀919, 车炮双兵象胜双车卒双士, 3akr3/4a1P2/9/9/3PR4/4C4/4p4/4B4/4r4/3K5 w, e5e8 e9e8 d5e5
2步杀, 2步杀920, 车炮三兵双士象胜车炮三卒双士象, 5ab2/1r1ka4/3c5/p5p1p/9/6P2/P2R4P/B8/3CA4/4KA3 w, d3d7 d8d7 e1d2
2步杀, 2步杀921, 车炮三兵士双象胜车马双炮士, 4ka3/9/2R6/9/7n1/4P4/P1P2C3/4BA3/3K4c/2r2cB2 w, f3e3 f9e8 c7c9
2步杀, 2步杀941, 车双炮兵双象胜马炮双卒双士双象, R4ab2/4k4/5a2b/5C3/9/9/P8/2p1C4/1n1K1p3/c1B3B2 w, a9e9 e8e9 f6e6
2步杀, 2步杀942, 车双炮兵士双象胜双马双卒双士双象, C7R/C2Pak3/3a5/9/2b3b2/2B6/9/B1n6/3p1p1n1/4KA3 w, d8e8 f8f7 i9f9
2步杀, 2步杀943, 车双炮兵胜车卒双士, 3a5/4ak1C1/8C/4P4/9/6R2/9/9/3r1p3/4K4 w, i7i8 f8f9 g4g9
2步杀, 2步杀944, 车双炮兵士胜车马双卒双士双象, CR1akab2/5P3/3rb4/9/C8/9/9/2nA1p3/6p2/4K4 w, a5e5 f9e8 b9b0
2步杀, 2步杀945, 车双炮兵双士胜车马炮卒双士象, 3ak1b2/C4R3/3a5/9/9/6P1p/1c6n/4C4/4A1r2/3A1K3 w, a8e8 b3e3 f8f9
2步杀, 2步杀946, 车双炮兵象胜车马炮双卒双士双象, 2baka3/4C2r1/4b4/9/4p4/3R5/8P/4C4/4p1n2/3K1cB2 w, e8e5 d9e8 d4d9
2步杀, 2步杀947, 车双炮兵象胜车马双炮双士象, 1P1ckabc1/4a3C/9/9/9/9/9/6n2/5r3/C2RK1B2 w, d0d9 e9d9 a0a9
2步杀, 2步杀948, 车双炮兵双象胜车双马炮双卒双士象, 2bcka3/1P2a1n2/4n4/C8/9/9/4CR3/4B4/4p1pr1/2B2K3 w, f3f9 d9f9 a6a9
2步杀, 2步杀949, 车双炮兵象胜双车双士, 2CR5/2CPak3/5a3/9/9/9/9/4B4/4r2r1/5K3 w, d9f9 f8f9 d8d9
2步杀, 2步杀950, 车双炮兵双士胜双车卒双士双象, 3a1kb2/2C6/5a2b/9/9/1pP6/C3R4/3A5/r2r5/4KA3 w, e3e9 f9f8 a3f3
2步杀, 2步杀951, 车双炮兵双士胜双车马卒双士, R7C/3kaP1C1/3a5/9/9/9/9/3Ap1n2/r6r1/4KA3 w, a9d9 d8d9 f8f9
2步杀, 2步杀952, 车双炮双兵士双象胜双马双炮双卒双士双象, 4k4/3PaR3/b1n1ba3/9/9/6B2/4P4/1n2CC3/2p1Apcc1/3K2B2 w, e2e7 e8f9 f8f9
2步杀, 2步杀953, 车双炮双兵双士双象胜车马炮双卒双士象, 2C2k3/3Ra4/1C2ba3/p4P3/6r2/2B4p1/P7c/9/4AK3/2BA2n2 w, b7b9 f9f8 f6f7
2步杀, 2步杀954, 车双炮三兵双士双象胜车双炮三卒双士象, c3ka3/4a4/4b4/2pRc2r1/p3C4/2P6/P3P3p/6C2/4A4/2BK1AB2 w, g2g9 e7g9 d6d9
2步杀, 2步杀955, 车双炮三兵双士象胜车马多卒士, 2R5C/3k1P3/3a5/p3p3p/2p6/9/Pn6P/4rC2B/4Ap3/3AK4 w, c9c8 d8d9 f8f9
2步杀, 2步杀956, 车双炮三兵双士双象胜双车马三卒士象, 2b1kaR1C/7C1/9/p1p6/6P2/4p4/Pr2r2nP/4B4/4A4/2B1KA3 w, g9g8 f9e8 h8h9
3步杀, 3步杀1862, 车炮兵士双象胜双士双象, 5a3/3kaP3/4b4/3C5/6b2/9/9/3RB4/9/2BAK4 w, d6e6 e8d7 f8e8 f9e8 e6d6
3步杀, 3步杀1863, 车炮兵胜双炮三卒双士双象, 2b1ka3/c2Pa3c/4b4/9/7R1/4C4/9/4p4/3p1p3/4K4 w, d8e8 e9d9 h5d5 a8d8 e8d8
3步杀, 3步杀1864, 车炮兵胜马三卒双士, 3ak4/4aP3/6n2/9/9/9/9/4p4/3p1p3/4K1C1R w, i0i9 e8f9 i9f9 g7f9 g0g9
3步杀, 3步杀1865, 车炮兵双士胜马炮卒双士象, 2b1k4/3Pa4/5a1CR/9/9/6n2/9/2p3c2/3KA4/5A3 w, i7i9 e8f9 d8d9 e9e8 i9i8
3步杀, 3步杀1866, 车炮兵双士双象胜双马炮卒双士双象, 2bak4/4aP3/4b1n2/9/9/6C1R/4c4/4B4/4Ap1n1/2BAK4 w, i4i9 e8f9 i9f9 g7f9 g4g9
3步杀, 3步杀1867, 车炮兵胜车卒双士象, 3a5/3Pak3/4b4/9/5C3/5R3/9/9/r3p4/3K5 w, f5e5 e8f7 d8e8 d9e8 e5f5
3步杀, 3步杀1868, 车炮兵士胜车卒双士双象, 2b1ka3/3Pa4/9/9/2b6/1R1p5/4r4/5A3/4C4/3K5 w, d8d9 e9d9 b4d4 d9e9 d4d9
3步杀, 3步杀1869, 车炮兵胜车双卒双士, 4ka1R1/9/4Pa3/4p4/9/9/6C2/1r7/4p4/3K5 w, e7e8 e9e8 g3e3 e8f8 h9h8
