1步杀353,5a3/3kaP1C1/9/7R1/9/9/2n6/5K3/4r4/9 w
1步杀354,3k1a3/2P1aR3/4b4/6C2/9/9/4r4/2n6/3pA4/4KA3 w
1步杀355,4ka1RC/2P1a4/2n1b4/9/9/6B2/8r/3p4B/5K3/9 w
1步杀356,5Cb2/1n1P4R/3kb4/9/2p3p2/9/9/8B/r2pp4/5KB2 w
1步杀357,3akabnr/R7n/8b/7P1/9/9/9/4C4/9/4K4 w
1步杀358,6b2/5P3/4kc1RC/5r3/9/9/9/2n6/2r1p4/3K5 w
1步杀359,2b1kaP2/R4P3/3ab4/9/9/9/9/4B4/4Ac3/3CKA1rc w
1步杀376,2bakrc2/1P2a4/4c1RC1/4C4/9/9/9/4B4/4A4/3K1AB2 w
1步杀377,2Rakcb2/3Pa4/4b4/9/9/9/9/4C1n2/5r3/2C1KAB2 w
1步杀378,CR1a1k3/4a1P2/4bP3/9/2p6/9/4c4/4B1n2/4Ap3/c1CAK4 w
1步杀379,R4a3/1CP1a4/3kb4/9/2bP5/9/3r3r1/3C1p3/4p4/5K3 w
1步杀380,3ak1b2/4a2C1/4c3c/p3C1r1p/2R6/5p3/P1P1P3P/9/9/2BAKA3 w
1步杀489,2bak4/3Ra4/7cb/p3R3p/2p3p2/9/P1P1cr2P/4C4/4A4/2BK1A3 w
2步杀1300,2b6/3kaR3/b2ac4/1CR6/9/2P6/6r1n/4B4/2r1p4/2BK5 w
2步杀1301,2ba1k3/3Ra4/8b/p3R3p/2p3r2/9/P1r1c3P/4C4/4A4/2BK1A3 w
2步杀1302,3akabC1/3R4n/4b2r1/p2R2P1p/2p6/9/8P/4B4/2r1A4/3AK4 w
2步杀1303,3ak4/4C4/4R4/p7p/9/P1R6/1n2P2rP/3AB4/4A4/2B1K3c w
2步杀1304,1R3ab2/3kaRC2/9/p5p1p/9/2B3P2/P7P/2r6/9/3AKArc1 w
2步杀1305,3aka3/4n4/4R4/p7p/1r1r5/4CRP2/P3P3P/B8/c4p3/3AKAB2 w
2步杀1307,3aR4/2P2k3/5a3/9/9/1n6C/3R5/9/1nr2p3/1p1K1C3 w
2步杀1308,3aR4/2P2k3/5a3/9/9/1n6C/5R3/9/1nr1p4/1p1K1C3 w
2步杀883,1Cbaka3/9/4P1R2/9/9/9/9/9/3p1p3/4K1p2 w
2步杀884,4k3C/1R2aP3/b4a3/9/2b6/6B2/9/4B4/4p1p2/3p1K1p1 w
2步杀885,3akac2/6P2/4b4/9/9/5R3/9/7C1/2p1p4/3K5 w
2步杀886,5ab2/3ka4/R3b4/2P6/9/6B2/9/4B4/2c1p1p2/3C1K3 w
2步杀887,3a2b2/3k5/3a5/9/9/4R4/4P4/B3C4/1np1p4/3K2B2 w
2步杀888,4ka3/c6c1/9/3R5/9/9/n3P4/8C/4A4/3K1A3 w
2步杀889,2b1k4/4aP3/c3bc3/9/9/1C7/9/1n5R1/5p3/2B1K4 w
2步杀890,5k3/4P1R2/4bn2b/6n2/9/9/9/4C4/2p1p4/3K2B2 w
2步杀891,3k2c2/2P1a2C1/5a1n1/9/6b2/6B2/6n2/5K2B/1R1p1p3/3Ac4 w
2步杀892,3ak1b2/n2PaR3/C1c1b1n2/9/9/2p1c4/9/9/5p3/2BAKAB2 w
2步杀893,2bak1r2/4aP3/4b4/4C4/9/2R6/9/9/3p5/4K4 w
2步杀894,2b2a3/3ka4/1R2b4/4P4/9/4r4/9/3C5/4p1p2/3p1K3 w
2步杀895,4karC1/3PaR3/9/9/9/9/4p4/4c4/9/3K5 w
2步杀896,2baka3/9/4P2RC/9/9/9/9/9/3r1p3/2c1K4 w
2步杀897,4kab2/4aP3/4b4/4C4/9/6R2/9/1r7/4p4/c2K5 w
2步杀898,2ba5/4ak3/4b4/4CP3/5R3/2B6/r3c4/9/6p2/5K3 w
2步杀899,2baka3/2P6/c3b4/9/9/1C7/9/3RB4/4p1r2/5KB2 w
2步杀900,3akab2/6P2/4b3c/9/9/7C1/9/4BR3/2r1p4/2BK5 w
2步杀901,2bak4/4aP3/4b4/4C4/9/2R6/9/4B4/4Ap1r1/2BAK3c w
2步杀902,2b1kacC1/3PaR3/4b4/9/9/9/9/2p1c3B/3KAp3/r5B2 w
2步杀903,2bak1P2/4a4/4b4/4R4/9/9/9/2n3r2/5K3/2C6 w
2步杀904,3k1a3/4a4/4P4/6C2/9/2R6/9/6n2/3r1p3/4K4 w
2步杀905,4kabC1/5RP2/n3b4/9/9/9/9/3p5/2r1p4/3K5 w
2步杀906,R2aka1r1/2CP1n3/4b4/9/9/9/9/9/4p4/2p2K3 w
2步杀907,4kab1C/3PaR3/2n1b4/9/9/9/9/r8/2p1p4/3K5 w
2步杀908,9/3rk4/3ab4/4P4/9/9/9/9/cn1R1K3/4C4 w
2步杀909,2ba1k3/4a1P2/4bcn2/4C4/9/9/9/3R5/4p1r2/3K5 w
2步杀910,1Cbak2r1/3RaP3/4b1n2/9/9/9/9/9/2p1A4/3K4c w
2步杀911,C3k1b2/3RaP3/3ab4/9/9/9/9/4B4/2p1Ar3/2BK1A1nc w
2步杀912,4kab1C/3P2R2/9/3n5/9/9/9/6n2/4p3r/3K5 w
2步杀913,2b1k2r1/1R3P3/b3n4/5n3/2p6/2B6/1C7/3AB4/2ppApp2/4K3c w
2步杀914,3a5/3k5/2Pa4b/5R3/6b2/9/9/9/3rA1p1r/3C1K3 w
2步杀915,2bak3C/4aP3/4b4/7R1/9/9/9/2n6/5r2r/4K4 w
2步杀916,4kr3/1n1RaP3/2n1b4/9/6b2/9/9/5A3/6r2/3K1C3 w
2步杀917,3c1k3/4a1R2/5a3/p7p/4C1p2/9/Pn2p1p1P/4B4/4A4/4KAB2 w
2步杀918,R1P1k1b2/6rC1/3a1a3/9/9/6P2/3n1c3/B3B4/3p5/3AKA3 w
2步杀919,3akr3/4a1P2/9/9/3PR4/4C4/4p4/4B4/4r4/3K5 w
2步杀920,5ab2/1r1ka4/3c5/p5p1p/9/6P2/P2R4P/B8/3CA4/4KA3 w
2步杀921,4ka3/9/2R6/9/7n1/4P4/P1P2C3/4BA3/3K4c/2r2cB2 w
2步杀941,R4ab2/4k4/5a2b/5C3/9/9/P8/2p1C4/1n1K1p3/c1B3B2 w
2步杀942,C7R/C2Pak3/3a5/9/2b3b2/2B6/9/B1n6/3p1p1n1/4KA3 w
2步杀943,3a5/4ak1C1/8C/4P4/9/6R2/9/9/3r1p3/4K4 w
2步杀944,CR1akab2/5P3/3rb4/9/C8/9/9/2nA1p3/6p2/4K4 w
2步杀945,3ak1b2/C4R3/3a5/9/9/6P1p/1c6n/4C4/4A1r2/3A1K3 w
2步杀946,2baka3/4C2r1/4b4/9/4p4/3R5/8P/4C4/4p1n2/3K1cB2 w
2步杀947,1P1ckabc1/4a3C/9/9/9/9/9/6n2/5r3/C2RK1B2 w
2步杀948,2bcka3/1P2a1n2/4n4/C8/9/9/4CR3/4B4/4p1pr1/2B2K3 w
2步杀949,2CR5/2CPak3/5a3/9/9/9/9/4B4/4r2r1/5K3 w
2步杀950,3a1kb2/2C6/5a2b/9/9/1pP6/C3R4/3A5/r2r5/4KA3 w
2步杀951,R7C/3kaP1C1/3a5/9/9/9/9/3Ap1n2/r6r1/4KA3 w
2步杀952,4k4/3PaR3/b1n1ba3/9/9/6B2/4P4/1n2CC3/2p1Apcc1/3K2B2 w
2步杀953,2C2k3/3Ra4/1C2ba3/p4P3/6r2/2B4p1/P7c/9/4AK3/2BA2n2 w
2步杀954,c3ka3/4a4/4b4/2pRc2r1/p3C4/2P6/P3P3p/6C2/4A4/2BK1AB2 w
2步杀955,2R5C/3k1P3/3a5/p3p3p/2p6/9/Pn6P/4rC2B/4Ap3/3AK4 w
2步杀956,2b1kaR1C/7C1/9/p1p6/6P2/4p4/Pr2r2nP/4B4/4A4/2B1KA3 w
3步杀1862,5a3/3kaP3/4b4/3C5/6b2/9/9/3RB4/9/2BAK4 w
3步杀1863,2b1ka3/c2Pa3c/4b4/9/7R1/4C4/9/4p4/3p1p3/4K4 w
3步杀1864,3ak4/4aP3/6n2/9/9/9/9/4p4/3p1p3/4K1C1R w
3步杀1865,2b1k4/3Pa4/5a1CR/9/9/6n2/9/2p3c2/3KA4/5A3 w
3步杀1866,2bak4/4aP3/4b1n2/9/9/6C1R/4c4/4B4/4Ap1n1/2BAK4 w
3步杀1867,3a5/3Pak3/4b4/9/5C3/5R3/9/9/r3p4/3K5 w
3步杀1868,2b1ka3/3Pa4/9/9/2b6/1R1p5/4r4/5A3/4C4/3K5 w
3步杀1869,4ka1R1/9/4Pa3/4p4/9/9/6C2/1r7/4p4/3K5 w
3步杀1870,3k1a3/5P3/9/8C/5R3/4r1B2/9/3p5/4A1p2/5K3 w
3步杀1871,5k1P1/2R1a4/5a3/9/4r4/9/9/4C4/4p4/3p1KB2 w
3步杀1872,5k1P1/1R2a4/5a3/4r4/9/9/4C4/9/4p1p2/3p1K3 w
3步杀1873,9/3k5/2Pa1r3/9/9/9/8C/3R5/3p1p3/2p1K1p2 w
3步杀1874,1R3abC1/4k4/4bP3/9/9/9/9/8c/3p3r1/4KA3 w
3步杀1875,1C2kab2/4aP3/4c4/9/9/2R6/9/5A2B/3p1r3/4K4 w
3步杀1876,2bak2C1/3Pa4/4c4/9/9/6R2/9/B2A5/3r1p3/4K4 w
3步杀1877,2bak3C/3Pa4/4c4/9/9/6R2/9/9/3r1p3/3AKA3 w
3步杀1878,4ka2r/4a4/b3c4/4CR2p/2b6/6p2/4P4/4B4/4A4/3K1AB2 w
3步杀1879,C1bak4/9/5c3/5P3/9/9/9/3R5/2p1A4/3K1Ar1c w
3步杀1880,5k3/3P5/9/9/9/6r2/4p4/2n1C4/9/1RB1K4 w
3步杀1881,5k1P1/1R2a4/5a3/9/2n1r4/9/9/4C4/4p4/5K3 w
3步杀1882,5k1P1/2R1a4/5a3/4r4/9/9/8n/4C4/4p4/5K3 w
3步杀1883,2b1k4/3Pa4/5aC2/9/9/7R1/9/5n3/2r1p4/3K5 w
3步杀1884,3ak3r/1P3R3/3a5/9/9/6B2/9/3p3n1/4C4/5K3 w
3步杀1885,3k1n3/5P3/3a1a3/9/9/4R4/9/4B4/2r1p4/3K2C2 w
3步杀1886,3k5/R1P1a4/bn1a5/4C4/9/9/9/9/2r2p3/4K4 w
3步杀1887,2b1ka3/4aP3/4b4/9/4C4/5R3/9/6n2/3p3r1/4K4 w
3步杀1888,2r1ka3/3R3P1/5a3/9/9/9/n8/5p3/9/2BKC1B2 w
3步杀1889,3ak1r2/1P3R3/3a5/9/9/9/7n1/3p5/9/2B1CKB2 w
3步杀1890,3ak1r2/1P3R3/3a5/9/9/9/8n/3p5/9/2B1CKB2 w
3步杀1891,3k5/R1P1a4/bn1a5/4C4/9/2B6/9/9/2r2p3/4K4 w
3步杀1892,4kab2/3Pa4/4b4/6R2/9/9/9/2n3C2/1r3p3/4K4 w
3步杀1893,5k1P1/1R2a4/5a3/9/2n1r4/9/9/4C4/4p4/2B2KB2 w
3步杀1894,r3ka3/3R3P1/5a3/9/9/9/9/1n7/2p6/2BKC1B2 w
3步杀1895,3k5/5R3/4b3b/r2P5/3n5/3C5/9/3p5/4p4/3K5 w
3步杀1896,5abC1/4k1P2/n3b4/5R3/9/9/9/3p5/2r1p4/3K5 w
3步杀1897,3a1a3/3k5/b7b/4P4/9/1C7/2R6/9/4An3/4KAr1c w
3步杀1898,1Cba5/5k3/3RP4/9/6n2/9/9/4r4/3KAp2c/3A5 w
3步杀1899,3a5/1r1Pak3/9/9/9/9/7R1/n4C3/2p1A4/c2K1A3 w
3步杀1900,2bak4/4aP3/4b4/2R6/9/2C6/1r5n1/9/3p5/4KABc1 w
3步杀1901,6c2/3Pnc3/3a1kr2/4R1C2/9/9/9/9/4A4/4KA3 w
3步杀1902,2bak3r/4aP3/4b4/4C4/5R3/n5B2/9/8B/1p6c/3K4c w
3步杀1903,4kab2/3Pa4/R1nnb4/2C6/9/9/9/5p3/4p1r2/5K3 w
3步杀1904,2b2a1C1/3ka4/5P2b/9/9/2R6/6n1r/6p2/1n1pA4/2BA1KB2 w
3步杀1905,2bk1P3/4a4/3ab4/9/9/6C1r/9/9/2Rp1r3/2p1K4 w
3步杀1906,r2ak3C/3Pa4/4r4/9/9/6R2/9/3p5/4p4/3K1p3 w
3步杀1907,3a1k3/c2P5/4ra3/9/9/6R2/9/4C4/4r4/5K3 w
3步杀1908,9/3k4r/2rcP4/6RC1/9/9/9/9/4p4/5K3 w
3步杀1909,3k2bR1/2P1a4/3a5/9/6r2/4C4/4c4/4B4/1r2Ap3/3AK1B2 w
3步杀1910,3ak4/4aP3/4b1n2/9/9/9/9/8R/4rr3/3K2C2 w
3步杀1911,1n3a3/c2k5/3a5/3P5/9/3C5/8r/3ARA3/3p1pr2/4K4 w
3步杀1912,c2R2b2/2n1P1r2/4bk3/5c3/9/9/4C4/4p4/3pApr2/4K4 w
3步杀1913,3ak4/3naPC2/6n2/9/9/7R1/9/2r6/2r1p4/3K5 w
3步杀1914,4nrb2/3rk1P2/9/9/2p2Rp2/9/9/5A3/5npp1/3ACK1p1 w
3步杀1915,5Rb2/5P3/4k3b/9/4Pn3/9/9/5p3/3cp4/3p1K1C1 w
