title, old_name, hint, fen, moves
1步杀, 1步杀331, 车炮胜双士象, 3akab2/1R7/9/9/9/9/9/9/3KC4/9 w, b8h8
1步杀, 1步杀332, 车炮胜双士双象, 3aka3/9/8b/7R1/6b2/9/9/4C4/4K4/9 w, h6h8
1步杀, 1步杀333, 车炮胜多卒双象, 4k1bRC/9/4b4/9/9/9/9/3p5/2p1p4/1p1K1p3 w, h9h8
1步杀, 1步杀334, 车炮胜炮双士象, 3akab1C/4c4/6R2/9/9/9/9/9/5K3/9 w, g7e7
1步杀, 1步杀335, 车炮胜马双士双象, 3aka3/3R4n/8b/9/6b2/9/9/4C4/9/3K5 w, d8h8
1步杀, 1步杀336, 车炮胜马多卒双象, R2Ck1b2/4n4/4b4/9/9/9/9/3p1p3/4K4/3p1p3 w, d9d8
1步杀, 1步杀337, 车炮士胜双马三卒双士, C2a2R2/5k3/5a2n/9/9/9/9/2n6/5pp2/2p1KA3 w, g9f9
1步杀, 1步杀338, 车炮双士双象胜双马炮双士象, 3kcab2/2R1a3C/9/9/4n4/9/9/4BK1nB/4A4/3A5 w, c8d8
1步杀, 1步杀339, 车炮胜双马炮双卒士双象, 2ba1kcnC/3R1n3/4b4/9/9/9/9/9/4p1p2/5K3 w, d8d9
1步杀, 1步杀340, 车炮士象胜双马炮三卒双士象, 3aka3/3Rcn3/4b4/9/4p4/4C4/9/4B1n2/3p1p3/3AK4 w, e4e7
1步杀, 1步杀341, 车炮胜车双士, 3aka3/4r4/9/9/9/9/4R4/9/4C4/4K4 w, e3e7
1步杀, 1步杀342, 车炮胜车卒士双象, 4kab1C/9/1R2b4/9/8r/9/9/9/4p4/3K5 w, b7e7
1步杀, 1步杀343, 车炮胜车卒双士双象, 2bak4/4a4/4b4/4C4/9/3R5/9/9/4pr3/3K5 w, d4d9
1步杀, 1步杀344, 车炮胜车卒双士双象, 2bak4/4a4/4b4/5R3/9/9/9/4C4/4p2r1/5K3 w, f6f9
1步杀, 1步杀345, 车炮双士双象胜车马士双象, 2b1ka3/4r4/b3n4/4C4/9/9/9/1R2B4/4A4/3K1AB2 w, b2b6
1步杀, 1步杀346, 车炮胜车马卒双士双象, 3a1kbRC/4a4/4b4/9/9/9/9/6n2/3r1p3/4K4 w, h9h8
1步杀, 1步杀347, 车炮象胜车马双卒双士双象, 4kab2/4a4/4b4/4C4/9/2R6/4r4/4B1n2/3p1p3/4K4 w, c4c9
1步杀, 1步杀348, 车炮胜车马三卒双士双象, 2na1ab2/5R1C1/3kb4/3r5/2p3p2/9/9/9/4p4/5K3 w, h8h7
1步杀, 1步杀349, 车炮双士象胜车马炮双士象, C1bakc3/3Ra4/9/9/9/9/9/9/5rn2/3AKAB2 w, d8e8
1步杀, 1步杀350, 车炮胜车马炮卒双士象, 2bakC2R/4a4/9/9/9/9/9/6n2/3r1p3/c3K4 w, f9d9
1步杀, 1步杀351, 车炮双士胜车双马炮象, 4k1bRC/9/4n4/9/9/9/9/3A1A3/c1nr5/4K4 w, h9h8
1步杀, 1步杀352, 车炮胜双车双马三卒双象, 3k1C2R/4n4/2n1b4/9/6b2/9/9/4p4/2rp1pr2/4K4 w, f9f8
1步杀, 1步杀360, 车双炮胜马双卒双士, 3akaRC1/9/4C4/9/9/9/9/5n3/2p1p4/3K5 w, g9g8
1步杀, 1步杀361, 车双炮双士双象胜车双炮双士双象, 2bakab2/1R7/9/2C6/9/4C4/7c1/4B4/4A1r2/2BAK3c w, c6e6
1步杀, 1步杀362, 车双炮士胜车马卒士, 4ka1RC/9/9/9/9/9/9/2n1C4/3p1r3/4KA3 w, h9h8
1步杀, 1步杀363, 车双炮双士双象胜车马炮双士象, C2k1ab2/1RC1a4/4c4/4r4/9/9/9/4B3n/4A4/2BAK4 w, c8c9
1步杀, 1步杀364, 车双炮胜车马炮卒双士, 3c1k3/9/3a1a3/5R3/4C4/4C4/9/9/2nr1p3/4K4 w, f6f7
1步杀, 1步杀365, 车双炮胜车马炮卒双士双象, 4kabC1/4a4/4b4/4C4/9/9/9/5R3/n2r1p3/1c2K4 w, f2f9
1步杀, 1步杀366, 车双炮双士胜车马炮卒双士, CCRaka3/9/9/9/9/9/4c4/6n2/3p1r3/3AKA3 w, c9c8
1步杀, 1步杀367, 车双炮双士双象胜车马炮卒双士双象, CR1a1k3/2C1a4/b8/9/2b6/9/9/4BAn1B/2p1Ar3/4K3c w, b9d9
1步杀, 1步杀368, 车双炮士胜车马炮双卒士象, 4ka1RC/4cCn2/4b2r1/9/9/9/9/9/3pAp3/4K4 w, h9h8
1步杀, 1步杀369, 车双炮胜车双马卒, 3k3C1/5nC2/2Rn5/9/9/9/9/4r4/3K1p3/9 w, c7c9
1步杀, 1步杀370, 车双炮双士象胜车双马卒双士双象, 1C2kab2/4a4/2n1b4/1r2C4/9/3R5/9/9/2p1A1n2/3K1AB2 w, d4d9
1步杀, 1步杀371, 车双炮双象胜车双马炮双士, 3a1a2C/4kn3/5R3/6C2/9/c8/n8/4B4/8r/2BK5 w, g6g8
1步杀, 1步杀372, 车双炮士双象胜双车卒双士双象, 3a5/4ak3/1C2b3R/9/2b6/9/9/4B4/r1rpA4/4KCB2 w, i7f7
