title, old_name, hint, fen, moves
1步杀, 1步杀415, 车马兵胜车马士象, 3k1P3/2R1a4/4b4/2N6/9/9/9/3n5/7r1/5K3 w, c8d8
1步杀, 1步杀416, 车马兵胜车马双士象, 3a1k3/4a1P2/b3N4/9/9/9/9/6n2/5r3/3RK4 w, d0d9
1步杀, 1步杀417, 车马兵胜车马卒士, 4ka3/3P5/9/5r3/4N4/4R4/9/5n3/4p4/5K3 w, e5f7
1步杀, 1步杀418, 车马兵胜车马卒士, 5a3/3k1P3/9/3Nn4/9/3R5/9/9/2rp5/4K4 w, d6b7
1步杀, 1步杀419, 车马兵双士胜车马双炮卒象, 2bk1N1R1/4P4/9/2n6/9/9/9/9/3pA4/2c1KA1rc w, f9h8
1步杀, 1步杀420, 车马双兵双士胜马双卒双士双象, 2P3b2/3k3NR/3aba3/9/9/9/3p4P/4KA3/5p3/2nA5 w, h8f9
1步杀, 1步杀492, 双车马兵双士象胜双车炮卒双士象, 2bk1a3/3ra4/4c4/p6N1/3r5/9/P8/4B2R1/4A4/2R1KA3 w, c0c9
2步杀, 2步杀1006, 车马兵士胜马双卒双士双象, 2b1ka3/4aPN2/4b4/9/9/2R6/9/3p2n2/5p3/3AK4 w, f8e8 e9e8 c4c8
2步杀, 2步杀1007, 车马兵胜马三卒双象, 5k3/3NR4/4b4/9/2b6/6P2/9/6n2/3p1p3/2p1K4 w, e8e7 f9f8 e7f7
2步杀, 2步杀1008, 车马兵士胜马三卒士双象, 2b6/3k5/b3Pa3/9/N8/1n7/5p3/9/3p1p3/3AK1R2 w, a5b7 d8d9 g0g9
2步杀, 2步杀1009, 车马兵胜马炮双卒双士双象, 2bk1c1R1/4aN3/3a4b/2P6/9/9/9/2n1p4/5p3/4K4 w, h9f9 d9d8 f8e6
2步杀, 2步杀1010, 车马兵胜双马双炮多卒双士双象, 2b5R/2c1aN3/3kba3/n1P6/9/9/1c5n1/2p1K1p2/3p1p3/4p4 w, i9d9 c8d8 c6d6
2步杀, 2步杀1011, 车马兵胜车卒双士, 3ak4/4aP3/9/9/3RN4/9/9/9/2p1r4/3K5 w, d5d9 e8d9 e5d7
2步杀, 2步杀1012, 车马兵双士双象胜车炮双象, 2bk5/2P6/4bN3/6R2/9/4c4/3r5/4B4/4A4/4KAB2 w, g6g9 e7g9 c8c9
2步杀, 2步杀1013, 车马兵象胜车炮卒, 3N5/4P4/3k5/9/9/9/9/B8/5p3/crR1K4 w, d9b8 b0b8 c0c7
2步杀, 2步杀1014, 车马兵胜车双炮双卒士象, 4c4/2P6/3k1ar2/4R4/1cbN5/9/9/5p3/4p4/5K3 w, e6e7 c5e7 d5b6
2步杀, 2步杀1015, 车马兵胜车马双士双象, 3a1kb2/4a4/3NbP3/9/9/9/6R2/5n3/4r4/3K5 w, g3g9 e7g9 f7f8
2步杀, 2步杀1016, 车马兵胜车马卒象, 3k5/4P4/4bN3/9/9/9/9/3n5/4r1p2/2R2K3 w, c0c9 e7c9 e8d8
2步杀, 2步杀1018, 车马兵胜车马卒双士象, 2Rak4/3Pa4/4b1n2/5N3/9/9/9/9/1r2p4/3K5 w, d8e8 g7e8 c9d9
2步杀, 2步杀1019, 车马兵胜车马卒双士象, r3ka3/3Pa4/3Nb4/9/9/9/2R6/6n2/5p3/4K4 w, d8e8 e9e8 c3c8
2步杀, 2步杀1020, 车马兵胜车马卒双士双象, 2bak4/1N1RaP3/4b4/9/9/9/9/2n3r2/5p3/4K4 w, d8d9 e8d9 b8d7
2步杀, 2步杀1021, 车马兵士胜车马卒双士双象, 3ak1b2/2NPa4/4b4/9/9/7R1/9/2nA5/3r1p3/4K4 w, d8e8 e9e8 h4h8
2步杀, 2步杀1022, 车马兵双士双象胜车马卒双士双象, 2bak4/1N1RaP3/4b4/9/9/9/9/6n2/3p1r3/2BAKAB2 w, d8d9 e8d9 b8d7
2步杀, 2步杀1023, 车马兵双士双象胜车马卒双士双象, 4kab2/3PaR1N1/4b4/9/9/9/9/2n6/3r1p3/2BAKAB2 w, f8f9 e8f9 h8f7
2步杀, 2步杀1024, 车马兵胜车马双卒, 3P5/4k4/3R3N1/9/9/5n3/8r/5p3/4p4/5K3 w, h7g9 e8f8 d7f7
2步杀, 2步杀1025, 车马兵胜车马双卒双象, 4k4/3P5/b2Nb4/9/9/2R6/9/8n/3p1p1r1/4K4 w, d8e8 e9e8 c4c8
2步杀, 2步杀1026, 车马兵双士双象胜车马炮双士双象, 2b2k3/4a4/5a3/r8/2b5N/4c1P2/3n5/3AB4/4A4/4K1BR1 w, h0h9 f9f8 i5h7
2步杀, 2步杀1027, 车马兵胜车马炮卒双士, 3ak4/4ar3/4PN3/9/8R/9/9/2n6/5p3/c3K4 w, e7e8 d9e8 i5i9
2步杀, 2步杀1028, 车马兵双士象胜车马炮卒双士双象, 3a2b2/7R1/4ka2b/9/4N4/2B6/P8/3A5/rp1nA4/2c2K3 w, h8d8 d9e8 e5g6
2步杀, 2步杀1029, 车马兵双士双象胜车马双炮卒士象, 2Nc1a3/3k5/8b/7P1/4R1p2/9/9/4B4/4Anr2/4KABc1 w, e5e7 g5g4 c9b7
2步杀, 2步杀1030, 车马兵双士双象胜车双马双士双象, 2bak4/1N1RaP3/4b4/9/9/4n4/9/4B4/1n3r3/2BAKA3 w, d8d9 e8d9 b8d7
2步杀, 2步杀1031, 车马兵双士双象胜车双马炮卒双士象, 3aka3/4n2N1/7R1/4n4/6b2/6B2/8P/4B1c2/4A1p1r/4KA3 w, h7e7 g5e7 h8f7
2步杀, 2步杀1032, 车马兵象胜双车双卒双士双象, 5kbR1/4a1P2/3Nba3/9/9/9/9/9/3p1pr2/4K1B1r w, h9g9 e7g9 g8f8
2步杀, 2步杀1033, 车马兵双士双象胜双车马炮双卒双士双象, r3P1b2/4an3/b2k1a3/2R6/2N6/2c3B2/9/4p3B/4Apr2/4KA3 w, c6d6 d7e7 d6e6
2步杀, 2步杀1034, 车马双兵胜双炮多卒双士双象, 3N1ab2/2P1k4/b4a3/9/8R/9/4P4/2p1K1p2/3ppp3/2c3c2 w, i5e5 g9e7 e5e7
2步杀, 2步杀1035, 车马双兵士胜马双炮卒士双象, 9/3k1N2R/b2a1P2b/9/9/6P2/9/2n6/5pc2/c3KA3 w, f8d7 d8d7 f7e7
2步杀, 2步杀1036, 车马双兵胜车双卒, 1P4P2/4k4/1N3R3/9/9/9/7r1/5p3/4p4/5K3 w, b7c9 e8e9 f7f9
2步杀, 2步杀1037, 车马双兵胜车双卒, 2P1k4/1P4R2/9/4N4/9/9/7r1/5p3/4p4/5K3 w, c9d9 e9d9 g8g9
2步杀, 2步杀1038, 车马双兵双士双象胜车双炮双卒双士双象, 2bak4/4ar3/4b4/1N2p4/9/4P2R1/4c2cP/4B4/4Ap3/3AK1B2 w, b6c8 e9f9 h4h9
2步杀, 2步杀1039, 车马双兵双士象胜车马双炮卒双士象, 2P6/3kaN3/c1P2a2b/9/9/9/1n7/4R4/3p1r3/3AKABc1 w, e2e8 f7e8 f8e6
2步杀, 2步杀1040, 车马双兵双士象胜车双马卒双士双象, 3ak1b1N/3Pa1R1n/4b4/9/9/6P2/9/3A3n1/3pA2r1/2B2K3 w, g8e8 d9e8 i9g8
2步杀, 2步杀1041, 车马双兵双士双象胜车双马炮双卒双象, 2b1R1b2/c2P1k3/4r1P1n/9/4N4/2B6/9/5An2/3pAp3/2B1K4 w, d8e8 e7e8 g7f7
2步杀, 2步杀1042, 车马双兵胜双车双马炮, 2r6/9/3k1N1R1/4P4/5P3/5n3/5n3/5K3/5c3/5r3 w, e6d6 d7e7 f7g9
2步杀, 2步杀1043, 车马三兵双士双象胜车马炮双卒双象, 4R4/3k1P3/4b4/9/p1p3b2/5cn2/P1P2r3/N3B4/4A4/3AK1B2 w, f8e8 d8d7 e9d9
2步杀, 2步杀1044, 车马三兵双士象胜车马炮多卒双士象, 2ba1k3/4an3/5c3/p5p1p/5N3/3R2P2/P7P/9/5p1r1/2BAKA3 w, d4d9 e8d9 f5g7
2步杀, 2步杀1045, 车马三兵双士双象胜车双马炮三卒双士, 3ak4/4a1n2/4c1N2/p2np1p2/9/9/P3P3P/4B4/4A4/1rBA1K1R1 w, h0h9 e8f9 h9f9
2步杀, 2步杀1046, 车马三兵胜双车双马炮多卒士象, 7R1/3Nak3/4b4/5P3/3P2p2/4Pn1p1/1r2rn1p1/2pp1K2c/9/9 w, f6f7 f8f7 h9f9
2步杀, 2步杀1210, 车双马兵双士双象胜车马炮卒双士双象, 2b1ka2c/1N2aP3/4b4/6p2/9/9/9/3RBN3/4A1rn1/2BA1K3 w, d2d9 e8d9 b8d7
2步杀, 2步杀1211, 车双马兵胜双车炮双卒, 5k3/3PR4/2N1N3r/9/9/9/9/5c3/3pp2r1/5K3 w, e8e9 f9e9 d8d9
2步杀, 2步杀1212, 车双马兵胜双车双马双炮双卒, 6PrN/4k4/1N3R3/9/9/9/9/9/9/ccpp1Knnr w, b7c9 e8e9 f7f9
2步杀, 2步杀1213, 车双马兵胜双车双马双炮多卒, 9/5R3/3k2c2/3N2P2/3N2p2/3pp1p2/3r2r2/3n2n2/3K2c2/9 w, d5b6 d7e7 d6c8
2步杀, 2步杀1214, 车双马三兵双士双象胜车马炮多卒双士双象, 3k1ab2/2N1a4/4b4/p3p2rp/6p2/2P6/P4R2P/6NcB/3nA4/2BAK4 w, f3d3 e8d7 d3d7
2步杀, 2步杀1325, 双车马兵士双象胜车马炮双士双象, 2baka3/5R3/4b4/2N6/5P3/9/9/4B1n2/9/2BRKA1rc w, d0d9 e9d9 f8f9
2步杀, 2步杀1327, 双车马兵双士胜双车炮卒双士象, 7R1/3Nak3/4baR2/9/9/9/4r1P2/9/4Ap3/3AK1c1r w, g7f7 f8f7 h9f9
2步杀, 2步杀1328, 双车马兵双士双象胜双车双炮三卒双士双象, 1rb1kaR2/3RaP3/4b4/p8/2p3p2/4c4/5cr2/2N1B4/4A4/3K1AB2 w, d8e8 e4e8 f8f9
3步杀, 2步杀1017, 车马兵胜车马卒双士, 4ka3/4aPN2/9/2R6/9/9/4n4/9/3p2r2/4K4 w, c6c9 e8d9 f8e8 e9e8 c9c8
3步杀, 3步杀2081, 车马兵胜马炮双卒象, 4k1N2/6P2/4b4/2c1R4/9/9/5n3/9/2p1p4/3K5 w, e6e7 e9f9 g8f8 f9f8 e7f7
3步杀, 3步杀2083, 车马兵双士胜双马双炮双卒双士双象, c2k1n3/2P6/b2aba3/2N6/9/1R7/9/3A5/3p2p2/4KA1nc w, b4b9 a7c9 b9c9 e7c9 c8c9
3步杀, 3步杀2084, 车马兵胜车卒双士象, 3a2R2/3Nak3/9/5P3/2b6/9/9/9/1r2p4/3K5 w, f6f7 f8f7 g9f9 f7e7 d8c6
3步杀, 3步杀2085, 车马兵象胜车卒士双象, 2ba5/5k3/3Nb1P2/9/9/6R2/9/4B4/2r2p3/4K4 w, g7f7 f8f9 g4g9 e7g9 f7f8
3步杀, 3步杀2086, 车马兵士胜车卒士双象, 4k4/3Pa4/4b4/9/2b2N3/7R1/9/9/2rp5/4KA3 w, d8e8 e9e8 f5g7 e8e9 h4h9
3步杀, 3步杀2088, 车马兵象胜车双卒士双象, 2ba5/5k3/3Nb1P2/9/9/6R2/9/4B4/1r1p1p3/4K4 w, g7f7 f8f9 g4g9 e7g9 f7f8
3步杀, 3步杀2089, 车马兵胜车双卒双士双象, 4kab2/4aPN2/4b4/5R3/9/9/9/4p4/3p2r2/4K4 w, f8f9 e9d9 f6d6 e8d7 d6d7
3步杀, 3步杀2090, 车马兵双象胜车双卒士双象, 2ba5/5k3/3Nb1P2/9/9/6R2/9/4B4/2rp1p3/2B1K4 w, g7f7 f8f9 g4g9 e7g9 f7f8
3步杀, 3步杀2092, 车马兵士胜车炮卒双士象, 3k1a3/2P1a4/4b4/5N3/9/2R6/9/4c4/5p2r/3AK4 w, c8d8 d9d8 c4d4 e8d7 d4d7
3步杀, 3步杀2093, 车马兵士胜车炮卒双士象, 3k1a3/2P1a4/8b/3N5/9/4R4/9/5A3/1r3p3/c3K4 w, c8c9 d9d8 d6f7 e8f7 e4d4
3步杀, 3步杀2094, 车马兵双士胜车炮卒双士双象, 3a1kb2/4a1P2/4b4/3N5/9/2R6/9/8c/5p1r1/3AKA3 w, g8f8 f9f8 c4f4 e8f7 f4f7
3步杀, 3步杀2095, 车马兵双士象胜车炮卒双士双象, 2bk1a3/2P1a4/4b4/5N3/9/2R6/9/4c4/3p1r3/2BAKA3 w, c8d8 d9d8 c4d4 e8d7 d4d7
3步杀, 3步杀2096, 车马兵双士象胜车炮卒双士双象, 3a1kb2/4a1P2/4b4/3N5/9/6R2/9/4c4/3r1p3/3AKAB2 w, g8f8 f9f8 g4f4 e8f7 f4f7
3步杀, 3步杀2097, 车马兵双士双象胜车炮卒双士双象, 2bak4/3Pa4/2N1b4/9/9/3R5/4c4/4B4/2rpA4/4KAB2 w, d8d9 e9f9 d4f4 e8f7 f4f7
3步杀, 3步杀2098, 车马兵胜车炮双卒士双象, 3k1P3/6N2/4ba3/9/6b2/9/9/9/4p1r2/1R1p1K2c w, f9e9 d9d8 b0b8 d8d7 g8f6
3步杀, 3步杀2099, 车马兵胜车双炮双卒士象, 4c4/2P6/4kar2/3R5/1cbN5/9/9/5p3/4p4/5K3 w, d6e6 e7d7 e6e7 c5e7 d5b6
3步杀, 3步杀2100, 车马兵胜车马士象, 5a3/3k5/2P6/9/6bN1/4R4/9/3r2n2/9/4K4 w, c7c8 d8d7 e4e7 g5e7 h5f6
3步杀, 3步杀2101, 车马兵双士双象胜车马双士双象, 2b1ka3/1N1Pa4/4b4/9/7R1/9/1nr6/4B4/4K4/2BA1A3 w, d8d9 e8d9 b8d7 e9e8 h5h8
3步杀, 3步杀2103, 车马兵胜车马卒象, 9/3k1P3/4bN3/9/9/9/9/3n5/4r1p2/2R2K3 w, f8e8 d8d9 c0c9 e7c9 e8d8
3步杀, 3步杀2104, 车马兵胜车马卒双士象, 2b1ka3/R2Pan3/5N3/9/9/9/9/9/3r1p3/4K4 w, d8e8 f9e8 a8e8 e9f9 f7h8
3步杀, 3步杀2105, 车马兵胜车马卒双士象, 3a1k1NR/4a4/4b1P2/9/9/9/9/2n1p4/5r3/4K4 w, h9f8 f9f8 g7g8 f8f7 i9i7
3步杀, 3步杀2106, 车马兵士胜车马卒双士象, 3aka3/5P3/4b4/4N4/7R1/9/9/2n6/1r3p3/4KA3 w, f8f9 e9f9 e6g7 f9e9 h5h9
3步杀, 3步杀2107, 车马兵士胜车马卒双士象, 3aka3/5P3/4b4/4N4/9/9/9/2n5R/1r3p3/4KA3 w, f8f9 e9f9 e6g7 f9e9 i2i9
3步杀, 3步杀2108, 车马兵双士胜车马卒士象, 5a3/3k5/2P6/9/6bN1/4R4/9/5An2/3r1p3/3AK4 w, c7c8 d8d7 e4e7 g5e7 h5f6
3步杀, 3步杀2110, 车马兵士双象胜车马卒士双象, 2ba5/5k3/3Nb4/5P3/9/6R2/1r7/2n1B4/3p5/2B1KA3 w, f6f7 f8f9 g4g9 e7g9 f7f8
3步杀, 3步杀2111, 车马兵胜车马双卒象, 2b2RP2/9/2N1k4/9/4p4/9/6n2/9/4p1r2/3K5 w, c7d9 e7e8 f9f8 e8e9 g9f9
3步杀, 3步杀2112, 车马兵双象胜车马双卒双士象, 2b1ka3/3Pa4/6N2/7R1/9/9/9/2n1B4/r1p1p4/3K2B2 w, d8e8 f9e8 h6h9 e8f9 h9f9
