1步杀421,1Rb1kc3/4a4/4bc3/1N2C4/9/9/9/9/9/3K5 w
1步杀422,3a2N2/Cn2ak3/1R7/9/9/9/9/3Ap4/3p1p3/2c1K4 w
1步杀423,C1bakn3/4a4/9/9/3R5/9/9/3A5/5pn1c/3AKN3 w
1步杀424,2b1ka3/4a4/9/4R4/6N2/9/6r2/9/9/2BAKAB1C w
1步杀425,2baka3/3R5/3Nb4/9/4p4/1C7/9/9/4p1r2/5K3 w
1步杀426,9/C3a3R/c3ck3/9/9/2N6/9/4B4/4Ar3/3AK4 w
1步杀427,2ba1k2C/4a1R1N/4b4/9/9/9/6r2/2n1p4/9/4K4 w
1步杀428,2bk1abr1/9/1N1a1R3/9/9/9/9/C3B4/4A3n/2BA1K2c w
1步杀429,3k5/4aN1r1/3a5/3RC4/9/9/c1n6/9/4p4/3K5 w
1步杀430,3k1a3/4aN3/9/7R1/9/9/9/2n1CA3/1r1p5/c3K4 w
1步杀431,3k3r1/4aN3/3a5/9/9/3R5/9/4C1n2/3p5/3AK3c w
1步杀432,C2a2b2/3R5/4kaN2/4p4/4n4/9/9/9/2r1Ac3/3K1A3 w
1步杀433,3aka1R1/4nrN2/9/9/9/9/9/2n2C3/3p1p3/4KA3 w
1步杀434,2bak4/4a4/4b1N1n/4C3p/5R3/9/9/2n1B4/3r1p3/4KA3 w
1步杀435,3k2N1R/3n5/b3n4/9/2b6/9/9/4B4/1r1pA4/c3KCB2 w
1步杀436,3akc3/4a4/3n1n3/1C7/4N4/4R4/9/3A5/9/r1c1KA3 w
1步杀437,2b1k4/5R3/3abNc2/9/9/9/9/1r3C3/2p1A1r2/3K1AB2 w
1步杀438,2c1k1b2/2NRa4/b2a5/9/9/7r1/9/1C7/4A1p1r/2BA1K3 w
1步杀439,3ak1n2/3Ra4/3Nb1r2/4C4/9/9/9/4r4/4AK3/9 w
1步杀440,2b6/4ak1N1/4ba3/5R3/9/9/9/4BC3/2r1A2nr/c1BAK4 w
1步杀441,3ak4/6Rn1/6n2/3N5/4C4/9/9/2r6/4r4/c4K3 w
1步杀442,R8/3ka2nC/2Nab4/1n7/2b6/9/9/p3p3p/1c1r1p1r1/2p1K1c2 w
1步杀459,4C4/9/CR1ak4/9/9/8n/9/3AN4/4AK1n1/9 w
1步杀460,C1bR5/4Nk1r1/4b4/4C4/9/9/9/9/2pcp4/3K5 w
1步杀461,3ak1C2/3Ra2N1/5c2c/9/2b6/9/9/5C3/4r4/3K2p2 w
1步杀462,5k3/1C1NR1r2/8c/4n4/2r6/9/9/5p3/3p2p2/3pCK3 w
1步杀471,5k3/2N1a4/4b2n1/9/5N3/4c4/2c2r3/2R1BC3/4A4/2BAK4 w
1步杀472,6b2/1R4rC1/3k4b/4n4/4N1N2/9/5c3/3p5/2p1pc3/3K5 w
1步杀473,2b1kNc1C/3n2R2/b2N5/1r6c/7n1/9/9/5p3/4p4/5K3 w
1步杀474,9/5k3/3a5/c3Rcpnn/3C5/9/2r3NN1/3p5/4p4/3K5 w
1步杀475,3k1Nc2/9/1rnn4b/6N2/9/9/4R4/4r4/2p1Cc3/3K1p3 w
1步杀476,1c3R3/1C7/3Nk4/1N4pr1/n5b2/9/9/9/2p1p4/3Knr1c1 w
1步杀477,1R7/1N1ka2NC/b8/p8/nnb6/5c3/9/1r1p5/2p6/3Kcr3 w
1步杀493,4k4/2n1a1R2/3a2R2/9/7NC/9/9/1cn6/3p1p3/c3KA2r w
2步杀1047,6b2/3Rak1C1/4ba2c/7N1/9/9/9/9/4p1p2/5K3 w
2步杀1048,4R4/2CNak3/9/9/9/9/9/5n3/4p4/1p1K5 w
2步杀1049,4R4/3Na4/5k3/9/9/9/9/5n3/4p4/1pCK5 w
2步杀1050,3a1k3/4a4/4Nc3/9/9/2n6/n8/3A1R3/4A4/3KC4 w
2步杀1051,3a5/1N1ka4/4b4/1c1n5/9/9/9/3AB4/3C1p1n1/2R1KAp1c w
2步杀1052,2C1kaR2/4a4/2N6/9/9/9/9/9/3r1p3/4K4 w
2步杀1053,3a5/1C2k4/5N2R/9/9/9/r8/3p5/4p4/3K5 w
2步杀1054,5R3/4k4/9/4C1N2/2b6/9/9/5p3/4p2r1/5K3 w
2步杀1055,2bak4/9/9/3N1R3/9/5C3/9/9/4p1pr1/5K3 w
2步杀1056,3k1NRC1/9/3aba3/9/6b2/9/9/9/2rp1p3/4K4 w
2步杀1057,3ak1b2/3R5/4b4/9/4N4/4C3r/7p1/6p2/3p1p3/4K4 w
2步杀1058,1r1Nk1b2/R3a4/4c4/9/9/9/9/4C4/4p4/3K5 w
