11步杀7987,4N4/4a4/4ka2N/9/9/9/8C/C2p5/4pp3/3K3R1 w
11步杀8605,2n3bc1/9/4k2n1/2R1N4/4Ncb2/4R1C2/9/4r4/1r2p1p2/2C2K3 w
11步杀8723,2bk4C/9/3a5/5cN2/9/1R7/9/9/3p1r3/4K4 w
11步杀8735,2ck2b2/2N1a1r2/4b4/4p4/9/7R1/n8/3C5/4p4/3K5 w
11步杀9167,1C2N4/4a3R/5k3/9/9/9/r8/3p5/4p4/3K5 w
11步杀9168,1C1a5/3k5/3a5/9/2N6/3R5/7r1/5p3/4p4/5K3 w
11步杀9169,9/1C1k5/9/9/4N4/3c5/3r5/3p5/4p4/3K2R2 w
11步杀9170,9/5k1C1/9/9/4N4/9/5c3/4p4/3p1r3/2R1K4 w
11步杀9171,2bak3C/4a4/6R2/6N2/9/6r2/4c4/9/2p2p3/4K4 w
11步杀9172,C1b1N4/1R7/3ck4/9/4p4/9/9/9/3p1p2r/4K4 w
11步杀9173,6R2/3k3C1/2Nn5/9/9/9/9/r2p5/4p4/3K5 w
11步杀9174,3a3R1/C1N1ak3/4b4/5r3/2b6/9/9/3n1p3/4p4/c4K3 w
11步杀9176,3a1k3/4a2n1/8b/3n5/2b5N/2B6/5p3/B3C1R2/1r1p5/4KA3 w
11步杀9178,4R4/9/3k5/3C5/2bNp4/r8/9/9/1r2p4/3K5 w
11步杀9179,1r2R4/3kaNc2/9/9/C8/9/9/3r5/3p1p3/4K4 w
11步杀9180,C2a4c/4k4/N2a5/9/9/1R7/5r3/5p3/4p1r2/5K3 w
11步杀9181,8r/3n1k2r/3a1a3/2pN5/2b2Rb1n/3p1C2c/9/5p3/4p4/5K1c1 w
11步杀9238,C2a5/8R/1N2k4/9/C2c5/9/9/5p3/r3p4/c2AnK3 w
11步杀9239,2b1ka3/4a2n1/4b2n1/6C2/3N5/9/7r1/3C1p3/4p4/2R2K3 w
11步杀9240,3r1R3/C4N2C/c3k4/9/9/9/9/5pn2/4p1r2/5K3 w
11步杀9265,6b2/7r1/5k3/9/3N5/6BR1/7NC/5p3/4p1p2/5K3 w
11步杀9266,2N6/5k3/5a3/5R3/5C3/9/1Nc3r2/5p3/4p4/5K3 w
11步杀9267,3R5/2C1k4/9/2n6/2N2N3/9/2n6/3pc4/1r2p4/3K5 w
11步杀9268,5k3/9/3nRN3/2n6/7N1/3C1c3/4c4/9/2p1p2r1/3K5 w
11步杀9269,2b1kN1nC/3R5/n6N1/9/2r3pc1/6c2/9/5p3/4p4/5K3 w
11步杀9270,4k1r2/2nN1R2c/b1N6/4p4/6pn1/3C5/3c5/5p3/4p4/5K3 w
11步杀9271,2bk2bc1/9/1R7/3N2c1r/4N4/1C7/1n7/2r6/6p2/3p1K3 w
11步杀9272,2RN1k3/8C/b4a3/5c3/1nbN5/9/9/3p5/2p5r/3Kcr3 w
11步杀9273,9/C4k3/9/p1N2n3/N5bc1/9/1R4r2/4p4/5p3/rc2K4 w
11步杀9274,2N2k3/4a2r1/3NRn3/Cc7/2b3b1c/9/2r6/5pp2/4p4/5K3 w
11步杀9275,2r2n2c/9/4k3N/3n5/1rN3b2/7R1/4C4/5p3/4p4/5K3 w
11步杀9276,1r1aN3r/C3R4/5kN2/9/6b2/9/9/4c4/2np1p1n1/2c1K4 w
11步杀9277,6bc1/5kN2/2R5b/1rN3n2/6n2/9/5C3/4p4/6p2/1r2cK3 w
11步杀9278,1c4N2/9/1c1k4C/4pR1n1/2bN2b2/r1n4r1/9/3p5/4p4/3K5 w
11步杀9279,r5n2/1C2n2c1/4k3b/9/2b3N2/3N5/9/3pp4/2p6/1R1Kc1r2 w
11步杀9280,2bRra1c1/2N1kn1NC/5a3/2r5c/2b1p4/1n7/9/9/3p1p3/4K4 w
11步杀9282,cNc3b2/5N3/4k4/2p1nRp2/2b6/3n5/9/9/3p1p1r1/2p1KCr2 w
11步杀9335,C3kab2/4a4/2R1b4/9/9/1R3Nr2/9/9/3p2r2/4K4 w
11步杀9337,2ba3r1/5k3/b8/1n3N2C/4p4/3R2R2/9/5p1r1/4p4/5K3 w
11步杀9338,2ck1a2N/9/5a2b/4R2Cn/9/2R6/3rp4/B3B4/4r4/5K3 w
11步杀9339,4ka3/4a4/1r2b2c1/9/2b1p4/2N6/2n4r1/4C1p2/4A4/R1BAK3R w
11步杀9340,4R1bc1/5k3/9/6p2/4N1b2/9/9/3pnCR2/2r1p2r1/3K5 w
11步杀9341,7c1/2R5c/3k1a1nb/9/1rbN5/1n1r2R2/3C5/5p3/4p4/5K3 w
11步杀9342,4k3c/3R5/4n2r1/9/1n2N2R1/4C4/9/5p3/2r1p1p2/5Kc2 w
11步杀9343,3c1c2R/R8/b2k4C/4Nnp2/1n5r1/9/7r1/9/3p1p3/4K4 w
11步杀9344,1cR2Rb1r/9/4k2C1/2pcNnp2/6n2/9/5r3/5p3/4p4/5K3 w
11步杀9361,2b6/4k4/2NabR3/9/7Cn/1nC1c4/2c6/3p5/4pp3/3K3R1 w
11步杀9362,r1b3C2/1N2k4/3R5/6p2/9/4C4/5n3/4n1c2/3pp1p2/1R3K1c1 w
11步杀9363,1R1a3r1/1C1cak3/2N6/5r3/1R7/9/9/5n3/C3p4/3K5 w
11步杀9364,4C4/4a4/b2ank2b/9/9/1RNR1crC1/3r1p3/3cKA3/4A4/4n4 w
11步杀9365,9/2RN1k3/b5cn1/9/2n2rpc1/4R4/4r4/5p3/6p2/1C1pCK3 w
11步杀9374,2RRck1c1/4a4/3Nb4/9/3N3C1/9/9/rr7/4p4/3K5 w
11步杀9375,2RR1N2C/5k3/5a3/6c2/2n1n1b1N/9/6r2/5p3/4p4/1r1c1K3 w
11步杀9376,C1b4R1/3k4n/7R1/c6Nn/1Nb6/3r5/3p5/3p5/2p1p4/3K1c1r1 w
11步杀9382,5R3/4k4/b2cn4/1Np1N4/4p4/4C4/6r2/4cR3/2p1pr3/3K3C1 w
11步杀9383,1r1a2R2/2Rn5/3k2N2/n5p2/N1C3b1C/9/9/9/3p1p3/3cKc1r1 w
11步杀9384,1R1a5/3N1k3/2r1Ra2c/9/2r2Nn2/3n5/4c4/5p3/3p2p2/1C1pCK3 w
#12步杀8724,2bak3r/4a4/4b2c1/c1p2R1N1/4C4/9/9/9/4AK3/2BA5 w
12步杀8985,5kb2/9/4ba1R1/9/9/2N6/2p6/5p1RC/4p1p1r/5K3 w
12步杀9175,3a5/3k5/b2a5/4p1N1R/2p3b1C/9/n8/1p2B4/3KA4/c1r2A3 w
12步杀9336,3R5/5k3/2Nc1a3/4R4/2C6/9/9/2rA1p1r1/3p2p2/5K3 w
12步杀9454,1C3a3/6N1R/5k3/9/9/9/r8/3p5/4p4/3K5 w
12步杀9456,6R2/3k1n3/2N6/7C1/9/9/9/r2p5/4p4/3K5 w
12步杀9457,1r3R3/4a1c2/3k5/9/2b2Nb2/9/9/3C1K3/4p1r2/3c2n2 w
12步杀9493,C2a5/4k4/1N6R/9/C2c5/9/9/5p3/r3p4/c2AnK3 w
12步杀9518,9/1N2k1C2/9/5RpN1/9/3c5/9/5n3/2p1p4/3K5 w
12步杀9519,2N6/4ak3/9/R8/5C3/9/1Nc3r2/5p3/4p4/5K3 w
12步杀9520,6cN1/4k4/3N5/1cp6/5np2/5C3/8R/9/1rp1p4/3K5 w
12步杀9521,9/4k4/3a1N3/2R3p2/1c5C1/1r5r1/2N3p2/3K1p3/4p4/9 w
12步杀9522,9/4k4/3a1R3/9/2ccN1p2/4N4/3p2p2/2nrBKC2/6r2/9 w
