title, old_name, hint, fen, moves
6步杀, 12步杀6738, 双车马士胜双车卒士双象, 3a3r1/8R/1r2k3b/9/3R2b2/4p1N2/9/9/4A4/3K5 w, d5e5 e7f7 e5f5 f7e7 f5f7 e7f7 g4e5 f7e7 e5g6 e7f7 i8f8
7步杀, 10步杀8503, 双车马象胜双车马卒象, r5n2/9/4k4/9/1Rb3R2/2N6/9/B8/4p1r2/5K3 w, b5b7 e7e8 b7b8 e8e9 g5g1 g9f7 b8f8 e1f1 f0f1 f7g5 g1g5 a9c9 g5g9
9步杀, 10步杀9058, 双车双马胜双车双马双炮双卒, 9/4k4/9/4n4/n1R1N4/2N2r1r1/9/9/2p1pc3/3Kc1R2 w, g0g8 f4f8 c5c8 e8e7 g8g7 f8f7 c8c7 e7e8 g7g8 f7f8 c4d6 e8d8 g8f8 e6f8 e5f7 d8d9 c7c9
9步杀, 11步杀8228, 车马士双象胜车双卒, 9/2N1k4/9/9/9/3R2B2/9/3ABpr2/3p5/4K4 w, c8d6 e8e9 d6f7 e9e8 d4d8 e8e7 f7e5 g2g4 e2g4 f2f1 g4e2 f1e1 d2e1 d1c1 e5g6 e7f7 d8f8
9步杀, 12步杀8504, 双车马双士象胜双车马卒双士双象, 2b2k3/3Ra4/3aN3b/9/9/9/9/2n1B1r2/2p2r3/3AKA1R1 w, e2g4 g2h2 d8d9 f9f8 e7g6 f8f7 d9i9 i7g5 i9g9 f1e1 d0e1 h2h6 g9g7 f7f8 g7g8 f8f9 g8g9
9步杀, 13步杀8416, 车双马双士双象胜车双马炮卒双士象, 3a1k3/1N2a4/6R2/9/2b6/1nBN5/2n6/9/6pr1/1cBAKA3 w, g7g9 f9f8 g9g8 f8f9 d4e6 c5e7 e6g7 h1h7 g8g9 f9f8 b8d9 f8f7 g7f5 c3e4 f5h6 h7h6 g9g7
10步杀, 10步杀8032, 双车马胜车马卒士, 5k3/4a4/8N/9/5r2n/9/6R2/9/4p4/3K2R2 w, g3g9 f9f8 g0g8 f8f7 g8g7 f7f8 g9g8 f8f9 g8f8 f9f8 i7h9 f8f9 g7g9 f9f8 g9a9 f8f7 a9a7 e8d7 a7d7
10步杀, 10步杀8687, 车马胜双车双炮双卒士, 8r/4a4/3k5/8R/3N5/4c4/9/9/r2p1p3/4K2c1 w, i6d6 d7e7 d6a6 e7d7 d5f6 e4e6 a6d6 d7e7 d6e6 e7f7 e6e7 f7f8 e7e8 f8f9 e8e9 f9f8 f6h7 f8f7 e9e7
10步杀, 10步杀8873, 车双马胜车马双炮双卒, 4c3n/5R3/2Nk5/8c/7N1/9/9/5p3/4p3r/5K3 w, h5f6 e9e6 f8f7 d7d8 c7b9 d8e8 f7i7 e8f8 i7i8 f8f7 b9d8 e6e8 i8i7 i9h7 i7h7 f7f8 f6d7 f8f9 h7h9
10步杀, 10步杀8876, 车双马胜双车炮双卒象, 2b2k3/7c1/9/4R1NN1/9/3r5/9/3p5/r3p4/3K5 w, g6h8 f9f8 h8g6 f8f9 e6f6 f9e9 h6g8 e9d9 g6f8 d9d8 f8e6 d8e8 f6f8 e8e9 f8c8 e9f9 c8c9 d4d9 c9d9
10步杀, 10步杀8877, 车双马胜双车双炮双士, 3k1a3/2R6/3a2N2/6N2/2cc5/9/9/9/rr7/3K5 w, g6e7 d7e8 c8c9 d9d8 e7c6 d8d7 c6e5 d7e7 c9c7 d5d7 g7f9 e8f9 c7d7 e7e8 d7d8 e8e7 e5g6 e7f7 d8f8
10步杀, 10步杀8878, 车双马胜双车双马双炮多卒象, 2r2k1N1/9/7R1/2pN2p2/1nb6/9/9/2ncc4/2p2p3/3K1p1r1 w, h7f7 f9e9 f7e7 e9d9 h9f8 d9d8 e7e8 d8d7 e8e2 d7d8 e2e8 d8d7 e8a8 d7e7 f8g6 e7d7 g6e5 d7e7 d6f5
10步杀, 10步杀8969, 双车马双象胜车马卒双士双象, 3ak4/4a4/4b4/9/6b2/1NB6/9/4B2R1/2r3pn1/3RK4 w, h2h9 e7g9 h9g9 e8f9 d0d9 e9d9 g9f9 d9d8 f9e9 d8d7 b4c6 c1e1 e0e1 g1f1 e1e0 f1f0 e0e1 g5e7 e9e7
10步杀, 10步杀8970, 双车马双士胜车马炮双士象, 3a5/4ak3/4b2R1/2R1N4/2c6/9/9/3A5/1n1KA4/2r6 w, h7h8 f8f7 e6g5 e7g5 h8h7 f7f8 c6f6 e8f7 h7f7 f8e8 f7f8 e8e9 f6e6 g5e7 e6e7 d9e8 e7e8 e9d9 f8f9
10步杀, 10步杀8972, 双车马胜车双马双炮双卒象, 2b2k3/9/2n1nN3/6Rc1/9/5R3/9/2rp5/6c2/3K1p3 w, g6g9 f9f8 g9g8 f8f9 f7h6 f9e9 h6f7 e9f9 f7g9 f9e9 g8e8 c7e8 g9f7 e9d9 f4d4 e7d5 d4d5 e8d6 d5d6
10步杀, 10步杀8973, 双车马胜双车卒象, 5Nb1R/4k4/9/9/9/3R5/9/3p5/r7r/3K5 w, d4e4 e8f8 e4f4 f8e8 f9g7 e8e7 g7f5 e7e8 f5d6 e8d8 d6f7 d8d7 f7e5 d7e7 e5g6 e7e8 f4f8 e8e9 i9g9
