10步杀8032,5k3/4a4/8N/9/5r2n/9/6R2/9/4p4/3K2R2 w
10步杀8503,r5n2/9/4k4/9/1Rb3R2/2N6/9/B8/4p1r2/5K3 w
10步杀8687,8r/4a4/3k5/8R/3N5/4c4/9/9/r2p1p3/4K2c1 w
10步杀8873,4c3n/5R3/2Nk5/8c/7N1/9/9/5p3/4p3r/5K3 w
10步杀8874,4k4/7n1/1N6N/9/9/3p1R3/9/4B4/2nr1p3/2B1KA3 w
10步杀8875,4k4/7n1/1N2N4/9/9/3p1R3/9/2n1B4/3p1p3/4KA2r w
10步杀8876,2b2k3/7c1/9/4R1NN1/9/3r5/9/3p5/r3p4/3K5 w
10步杀8877,3k1a3/2R6/3a2N2/6N2/2cc5/9/9/9/rr7/3K5 w
10步杀8878,2r2k1N1/9/7R1/2pN2p2/1nb6/9/9/2ncc4/2p2p3/3K1p1r1 w
10步杀8967,3ak4/4a4/4b4/2N6/9/9/6p2/5n3/4r4/3R1K1R1 w
10步杀8968,2bak4/4a4/4b4/2N6/9/9/6p2/5n3/4r4/3R1K1R1 w
10步杀8969,3ak4/4a4/4b4/9/6b2/1NB6/9/4B2R1/2r3pn1/3RK4 w
10步杀8970,3a5/4ak3/4b2R1/2R1N4/2c6/9/9/3A5/1n1KA4/2r6 w
10步杀8971,4kab2/4a4/3cb3n/1R5N1/9/3R2B2/9/4B4/3p1p1r1/4K4 w
10步杀8972,2b2k3/9/2n1nN3/6Rc1/9/5R3/9/2rp5/6c2/3K1p3 w
10步杀8973,5Nb1R/4k4/9/9/9/3R5/9/3p5/r7r/3K5 w
10步杀8974,5a3/2R1a2rr/b3k4/2c1pc3/5N3/3R5/9/3p5/2p1p4/3K5 w
10步杀8975,3ak4/4a4/4b4/9/2b4R1/1N5n1/5p1r1/3RB4/2p1r4/2B2K1c1 w
10步杀8976,3a1k3/4a1n2/4b2R1/9/2r1c1R2/5n2N/9/3p5/8r/3K5 w
10步杀9056,4kab2/1N2a4/3cb3n/3NpR3/9/9/5R3/5nr2/4p4/5K3 w
10步杀9057,4kab2/1N2a4/3cb3n/3NpR3/9/9/5R3/5n1rB/4p4/5K2c w
10步杀9058,9/4k4/9/4n4/n1R1N4/2N2r1r1/9/9/2p1pc3/3Kc1R2 w
11步杀7503,1R1ak1bR1/2r6/2N1b4/9/6p2/9/9/B3r4/4A4/5K3 w
11步杀8228,9/2N1k4/9/9/9/3R2B2/9/3ABpr2/3p5/4K4 w
11步杀9260,3k2c2/5R3/9/2pN1N1c1/9/9/9/3p5/2r1p4/3K5 w
11步杀9261,3N5/9/3kba3/1Rp3c2/2c6/3N5/9/5p3/4p1r2/5K3 w
11步杀9262,5a3/3k5/2Ra2N2/6N2/2cc5/9/9/9/rr7/3K5 w
11步杀9328,4ka3/4a4/4b4/9/2p3b2/1N7/R3p4/3AB4/2r3r2/1cBAKR3 w
11步杀9329,2b3cc1/4ak3/2R5b/1rNR5/2r6/5n3/9/3p5/9/3K1p3 w
11步杀9330,3k2r2/4a4/7nr/1Rp6/n1b6/3N5/9/1R3p3/c1c1p1p2/5K3 w
12步杀6738,3a3r1/8R/1r2k3b/9/3R2b2/4p1N2/9/9/4A4/3K5 w
12步杀8504,2b2k3/3Ra4/3aN3b/9/9/9/9/2n1B1r2/2p2r3/3AKA1R1 w
12步杀9508,2R6/4kn1N1/5N3/9/9/9/9/5pn2/4p1c2/5K1c1 w
12步杀9509,1N1kcR2n/9/9/8c/7N1/9/9/5p3/4p3r/5K3 w
12步杀9510,9/4ak3/9/2N3rN1/9/9/4R3p/9/4A3r/4KA3 w
12步杀9511,2b6/7cN/5k3/4R4/8N/3r5/9/3p5/r3p4/3K5 w
12步杀9512,6r2/1c7/4ka3/3R5/3N2r2/3N5/9/3n5/4p4/5K3 w
12步杀9513,n1c1N4/3R5/4k4/4pcp2/9/6N2/6r2/4r4/4p4/3K5 w
12步杀9565,2bak4/4a4/4b4/9/6NRR/9/9/3p5/r3p4/3K1p3 w
12步杀9567,2b2k3/1n7/9/1n4p2/2rc4R/4N1r1R/9/5p3/4p4/5K2c w
12步杀9591,5a3/2R1a2rr/b3kc3/4pc3/9/1N1R5/6N2/3p5/2p1p4/3K5 w
13步杀8416,3a1k3/1N2a4/6R2/9/2b6/1nBN5/2n6/9/6pr1/1cBAKA3 w
