title, old_name, hint, fen, moves
1步杀, 1步杀138, 马兵胜将, 3k5/4P4/9/2N6/9/9/9/9/9/4K4 w, c6b8
1步杀, 1步杀139, 马兵胜双象, 6b2/3P5/4k3b/9/9/6N2/9/9/9/3K5 w, g4h6
1步杀, 1步杀140, 马兵胜双象, 9/7P1/1N2k3b/9/6b2/9/9/5K3/9/9 w, b7c9
1步杀, 1步杀141, 马兵士胜双士, 4k1P2/4a4/3a5/2N6/9/9/9/9/9/4KA3 w, c6b8
1步杀, 1步杀142, 马兵胜卒象, 9/6P2/b4k3/9/9/6N2/9/9/3p5/4K4 w, g4h6
1步杀, 1步杀143, 马兵胜双卒士双象, 6b2/4a4/3kb4/2N1P4/9/9/9/9/3p1p3/4K4 w, e6d6
1步杀, 1步杀144, 马兵胜双卒双士双象, 3a1kb2/2N1a4/4bP3/9/9/9/9/9/4p1p2/5K3 w, f7f8
1步杀, 1步杀145, 马兵双士胜炮双象, 2b1kc3/3P5/2N1b4/9/9/9/9/9/9/3AKA3 w, d8e8
1步杀, 1步杀146, 马兵象胜炮双卒, 4kc3/5P3/2N6/9/9/9/9/4B4/3p1p3/4K4 w, f8e8
1步杀, 1步杀147, 马兵双士胜炮双卒双士, 1N7/4a4/3k1a1c1/9/3P5/9/9/5A3/5pp2/4KA3 w, d5d6
1步杀, 1步杀148, 马兵胜炮双卒双士双象, N2akab2/5P3/4b4/9/9/9/9/9/2p2p3/c3K4 w, a9c8
1步杀, 1步杀149, 马兵胜炮三卒双士象, 4P4/4ak3/4ba2N/9/9/9/9/9/3p1pp2/4K1c2 w, i7h9
1步杀, 1步杀150, 马兵胜马, 9/4P4/5k3/6nN1/9/9/9/9/4K4/9 w, e1e2
1步杀, 1步杀152, 马兵胜马双士, 2P1ka3/4an3/9/7N1/9/9/9/9/9/4K4 w, h6f7
1步杀, 1步杀153, 马兵胜马双士, 3aka3/3P3N1/9/9/2n6/9/9/9/9/5K3 w, h8f7
1步杀, 1步杀154, 马兵士胜马双士, 3a5/2P1n1N2/3k1a3/9/9/9/9/3A5/9/4K4 w, g8e9
1步杀, 1步杀155, 马兵胜马卒士, 9/3P5/3ak1N2/9/9/9/8n/9/4p4/5K3 w, g7f9
1步杀, 1步杀156, 马兵双象胜马卒, 4k4/3P5/9/7N1/9/9/6n2/4B4/4p4/5KB2 w, h6g8
1步杀, 1步杀157, 马兵胜马卒双士, 9/4a4/3ak4/3P5/9/9/9/2Nn5/4p4/5K3 w, d6e6
1步杀, 1步杀158, 马兵胜马双卒象, 9/3k1N3/9/3P5/2b6/9/9/6n2/3p1p3/4K4 w, d6d7
1步杀, 1步杀159, 马兵胜马双卒双象, 3k5/2P2n3/b4N3/9/2b6/9/9/9/3p1p3/4K4 w, c8d8
1步杀, 1步杀160, 马兵胜马双卒双士, 4ka3/3Pa4/2N6/9/9/9/9/6n2/3p1p3/4K4 w, d8d9
1步杀, 1步杀161, 马兵胜马双卒双士双象, 2baka3/5P3/4b1N2/9/9/9/9/2n6/3p1p3/4K4 w, f8f9
1步杀, 1步杀162, 马兵胜马三卒双士象, 3a1nb2/4ak3/4P4/9/8N/9/9/4p4/3p1p3/4K4 w, i5h7
1步杀, 1步杀163, 马兵胜马炮士, 3ack3/4n1P2/9/2N6/9/9/9/9/3K5/9 w, c6d8
1步杀, 1步杀164, 马兵双士胜马炮双士, 3ank3/3Na1P2/9/9/9/9/9/9/3K5/3AcA3 w, d1e1
1步杀, 1步杀165, 马兵胜马炮卒双士, 3ak1P2/4a4/9/3N5/3c5/9/1n7/9/5p3/4K4 w, d6f7
1步杀, 1步杀166, 马兵士双象胜双马炮士象, 5k3/6P2/3N1a2b/9/9/9/5n3/B1n1B4/3K4c/3A5 w, g8f8
1步杀, 1步杀167, 马兵双士双象胜车双士, 3ak1r2/4aPN2/9/9/9/9/9/4B4/4A4/3A1KB2 w, f8f9
1步杀, 1步杀168, 马兵胜车双马卒双士双象, 2baka3/3Pn4/3Nb4/9/9/9/9/6n2/2r2p3/4K4 w, d8c8
1步杀, 1步杀169, 马双兵士胜双士双象, 2bak4/4aP3/b8/1PN6/9/9/9/9/9/4KA3 w, c6d8
1步杀, 1步杀170, 马双兵胜马卒士, 2P6/3k1P3/3a2N2/9/9/3n5/9/9/4p4/3K5 w, g7f9
1步杀, 1步杀171, 马双兵胜马双卒双士双象, 2b3P2/3Pak1N1/4ba3/9/9/9/9/2n6/3p1p3/4K4 w, h8g6
1步杀, 1步杀173, 马双兵士双象胜车炮卒双士, 3aka3/5P3/4PN3/9/9/9/9/4B4/5p3/cr1AK1B2 w, f8e8
1步杀, 1步杀174, 马三兵双象胜双炮三卒象, 6N2/4P1P1c/4ck3/9/6b2/9/4P4/5p2B/4p4/3p1KB2 w, g8h8
1步杀, 1步杀287, 双马兵胜炮双士双象, 4kcb2/3Pa4/5a2b/4N2N1/9/9/9/9/9/4K4 w, e6f8
1步杀, 1步杀288, 双马兵胜双马象, 2bnk4/1P1Nn4/9/6N2/9/9/9/9/4K4/9 w, g6h8
1步杀, 1步杀289, 双马兵士双象胜车炮卒双士, 2P1k4/4a4/N2a2N2/9/9/9/4c2r1/4B4/3pA4/2B1K4 w, a7c8
