title, old_name, hint, fen, moves
1步杀, 1步杀223, 马炮兵胜双士双象, 2bak4/3PaCN2/4b4/9/9/9/9/9/5K3/9 w, f8f9
1步杀, 1步杀225, 马炮兵双象胜双卒双象, 4N1b2/4P1C2/3kb4/9/9/9/9/4B4/4p1p2/2B2K3 w, e8f8
1步杀, 1步杀226, 马炮兵双士胜炮卒双士双象, 4kab2/4aP3/4b4/9/6p2/9/9/2c3C2/4AN3/3A1K3 w, g2g9
1步杀, 1步杀227, 马炮兵胜炮多卒双士双象, 3kc4/C1P1a4/b1Nab4/9/9/9/9/4p4/3p1p3/2p1K1p2 w, c8b8
1步杀, 1步杀228, 马炮兵士双象胜马双士双象, 2bk1a3/3naN3/b8/1P7/9/6B2/9/5A2B/3K5/C8 w, a0e0
1步杀, 1步杀229, 马炮兵胜马双卒, 3k1C3/4P1N2/9/9/9/9/9/4p1n2/5p3/4K4 w, g8e9
1步杀, 1步杀230, 马炮兵双士胜马炮士双象, 4kN3/4aP2n/4c3b/4C4/6b2/9/9/9/4A4/3K1A3 w, f9h8
1步杀, 1步杀231, 马炮兵胜马炮卒双象, 2b6/3P1kN2/4b4/9/9/9/9/2n2C3/5p3/c3K4 w, g8f6
1步杀, 1步杀232, 马炮兵胜马炮双卒双士象, 4P2n1/1Cc1ak3/5a2b/5N3/9/9/9/5p3/4p4/3K5 w, f6d7
1步杀, 1步杀233, 马炮兵士胜马双炮多卒双象, 2c3b2/4P4/3kb3c/2N6/2p3p2/9/3n5/7C1/3p1p3/4KA3 w, h2h7
1步杀, 1步杀234, 马炮兵胜双马双士双象, 3ak1nP1/4anN2/8b/9/6b2/9/9/9/5C3/4K4 w, f1f6
1步杀, 1步杀235, 马炮兵胜双马双士双象, C1baka3/4nn3/b7N/1P7/9/9/9/9/9/4K4 w, i7g8
1步杀, 1步杀236, 马炮兵士胜双马卒双士双象, 3a2b2/4a3C/3kb4/n1N6/9/9/8P/9/5p3/n2AK4 w, c6e5
1步杀, 1步杀237, 马炮兵双士胜双马炮双士双象, 2bnca3/3kaPC2/b8/9/3N5/3n5/9/5A3/9/3K1A3 w, d5b6
1步杀, 1步杀238, 马炮兵双士胜双马炮卒双士, 9/C4P3/n2aka3/1N7/9/9/9/3A3n1/3pA4/4K3c w, b6d5
1步杀, 1步杀239, 马炮兵士胜双马双炮双士, 3accn2/4aP2n/3k4C/9/9/3N5/9/3A5/3K5/9 w, d4c6
1步杀, 1步杀240, 马炮兵胜车卒双士象, 3aCNb2/3k5/2P2a3/9/9/9/9/9/1r1p5/4K4 w, e9g9
1步杀, 1步杀241, 马炮兵象胜车炮卒双士双象, 2ba1a3/4k4/4bP3/4N4/9/9/9/9/1r2C2c1/2BK1p3 w, e6c7
1步杀, 1步杀242, 马炮兵胜车马双士, 3N5/C2P5/3aka3/9/9/9/9/6n2/5K3/4r4 w, d8c8
1步杀, 1步杀243, 马炮兵象胜车马双士象, 3a2b2/2P1a4/4k1C2/9/4N4/9/8n/4B4/4r4/5K3 w, e5f7
