title, old_name, hint, fen, moves
1步杀, 1步杀115, 马胜将, 3k5/9/9/7N1/9/9/9/9/9/4K4 w, h6f7
1步杀, 1步杀116, 马胜将, 3k5/9/9/9/6N2/9/9/9/4K4/9 w, g5f7
1步杀, 1步杀117, 马胜将, 9/3k5/7N1/9/9/9/9/9/9/4K4 w, h7f8
1步杀, 1步杀118, 马胜将, 9/5k3/9/2N6/9/9/9/9/9/4K4 w, c6d8
1步杀, 1步杀119, 马胜士, 5k3/9/5a3/9/4N4/9/9/9/9/5K3 w, e5d7
1步杀, 1步杀120, 马胜双士, 3ak4/4a4/9/6N2/9/9/9/9/9/4K4 w, g6h8
1步杀, 1步杀121, 马胜双士, 3ak4/4a4/9/7N1/9/9/9/9/9/5K3 w, h6g8
1步杀, 1步杀122, 马胜双卒双士双象, 4kab2/4a4/4b4/1N7/9/9/9/9/2p1p4/3K5 w, b6c8
1步杀, 1步杀123, 马胜双炮, 4ck3/5c3/9/9/7N1/9/9/9/9/5K3 w, h5g7
1步杀, 1步杀124, 马胜马, 3k5/3n5/9/5N3/9/9/9/9/9/3K5 w, f6g8
1步杀, 1步杀125, 马胜马士, 5k3/9/3a1n3/9/4N4/9/9/9/9/5K3 w, e5d7
1步杀, 1步杀126, 马胜马双士, 3a1k3/5n3/3a1N3/9/9/9/9/9/9/4K4 w, f7h8
1步杀, 1步杀127, 马胜马双士, 4ka3/4n4/5a3/9/1N7/9/9/9/9/4K4 w, b5c7
1步杀, 1步杀128, 马胜马卒双士, 3aka3/4n4/8N/9/2p6/9/9/9/9/4K4 w, i7g8
1步杀, 1步杀129, 马胜马双卒双士, 3aka3/4n4/9/3N5/9/9/9/9/3p1p3/4K4 w, d6c8
1步杀, 1步杀130, 马胜马炮双士, 3aka3/3cn4/9/5N3/9/9/9/9/9/4K4 w, f6d7
1步杀, 1步杀131, 马胜马炮双士, 3nka3/4ac3/9/5N3/9/9/9/9/9/4K4 w, f6d7
1步杀, 1步杀132, 马胜马炮双士, 5c3/3na4/3k1a3/9/9/4N4/9/9/9/4K4 w, e4c5
1步杀, 1步杀133, 马士胜马炮双士, 3ack3/3Nan3/9/9/9/9/9/5K3/9/5A3 w, f2f1
1步杀, 1步杀134, 马士胜马炮双士, 3aka3/4nc3/5N3/9/9/9/9/9/4A4/4K4 w, e1d2
1步杀, 1步杀135, 马胜马炮双士双象, 2ba1a3/3k5/b2n5/9/5cN2/9/9/9/9/4K4 w, g5f7
1步杀, 1步杀136, 马胜车马炮卒, 4ck3/5n3/5N3/9/9/9/9/9/3r1p3/4K4 w, f7h8
1步杀, 1步杀137, 马胜车双马双士双象, 3akab2/4n4/4b3n/7N1/9/9/9/9/7r1/4K4 w, h6f7
1步杀, 1步杀273, 双马胜将, 4k4/4N4/2N6/9/9/9/9/9/9/4K4 w, e0f0
1步杀, 1步杀274, 双马胜将, 4k4/4N4/6N2/9/9/9/9/9/9/4K4 w, e0d0
1步杀, 1步杀275, 双马双象胜双炮双卒双士双象, 3kc1b2/4a4/3ab4/N1N6/2c6/9/9/4Bp3/4p4/5KB2 w, a6b8
