10步杀7652,9/9/1N3k3/6p2/9/9/9/9/9/4K4 w
10步杀8161,3k5/9/9/4p4/9/8N/9/9/9/4K4 w
10步杀8162,3k5/9/9/4p4/9/8N/9/9/9/5K3 w
10步杀8163,5k3/9/9/4p4/9/1N7/9/9/9/4K4 w
10步杀8164,5k3/9/9/4p4/9/N8/9/9/9/3K5 w
10步杀8623,9/3kaN3/9/9/9/9/9/9/9/4K4 w
10步杀8624,9/3Nak3/9/9/9/9/9/9/9/4K4 w
11步杀8622,5k3/9/8b/9/9/1N7/9/9/9/3K5 w
11步杀8625,9/9/3k4b/9/9/2N6/9/9/9/4K4 w
11步杀8626,9/9/b4k3/9/9/6N2/9/9/9/4K4 w
11步杀8627,9/4k4/9/2p6/9/9/9/9/N8/5K3 w
12步杀9090,9/4N4/3k5/9/2b6/9/9/9/9/5K3 w
13步杀8621,3k5/9/b8/9/9/N8/9/9/9/4K4 w
13步杀9388,9/7N1/3kb4/9/9/9/9/9/9/5K3 w
13步杀9389,9/9/4k4/9/2b6/9/9/3N5/5K3/9 w
13步杀9390,9/4k4/9/2p6/9/6N2/9/9/9/5K3 w
13步杀9613,5a3/3k5/2N6/9/9/9/9/9/9/4K4 w
13步杀9614,5k3/4a4/9/2N6/9/9/9/9/9/4K4 w
14步杀9391,9/4k4/9/6p2/9/2N6/9/9/9/3K5 w
15步杀9794,3k1a2N/9/9/9/9/9/9/9/9/4K4 w
15步杀9795,5k3/9/N8/6p2/9/9/9/9/9/4K4 w
16步杀9958,9/3k5/9/6p2/9/9/9/2N6/9/4K4 w
16步杀9959,9/9/3k5/N8/6p2/9/9/9/9/4K4 w
17步杀9110,3k1n2n/8N/8N/9/9/9/9/9/9/4K4 w
19步杀9796,9/3k5/9/N3p4/9/9/9/9/9/4K4 w
1步杀115,3k5/9/9/7N1/9/9/9/9/9/4K4 w
1步杀116,3k5/9/9/9/6N2/9/9/9/4K4/9 w
1步杀117,9/3k5/7N1/9/9/9/9/9/9/4K4 w
1步杀118,9/5k3/9/2N6/9/9/9/9/9/4K4 w
1步杀119,5k3/9/5a3/9/4N4/9/9/9/9/5K3 w
1步杀120,3ak4/4a4/9/6N2/9/9/9/9/9/4K4 w
1步杀121,3ak4/4a4/9/7N1/9/9/9/9/9/5K3 w
1步杀122,4kab2/4a4/4b4/1N7/9/9/9/9/2p1p4/3K5 w
1步杀123,4ck3/5c3/9/9/7N1/9/9/9/9/5K3 w
1步杀124,3k5/3n5/9/5N3/9/9/9/9/9/3K5 w
1步杀125,5k3/9/3a1n3/9/4N4/9/9/9/9/5K3 w
1步杀126,3a1k3/5n3/3a1N3/9/9/9/9/9/9/4K4 w
1步杀127,4ka3/4n4/5a3/9/1N7/9/9/9/9/4K4 w
1步杀128,3aka3/4n4/8N/9/2p6/9/9/9/9/4K4 w
1步杀129,3aka3/4n4/9/3N5/9/9/9/9/3p1p3/4K4 w
1步杀130,3aka3/3cn4/9/5N3/9/9/9/9/9/4K4 w
1步杀131,3nka3/4ac3/9/5N3/9/9/9/9/9/4K4 w
1步杀132,5c3/3na4/3k1a3/9/9/4N4/9/9/9/4K4 w
1步杀133,3ack3/3Nan3/9/9/9/9/9/5K3/9/5A3 w
1步杀134,3aka3/4nc3/5N3/9/9/9/9/9/4A4/4K4 w
1步杀135,2ba1a3/3k5/b2n5/9/5cN2/9/9/9/9/4K4 w
1步杀136,4ck3/5n3/5N3/9/9/9/9/9/3r1p3/4K4 w
1步杀137,3akab2/4n4/4b3n/7N1/9/9/9/9/7r1/4K4 w
1步杀273,4k4/4N4/2N6/9/9/9/9/9/9/4K4 w
1步杀274,4k4/4N4/6N2/9/9/9/9/9/9/4K4 w
1步杀275,3kc1b2/4a4/3ab4/N1N6/2c6/9/9/4Bp3/4p4/5KB2 w
1步杀276,4ka3/1N2an3/9/3N5/9/9/9/9/9/4K4 w
1步杀277,5k3/9/3N1N3/9/9/9/4n4/9/4p4/3K5 w
1步杀278,3kca3/4nN3/5a3/9/2N6/9/9/9/9/5K3 w
1步杀279,3k5/9/5N3/2N6/9/9/9/9/4p1r2/5K3 w
