name,type_red,type_black,fen,branchs,steps,moves
A-侧面虎杀法示意图.XQF,车马仕相全,车马士象全,5ab2/4a4/1R1kb4/2N6/9/6B2/6n2/5K2B/4Ar3/3A5 w,0,0,
A-借将杀法示意图.XQF,单车,将,5k3/9/9/9/9/5R3/9/9/9/4K4 w,0,0,
A-卧槽马杀法示意图.XQF,车马仕相,马炮卒双士,3k1a3/4a1N2/9/9/3R5/5c3/9/4Bp3/4A1n2/5K3 w,0,0,
A-双车错杀法示意图.XQF,双车,双车,3k5/9/9/3R5/9/4R4/9/9/7r1/5K2r w,0,0,
A-挂角马杀法示意图.XQF,车马双相,马炮卒双象,6b2/4k2R1/4bN3/9/9/9/9/3nB4/1cp1K4/2B6 w,0,0,
A-重炮杀法示意图.XQF,双炮双仕,车双炮象,6b2/3r5/3k1C1C1/9/9/9/9/9/4A4/cc2KA3 w,0,0,
A-钓鱼马杀法示意图.XQF,车马双相,车马士双象,2b1k2R1/9/3ab1N2/9/9/9/9/2n1B4/4r4/2BK5 w,0,0,
A-铁门闩杀法示意图.XQF,双车炮双仕相,马炮卒士象全,2bakR3/4a4/4b4/4CR3/9/9/4c4/2n1B4/4A4/3pKA3 w,0,0,
A-闷宫杀法示意图01.XQF,炮双仕,炮双士,4ka1C1/4a4/3c5/9/9/9/9/3A5/3KA4/9 w,0,0,
A-闷宫杀法示意图02.XQF,车双马双炮相,车炮士象,4kaC2/4rN3/4b4/9/5c3/9/9/4BCR2/4NK3/9 w,0,0,
A-马后炮杀法示意图.XQF,马炮双仕,马炮士,3k5/4a4/3N5/9/3C5/9/9/9/4AK1nc/3A5 w,0,0,
B-卧槽马杀法示意图.XQF,马兵双仕相,车马双士,3ak4/2N1aP3/9/9/9/9/5r3/4B4/2n1A4/3AK4 w,0,0,
B-重炮杀法示意图.XQF,马双炮,双炮士象全,2bakab2/9/9/4C4/3cC4/9/9/3c5/9/3KN4 w,0,0,
B-铁门闩杀法示意图.XQF,车马双炮仕相全,车炮卒士象全,2bakR1NC/3ra4/4b4/4C4/9/2B6/4c4/4B4/4A4/3pKA3 w,0,0,
B-马后炮杀法示意图.XQF,马炮兵,车马炮,9/4k4/9/3rN4/4C4/9/4P4/c2n1K3/9/9 w,0,0,
B借将杀法示意图.XQF,单车,双士,3ak2R1/4a4/9/9/9/9/9/9/9/4K4 w,0,0,
炮辗丹沙杀法04.XQF,车双炮双仕,车马炮双卒士象全,2bak4/4a2Rc/4b4/4p4/9/9/2C3C2/6n2/2r2p3/3AKA3 w,0,0,
单兵类(01).xqf,单兵,双士,3ak4/4a1P2/9/9/9/9/9/9/9/4K4 w,1,1,g8g9
桔中秘残局谱_双车炮胜双车.xqf,双车炮相,双车卒,4k4/8C/9/p8/9/3R5/9/3RB4/r3r4/3K5 w,1,1,i8i0
桔中秘残局谱_炮双兵胜双象084.xqf,炮双兵,双象,2b1C1b2/3PP4/3k5/9/9/9/9/9/9/5K3 w,1,1,f0e0
残局攻杀谱_单兵类(01).xqf,单兵,双士,3ak4/4a1P2/9/9/9/9/9/9/9/4K4 w,1,1,g8g9
残局攻杀谱_车马炮类(50).xqf,车马炮,车炮卒双士,3k3r1/4a4/3a5/6N2/9/9/9/3RC4/4p2c1/5K3 w,1,1,g6f8
象棋杀着大全_01单兵和单炮类_定式03.XQF,单炮,双士象,3ak4/4a4/4b4/9/9/6C2/9/9/9/5K3 w,1,1,g4e4
象棋杀着大全_01单兵和单炮类_定式04.XQF,单炮,双士,5a3/5k3/5a3/9/9/9/9/3C5/9/4K4 w,1,1,d2d8
象棋杀着大全_02单马类_定式01.XQF,单马,双士,3ak4/4a4/9/7N1/9/9/9/9/9/5K3 w,1,1,h6g8
象棋杀着大全_02单马类_定式02.XQF,单马,将,9/3k5/7N1/9/9/9/9/9/9/4K4 w,1,1,h7f8
象棋杀着大全_04马兵类_定式01.XQF,马兵仕相全,车双士,3ak1r2/4aPN2/9/9/9/9/9/4B4/4A4/3A1KB2 w,1,1,f8f9
象棋杀着大全_04马兵类_定式02.XQF,马兵双仕,炮双象,2b1kc3/3P5/2N1b4/9/9/9/9/9/9/3AKA3 w,1,1,d8e8
车马炮类(50).xqf,车马炮,车炮卒双士,3k3r1/4a4/3a5/6N2/9/9/9/3RC4/4p2c1/5K3 w,1,1,g6f8
重炮杀法01.XQF,双炮三兵仕相全,双马炮三卒士象全,3akab2/3n5/1c1C4n/6p1p/2b1C4/p5P2/4P3P/4B4/4A4/2BA1K3 w,1,1,d7d4
铁门闩杀法01.XQF,双车马双炮多兵仕相全,双车马双炮三卒士象全,1r1nkab2/4a1c2/4b4/p1R1C3p/7r1/2P2R3/P1c1P1p1P/5C3/4N4/2BAKAB2 w,1,1,e1f3
闷宫杀法01.XQF,双车双马双炮兵仕相全,双车双马双炮多卒双士象,CRba1k3/4an3/n3N1rc1/N1p1p3p/6r2/2c6/6p1P/4C4/5R3/2BAKAB2 w,1,1,a6c7
闷宫杀法02.XQF,车马炮双兵仕相全,车马炮三卒双士,2r1ka3/3ca4/2n6/pR6p/9/9/P5p1P/2NC5/9/2BAKAB2 w,1,1,d2d7
闷宫杀法04.XQF,双马双炮三兵仕相全,双马双炮双卒士象全,3ckab2/2Cna4/4b1n2/8p/p3P4/3N4P/c1P6/N3C4/4A4/2B1KAB2 w,1,1,d4f5
桔中秘残局谱_车胜士象全（第8局）045.xqf,单车,士象全,3k5/4a1R2/5a2b/9/6b2/9/9/9/9/4K4 w,1,2,e0e1 g5e7
三子归边杀法03.XQF,车马炮双仕,车马炮卒士象全,2bak1b2/4a4/2c3N2/9/7C1/6r2/5R3/4n1p2/4A4/3A1K3 w,2,3,h5h9 g9i7 f3f9|h5h9 e8f9 f3f9
二鬼拍门杀法02.XQF,马双兵仕,马卒士象全,3ak1b2/1N1PaP3/4b4/9/9/9/9/6n2/5p3/3AK4 w,1,3,d8d9 e8d9 b8d7
二鬼拍门杀法03.XQF,双兵,双卒士双象,4kab2/3P1P3/4b4/9/9/9/9/9/3p2p2/4K4 w,2,3,e0f0 d1e1 f8f9|e0f0 f9e8 f8e8
借将杀法示意图01.XQF,车兵双相,车双卒,4k4/9/9/p7p/2P2R3/r8/9/4B4/9/2B1K4 w,1,3,f5e5 e9f9 e2c4
借将杀法示意图02.XQF,双马炮多兵仕相全,双马炮三卒士象全,C3kab2/2c1an3/1N6b/2NP5/p1p2P3/9/PnP3p2/3AB4/9/4KAB2 w,1,3,e2c0 f8e6 d6e6
