10步杀8152,5c3/5k3/2P1b1P2/5P3/6b2/9/9/9/9/3K5 w
10步杀8612,4k4/4a4/4P4/9/9/9/9/4B4/9/4K4 w
10步杀8613,3k5/4a4/9/4PP3/9/9/p8/9/4K4/9 w
10步杀8614,5kb2/2P1a4/6P2/5P3/2b6/9/4p4/9/4K4/9 w
11步杀7637,9/1P1k5/4b4/3P5/6b2/9/9/9/9/4K4 w
11步杀8151,4k4/4a4/5aP2/4P4/9/6B2/9/9/3K5/5p3 w
13步杀8153,9/3kaP3/4Pa3/2P2n3/9/9/9/9/9/4K4 w
13步杀9081,9/4k4/4b4/3PP4/9/9/4p4/9/9/4K4 w
18步杀9956,1P3a3/3k5/3a5/2P6/9/9/9/9/9/5K3 w
1步杀1,4k4/5P3/9/9/9/9/9/9/3K5/9 w
1步杀10,3ak1b2/4n1P2/3a5/9/9/9/9/9/9/4K4 w
1步杀11,4kab2/3Pn4/4b4/9/9/9/9/9/4A4/3K5 w
1步杀12,5a3/3r1k3/5aP2/9/9/9/9/9/9/4K4 w
1步杀13,3k5/4P4/3P5/9/9/9/9/9/9/4K4 w
1步杀14,4k4/3PaP3/4b4/9/2b6/9/9/9/9/5K3 w
1步杀15,4k4/3P1P3/3ab4/9/2b6/9/9/4B4/4A4/3A1K3 w
1步杀16,2P1k4/4cP3/5a3/9/9/9/9/9/9/3K5 w
1步杀17,4kab2/3P1P3/4c4/9/9/9/9/9/4p1p2/5K3 w
1步杀18,3a5/2P6/3kn4/4P4/6b2/9/9/4B4/4A4/3AK4 w
1步杀19,5k3/4P1n2/5P3/9/9/9/9/9/3p1p3/2p1Kc3 w
1步杀2,3k5/9/3aP4/9/9/9/9/9/9/3K5 w
1步杀3,3ak4/4a1P2/9/9/9/9/9/9/9/4K4 w
1步杀4,4ka3/2P1a4/9/9/9/9/9/9/9/4K4 w
1步杀5,3ak1P2/4a4/9/9/9/9/9/4B4/9/4K4 w
1步杀6,4ka3/2P1a4/9/9/9/9/9/5A3/9/4K4 w
1步杀7,3c5/3k5/2Pa5/9/9/9/9/9/9/4K4 w
1步杀8,3k5/3nP4/9/9/9/9/9/9/9/4K4 w
1步杀9,3aka3/4n4/9/9/4P4/9/9/9/9/4K4 w
2步杀500,5aP2/3P1k3/5a3/9/9/9/9/9/5K3/9 w
2步杀501,3ak1b2/4a4/5P3/8P/9/9/9/9/9/4KA3 w
2步杀502,4k1b2/3P1P3/3ab4/9/9/9/9/3A5/9/4K4 w
2步杀503,5k3/3PP4/9/9/6n2/9/9/9/9/3AK4 w
2步杀504,5k3/4P1P2/5n2b/9/9/5c3/9/9/3p1p3/4K4 w
2步杀505,3k1P3/5P3/3r5/9/9/6B2/9/9/5p3/4K4 w
2步杀506,3a2P2/4ak3/4P1P2/5n3/9/9/9/9/2pp5/c3KA3 w
3步杀1355,3ak4/9/3P5/9/9/9/9/9/5K3/9 w
3步杀1356,4ka3/5P3/9/9/9/2B6/9/9/3K5/9 w
3步杀1357,9/5k3/4P4/9/9/9/5p3/9/4AK3/9 w
3步杀1358,5a3/3kn4/3aP4/9/9/9/9/9/9/3K5 w
3步杀1359,1Pb1k4/3P5/b8/9/9/9/9/4B4/9/4K4 w
3步杀1360,3ak4/4aP3/6P2/9/2b6/9/9/9/4K4/9 w
3步杀1361,5a3/3k1P3/4b4/3P5/2b6/9/9/9/9/3K5 w
3步杀1362,5kb2/3P5/3a1P3/9/6b2/9/9/9/9/4K4 w
3步杀1363,5k3/1c2P4/4P4/9/9/9/9/4B4/4K4/9 w
3步杀1364,4k4/5P3/4P4/9/2n6/9/9/9/9/4K4 w
3步杀1365,4ka3/2PPn4/b4a3/9/9/9/9/9/4K4/9 w
3步杀1366,5k3/4P4/5P3/4n4/9/9/4p4/8B/4K4/9 w
3步杀1367,3k5/4PP3/5P3/9/9/9/9/9/3p1p3/2p1K1p2 w
3步杀1369,3kcP3/2P1P4/1n3n3/9/9/9/9/5p3/4p4/5K3 w
3步杀1370,2PP1kb2/4Pnr2/3n3cb/9/9/6B2/9/4B1p2/3p5/3A1K3 w
3步杀1371,3nk4/3PaP3/2naP4/9/9/9/9/9/4r1r2/5K3 w
3步杀1372,3kcP3/2P1P4/1n3n3/9/9/9/9/9/4r1r2/5K3 w
4步杀2954,5k3/3P5/5a3/9/9/9/9/5A3/9/5K3 w
4步杀2955,4k4/3Pa1P2/4b4/9/6b2/9/9/9/9/4K4 w
4步杀2956,4ka3/3P1P3/4b4/9/9/9/9/9/3p2p2/4K4 w
4步杀2957,c3k4/9/3PP4/9/9/9/9/9/9/5K3 w
4步杀2958,4ka3/2P1n4/3P1a3/9/2b6/9/9/9/4K4/9 w
4步杀2960,2Pa1k3/5n3/4P4/9/9/9/2p1p4/Bn1AB4/4AK3/9 w
4步杀2961,3a4c/4n1P2/5k3/3PP4/6b2/9/9/9/5p3/4K4 w
4步杀2962,3ak1b2/4arP2/5P2b/9/6P2/9/9/9/9/4K4 w
4步杀2963,2P2k3/3PP4/9/5P3/9/9/9/9/4p1r2/5K3 w
5步杀4484,3ak4/9/9/3P5/9/9/9/9/9/5K3 w
5步杀4485,4k4/2P3P2/9/4n4/2b3b2/9/9/9/9/4K4 w
5步杀4486,2ba5/4a1P2/5k3/4P4/2b6/6B2/9/9/1p2Ap1p1/3K1ABn1 w
5步杀4487,2b1ck3/3Pa1P2/c3bn3/9/9/9/p8/3pB4/1rr1A4/2BAK4 w
5步杀4488,2P1k4/3P5/4P4/5P3/9/9/9/9/4p1r2/5K3 w
6步杀2959,3k5/4P4/3P5/4n4/9/4p4/9/9/9/2B1K4 w
6步杀5805,9/2P6/4k4/9/9/9/9/9/9/5K3 w
6步杀5806,9/6P2/4k4/9/9/9/9/9/9/3K5 w
6步杀5807,3k1cn2/1P2PP3/b3b4/9/n8/9/9/5p3/2p3p2/4K4 w
7步杀1368,4ka3/3P1P3/3a2P2/9/4n4/9/9/9/9/4K4 w
7步杀6928,5a3/3kaP3/9/2P6/9/9/9/9/9/4K4 w
7步杀6929,4k4/2P2P3/4ba3/9/9/9/9/B8/9/5K3 w
7步杀6930,4ka3/3Pa4/4b4/3P5/9/9/9/9/9/4K4 w
7步杀6931,9/4k1P2/9/3P5/4n4/9/9/9/3K5/9 w
8步杀7636,5a3/3ka4/2P6/5P3/9/9/9/9/9/4K4 w
8步杀7638,3ak1b2/3P5/4b4/4P4/9/9/9/9/9/4K4 w
8步杀7640,3a5/3Pak3/4b1P2/5P3/2b6/9/9/9/9/5K3 w
9步杀7639,3k5/4P4/9/9/4P1b2/9/9/7p1/5K1c1/9 w
9步杀8143,9/9/5k3/2p1P1p2/9/5pB2/9/3A5/9/2B1K4 w
9步杀8144,9/9/5k3/2p1P1p2/9/5pB2/9/3A5/9/2B1Kc3 w
9步杀8145,4k4/5P3/3a4b/9/4P4/9/9/9/9/4K4 w
9步杀8146,9/3k1P3/2P1b4/9/2b6/9/9/9/9/5K3 w
9步杀8147,2b1k4/4aP3/4b4/5P3/9/9/9/9/4K4/9 w
9步杀8148,2b1k4/4aP3/4b4/5P3/9/9/9/9/9/4K4 w
9步杀8149,4ka3/3Pa4/8b/9/9/2P6/9/9/9/4K4 w
9步杀8150,5k3/4a1P2/9/4P4/9/9/4p4/9/9/4K4 w
