title, old_name, hint, fen, moves
1步杀, 1步杀309, 车胜士, 1R7/5k3/5a3/9/9/9/9/9/5K3/9 w, b9e9
1步杀, 1步杀310, 车胜双士, 5k3/R3a4/5a3/9/9/9/9/9/9/5K3 w, a8e8
1步杀, 1步杀311, 车胜双士, 7R1/4a4/3ak4/9/9/9/9/9/5K3/9 w, h9e9
1步杀, 1步杀312, 车士胜双士, 3ak4/4a4/9/9/9/9/9/4R4/9/4KA3 w, e2f2
1步杀, 1步杀313, 车士胜双士, 4ka3/4a4/9/9/9/9/9/4K4/9/3AR4 w, e2d2
1步杀, 1步杀314, 车胜炮双士, 3aka3/4c4/8R/9/9/9/9/9/5K3/9 w, i7e7
1步杀, 1步杀315, 车胜炮双士, 3akc3/4a4/9/6R2/9/9/9/9/9/4K4 w, g6g9
1步杀, 1步杀316, 车胜马士象, 3a5/4nk3/4b4/6R2/9/9/9/9/9/4K4 w, g6f6
1步杀, 1步杀317, 车象胜马双士, 3aka3/4n4/7R1/9/9/9/9/4B4/9/5K3 w, h7e7
1步杀, 1步杀318, 车胜双马士, 3a5/3kn4/3n5/6R2/9/9/9/9/9/3K5 w, g6g8
1步杀, 1步杀319, 车胜车, r4k3/9/9/9/9/4R4/9/9/9/4K4 w, e4f4
1步杀, 1步杀320, 车胜车士, 5r3/5k3/5a3/9/9/6R2/9/9/9/4K4 w, g4g8
1步杀, 1步杀321, 车胜车双士, 4k4/4a4/5a3/9/9/9/7R1/9/5r3/4K4 w, h3h9
1步杀, 1步杀322, 车胜车卒, 3k5/9/9/9/9/2R6/9/9/3p1r3/4K4 w, c4d4
1步杀, 1步杀323, 车胜车卒双士象, 3ak1bR1/4a4/9/9/9/9/9/9/3r1p3/4K4 w, h9g9
1步杀, 1步杀324, 车双士胜双车双士, 4kar2/2R1a4/9/9/9/9/9/5A3/7r1/3AK4 w, c8c9
1步杀, 1步杀482, 双车胜双车象, 3k5/1R7/b8/9/9/2R6/9/9/3r1r3/4K4 w, c4c9
1步杀, 1步杀483, 双车胜双车双士, 2R6/3ka4/1R1a5/9/9/9/9/9/3r1r3/4K4 w, b7b8
1步杀, 1步杀484, 双车双象胜双车, 9/4k4/9/1R7/9/9/5R3/4B4/2r1r4/2BK5 w, b6e6
1步杀, 1步杀485, 双车双象胜双车炮卒双士, 5a3/4a1rr1/3k1c3/4R4/9/2B6/9/2R1B4/4p4/5K3 w, c2d2
