10步杀8688,4P4/3kcNR2/9/9/5c3/9/4n4/4p4/3p1p3/4K4 w
10步杀8689,5c2c/2P1k4/9/4N4/2b6/7R1/1r7/9/2p1p4/3K5 w
10步杀8690,2b1k1N2/1P7/9/9/9/5R3/9/1r1n5/4p4/5K3 w
10步杀8691,2Ra3P1/4k4/9/4N4/9/2B6/n8/4B4/r3p4/3K5 w
10步杀8692,2R6/4k4/3a1a3/4P1N2/9/2B6/9/2nAB4/3KAp3/2r6 w
10步杀8693,6P2/4a2r1/4k4/9/4N4/9/9/2RAB1n2/5p3/2BAK3c w
10步杀8694,5a3/1Pnk5/5a3/4Rc3/2N6/9/9/3p5/1r2p4/3K5 w
10步杀8695,4P4/3N1k3/9/9/9/4Rcp2/9/2np5/2r1pc3/3K5 w
10步杀8696,5k1n1/3P5/9/4RcN1n/9/9/1r7/3p5/4p4/3K5 w
10步杀8697,1c4R2/1P7/1n2k4/6pNn/2b6/9/9/9/4p1r2/1r1c1K3 w
10步杀8698,2P1k4/7NR/9/4P4/9/5c3/4c4/3n5/4p1p2/5K3 w
10步杀8699,3PNk3/4a4/4RaP2/9/9/9/9/4p1r2/9/3K5 w
10步杀8700,1P3NP2/4k4/9/9/9/3R5/7r1/5p3/4p4/5K3 w
10步杀8701,5R3/4k4/2P6/9/3P1Nb2/9/9/5p3/4p1r2/5K3 w
10步杀8702,5Rb2/4k4/2P6/9/3P1N3/9/9/5p1r1/4p4/5K3 w
10步杀8703,6R2/2P1a4/4k1P2/9/4N4/9/1r7/3p5/4p4/3K5 w
10步杀8704,5a3/9/4kaN2/2PR5/4P4/9/1r7/3p5/4p4/3K5 w
10步杀8705,4R4/9/1P1k5/5P3/8N/5n3/8r/5p3/4p4/5K3 w
10步杀8706,7P1/5k3/3P2nN1/9/4R4/9/1r7/9/2p1p4/3K5 w
10步杀8707,4nNb2/4k4/3P5/2R2P3/9/9/7r1/5p3/4p4/5K3 w
10步杀8708,3a1Pb2/4a4/1n1k5/8N/3P5/9/8r/5p3/4p4/1R3K3 w
10步杀8709,5a3/3P3P1/3k3c1/2R1nN3/9/9/8r/5p3/4p4/5K3 w
10步杀8710,2b1r1b2/3k5/2P6/5R3/3NP4/9/1r7/9/3p1p3/4K4 w
10步杀8711,2P6/3k2PP1/9/4R4/2N6/9/9/1r1p5/4p4/3K5 w
10步杀8712,9/5k3/3P5/3PR4/3P5/7N1/7r1/5p3/4p4/5K3 w
10步杀8713,3P5/2P1k1cN1/9/3P1R3/9/9/9/1r1p5/4p4/3K5 w
10步杀8714,6P2/2P6/4kaN2/1c1R5/4P4/9/9/9/4p1r2/3c1K3 w
10步杀8715,3R5/4k1P2/6P1N/9/4P4/7n1/8r/5p3/4p4/5K3 w
10步杀8716,2R6/5k3/3aN1P2/5n3/4PP3/9/7r1/5p3/4p4/5K3 w
10步杀8717,3k5/4c4/3P1a3/5P3/5P3/7N1/9/9/2pR1p3/3K1nrc1 w
10步杀8718,3k5/5R3/2P1b1PP1/4c4/4N4/4p4/4r4/4r4/4n4/4K4 w
10步杀8879,6R2/2Nck4/5P3/9/9/3N5/9/3p5/1r1np4/3K5 w
10步杀8880,5RPrN/4k4/5N3/9/9/9/9/9/9/ccpp1Knnr w
10步杀8881,6R2/3Nak3/4P4/4p4/3Pr4/4N4/9/9/1r1p1p3/4K4 w
10步杀8882,1cbak1P2/1Pr1aR3/9/5N3/9/9/2N6/9/3cp2r1/5K3 w
10步杀8883,c1b3b2/4k1N2/1N1a5/5R2p/6p2/1nPc5/7rP/4B4/1r2A4/3K1AB2 w
10步杀8884,5k3/2N3P2/9/3P1Np2/3Rpn3/3p2p2/3r2r2/2cpnK3/9/9 w
10步杀8885,9/3P5/4k4/3R5/1N2P4/rccpNpp2/4n4/4K4/4n4/4r4 w
10步杀8886,9/9/1NPckaPn1/4p4/pnrPcRNrp/4p4/4p4/4B4/4K4/9 w
10步杀8977,2Rakr3/3c5/7n1/P8/2pN5/6R2/5p3/2r6/4A4/4KA3 w
10步杀8978,1cb1ka1P1/4a2R1/5R3/9/9/5N1n1/9/r8/3r1p3/4Kc3 w
10步杀8979,4P1R2/1c2a1R2/5kn1b/2r3c2/6n1N/9/9/9/3p1r3/4K4 w
