title, old_name, hint, fen, moves
1步杀, 1步杀443, 车马炮兵士象胜马炮双卒双士, 5cN2/4ak3/C2a5/8p/9/2B5R/4P4/2nAK4/5p3/9 w, g9h7
1步杀, 1步杀444, 车马炮兵双士双象胜双马炮卒双士象, n2a5/3ka3R/b1P6/5N3/9/6B2/9/5An1B/c3A1p2/4CK3 w, c7d7
1步杀, 1步杀445, 车马炮兵胜车马双卒士, 3k1a3/9/1r2P4/9/3NC4/9/9/4p4/2nR1p3/4K4 w, d5c7
1步杀, 1步杀446, 车马炮兵胜车马炮士象, 6b2/3ka4/2N1P4/1R7/9/9/9/9/5rnc1/3CK4 w, b6b8
1步杀, 1步杀447, 车马炮兵胜车马炮卒双士, 3a5/2Cnak3/5cP2/2N6/9/5R3/9/9/2r2p3/4K4 w, f4f7
1步杀, 1步杀448, 车马炮兵士双象胜车马炮卒士双象, 2b1kc3/2NRa1P2/5n3/9/6b2/9/9/8B/3pAr3/3CK1B2 w, d8d9
1步杀, 1步杀449, 车马炮兵双象胜车马炮双卒双士象, 3a1kb2/1P2a1R2/3cnrN2/C8/9/9/9/4B4/2p1p4/3K2B2 w, a6a9
1步杀, 1步杀450, 车马炮兵双士双象胜车马双炮卒双士双象, 4k1b2/1N2aP3/3c1a2b/8R/9/2B6/9/3A5/3p2r2/1cnAKCB2 w, f8f9
1步杀, 1步杀451, 车马炮兵士双象胜车双马炮双卒双士象, 5a1C1/3ka4/2P1bn3/5N3/9/9/1R7/4B1n2/1p1rAp3/1c2K1B2 w, c7c8
1步杀, 1步杀452, 车马炮兵胜双车马卒士, 4P2R1/3k5/3arN3/9/9/3r5/2n6/3C5/4p4/3K5 w, h9h8
1步杀, 1步杀453, 车马炮兵胜双车马卒双象, 9/4k1P2/b2Nb4/7r1/9/9/9/3n5/4p3r/C1R2K3 w, c0c8
1步杀, 1步杀454, 车马炮双兵胜炮多卒双士, 3a2P2/5R3/2Nak4/6P2/6c2/4C4/9/3p5/4p4/1p1K1p3 w, c7d9
1步杀, 1步杀455, 车马炮双兵士象胜车三卒双士双象, 5ab2/1R2a4/1N1k5/p3P3p/6b2/6B2/P8/4C2r1/5p3/3AK4 w, b7c5
1步杀, 1步杀456, 车马炮双兵士胜车双马卒士, C3R4/3k5/3a2N2/p8/8P/9/P7n/1nr6/3KA4/9 w, g7e6
1步杀, 1步杀457, 车马炮三兵双士胜车马炮三卒双象, 3k2b2/2N5C/4b4/p3p3p/9/P4R3/1nr1P3P/9/4A4/c3KA3 w, f4d4
1步杀, 1步杀458, 车马炮多兵双士象胜双马炮三卒双象, C1b1R4/3k5/1c2b4/4pN2p/5np2/9/P3P1P1P/3nB4/3KA4/5A3 w, e9d9
1步杀, 1步杀463, 车马双炮双兵胜双马炮三卒双士双象, 4kab2/4aRNnC/4b3c/4pPp2/5P1C1/9/2n6/9/4p4/3K5 w, f8f7
1步杀, 1步杀464, 车马双炮双兵双士双象胜车马双炮三卒双士象, 3a1aC2/4k4/b1n4PR/p3p1N2/9/9/P3c4/C1p1B4/c3A4/1r1AK1B2 w, i7i8
1步杀, 1步杀465, 车马双炮三兵双士胜双车炮多卒双士双象, 2baka3/4r4/4b4/p2R4p/2p6/9/2P3P1P/3pC3N/4A4/cr1CKA3 w, d6d9
1步杀, 1步杀478, 车双马炮双兵双士双象胜车马双炮多卒双士象, 2ba2P2/2N1a4/5k3/p5N2/4p4/P8/R3c2pc/2n1B3C/1rp1A4/3K1AB2 w, c8d6
1步杀, 1步杀479, 车双马双炮三兵双士胜车双马炮多卒双士双象, 3akab2/1N1Rn4/b5n2/p3p3p/9/2r6/P3P1p1P/2C1C1N2/4A4/3AK1c2 w, d8d9
1步杀, 1步杀480, 车双马双炮三兵双士象胜车双马炮多卒双士双象, 2rakab2/3Rn4/3N2n2/p3p3p/2b6/2B6/P3P1p1P/2C1C1N2/4A4/3AK1c2 w, d8a8
1步杀, 1步杀481, 车双马双炮三兵胜双车马双炮三卒, 1c7/CN1rnk1N1/1P7/pP7/CP7/9/9/9/5p2r/cRp1K4 w, b8d9
1步杀, 1步杀494, 双车马炮兵士胜双车马炮卒双士, 7c1/r2kaP3/r2a5/N8/C8/9/3R5/6n2/5p3/1R1AK4 w, a5d5
1步杀, 1步杀495, 双车马炮双兵士胜双车马炮多卒双士双象, 2bakab1r/7R1/6N2/4C3p/p1p1n4/5p3/4P2RP/9/r8/3AK1c2 w, h8e8
1步杀, 1步杀496, 双车马炮双兵双士双象胜双车马炮多卒双士双象, 4kab2/3RaRN2/4b1n2/p3p3p/2p3p2/9/Pr2c1r1P/4C4/4A4/2B1KAB2 w, f8e8
1步杀, 1步杀497, 双车马双炮兵胜车双炮双卒, 9/4c4/3k4c/8R/3P5/7N1/9/1C7/1r2p4/1R1KCp3 w, i6d6
1步杀, 1步杀498, 双车马双炮三兵双士双象胜双车马炮三卒双士象, 1rbakcR2/4a4/4n4/pC2C3p/9/9/P1p3P1P/6Nr1/5R3/2BAKAB2 w, g9f9
1步杀, 1步杀499, 双车双马炮双兵双士双象胜双车双马炮三卒双士象, 1r1nka3/4a4/9/p1P5p/2b1N1R2/9/PcN3p1n/7C1/7r1/1RBAKAB2 w, e5d7
2步杀, 2步杀1121, 车马炮兵胜马双炮三卒双士, 3ak1P2/4a2n1/4c1N2/4C4/9/9/9/3p1R3/4pp3/3K3c1 w, f2f9 h8f9 g9f9
2步杀, 2步杀1123, 车马炮兵胜车炮卒士, 3k5/2P1a4/1c7/1r3N3/9/9/6R2/C8/4p4/5K3 w, g3g9 e8f9 g9f9
2步杀, 2步杀1124, 车马炮兵胜车炮双卒, 5k3/1R7/4P4/r1N6/2Cc5/9/9/9/2p1p4/3K5 w, c6d8 f9e9 b8b9
2步杀, 2步杀1125, 车马炮兵胜车炮双卒, 9/5R3/4k4/3PN4/2Cc5/9/9/9/4p1pr1/5K3 w, d6d7 e7d7 f8f7
2步杀, 2步杀1126, 车马炮兵胜车炮双卒士, 5R3/4k4/c2a5/6N2/3P5/9/4C4/9/r2p1p3/4K4 w, g6e7 e8e7 d5e5
2步杀, 2步杀1127, 车马炮兵双士象胜车双炮双卒双士象, 5c3/4a4/b2a1k3/r8/8N/2R6/4P4/4B4/3pAp3/1C1AK3c w, b0b7 f7f8 i5h7
2步杀, 2步杀1128, 车马炮兵双士双象胜车双炮双卒双士象, 3ac4/3k4C/3ab1NP1/9/9/6B2/9/3RB4/3pAp3/c1rAK4 w, g7e8 d8e8 h7h8
2步杀, 2步杀1129, 车马炮兵士双象胜车双炮多卒双士双象, 2b2ar2/1R2a4/1N1kb4/9/2p3p2/2B3P2/3c5/4B4/2p2p1C1/c3KA3 w, h1h7 g9g7 b7c5
2步杀, 2步杀1130, 车马炮兵双士象胜车马卒双士双象, 1r3ab2/3kaP3/2R6/2N6/2b1p4/2C6/9/1n1AB4/4A4/3K5 w, c7b7 d8d9 b7b9
2步杀, 2步杀1131, 车马炮兵胜车马三卒, 9/4k3P/9/3R5/5Np2/4C4/9/3p2n2/4p1r2/5K3 w, f5g7 e8e9 g7e6
2步杀, 2步杀1132, 车马炮兵士胜车马炮象, 8R/4k4/2PN5/9/6b2/9/1C7/r8/3c1K3/3A2n2 w, i9e9 e8d8 b3d3
2步杀, 2步杀1134, 车马炮兵胜车马炮卒, 3k3rR/4P2N1/9/9/9/9/9/6n1C/5p3/4K2c1 w, i9h9 h0h9 i2i9
2步杀, 2步杀1135, 车马炮兵士胜车马炮卒双士双象, R2ak1b2/3P5/2nab4/9/9/9/9/4c4/3p1r1N1/2CAK4 w, a9d9 c7d9 c0c9
2步杀, 2步杀1136, 车马炮兵士双象胜车马炮卒双士象, 2b1ka3/3RaP3/9/6N2/9/6C2/9/6n1B/5p1r1/1cBAK4 w, g4e4 e8f7 f8e8
2步杀, 2步杀1138, 车马炮兵双士双象胜车马炮卒双士双象, 2bk1a3/7PC/n2Nba3/9/9/9/9/3RBA3/5pr2/2BAK3c w, d7b8 d9e9 d2d9
2步杀, 2步杀1139, 车马炮兵双士象胜车马炮双卒双象, 3k3C1/4P1N2/3cb4/9/1n4b2/9/9/3AB4/3p1p3/2R1KA1r1 w, e8e9 d9d8 c0c8
2步杀, 2步杀1140, 车马炮兵士象胜车马双炮双卒士双象, 3akc3/7R1/8b/4pN3/C5b2/9/2P6/9/1nr1p4/3K1ABc1 w, a5a9 d9e8 h8e8
2步杀, 2步杀1141, 车马炮兵双士双象胜车马双炮双卒士象, 3nkabC1/4N4/9/2p1R3p/9/9/P1c6/B4A2B/1r7/c3KA3 w, e8c7 d9e7 e6e7
2步杀, 2步杀1142, 车马炮兵象胜车双马双卒双士象, 2b1ka3/3Ra4/4N4/4n4/9/2P6/9/2CKB4/3ppn3/4r4 w, c2c9 e6f4 e7g8
2步杀, 2步杀1143, 车马炮兵双士双象胜车双马炮双象, 2b2kb2/3NR4/1n7/9/9/9/4P4/4C1n1B/r3A4/1cBAK4 w, e8e9 f9f8 e9f9
2步杀, 2步杀1144, 车马炮兵双士象胜车双马炮卒双士双象, 1NR3b2/3ka2nc/5a2b/9/9/2P6/9/4B4/2nrAp3/4KAC2 w, c9g9 d8d7 g0g7
2步杀, 2步杀1145, 车马炮兵胜双车卒双士双象, 2bk1a3/1PR1a4/2Nrb4/4C4/9/9/9/2r6/5p3/4K4 w, c8c9 d9d8 b8c8
2步杀, 2步杀1146, 车马炮兵胜双车马三卒, 1P1R5/4k4/3N5/9/7C1/9/5p3/5p1r1/4p1rn1/5K3 w, d7f6 e8e7 d9d7
2步杀, 2步杀1147, 车马炮兵胜双车马多卒, 9/5R3/2P1k4/3n5/9/3p1p3/2N1p1r2/1C3p1r1/4p4/5K3 w, b2b7 d6b7 c3d5
2步杀, 2步杀1148, 车马炮兵胜双车双马卒士, R2nk1rr1/1N2a2PC/9/9/9/9/8n/9/4p4/5K3 w, a9d9 e8d9 b8d7
2步杀, 2步杀1149, 车马炮兵胜双车双马双炮三卒, 5kN2/4R4/9/9/2rP1C3/1r5c1/3np4/3K1p3/3npc3/9 w, g9f7 f1f5 f7h8
2步杀, 2步杀1150, 车马炮双兵胜炮多卒双士, 3a2P2/5R3/3ak4/4N1P2/4c4/4C4/9/3p5/4p4/1p1K1p3 w, e6c7 e5i5 c7d9
2步杀, 2步杀1151, 车马炮双兵胜车双卒象, 4P4/6C2/1N1kbR3/9/4P4/9/9/5p3/4p3r/5K3 w, b7c9 d7d8 f7f8
2步杀, 2步杀1152, 车马炮双兵胜车马双卒, 9/4k4/3R1P3/9/2P6/1nN6/9/3C5/1rp1p4/3K5 w, d7e7 e8d8 c5d5
2步杀, 2步杀1153, 车马炮双兵双士双象胜车马多卒双士双象, 2baR4/3k3C1/2nab4/p3p2N1/2r5p/4P1p2/8P/9/9/2BAKAB2 w, e9e8 d8e8 h6g8
2步杀, 2步杀1154, 车马炮双兵士胜车马炮双卒, 3R5/2P6/3N1k1P1/9/9/3p5/9/5p3/3CA1ncr/5K3 w, h7g7 f7e7 d9e9
2步杀, 2步杀1155, 车马炮双兵胜车马炮双卒双士, 3a1a1C1/6R2/5k1P1/5N1Pn/9/9/9/5p3/4p4/5Kc1r w, h7g7 f7e7 h9h7
2步杀, 2步杀1156, 车马炮双兵胜车马炮双卒双象, 3P5/7Pn/b3k1N1b/9/3R4c/9/9/2Cp5/1r2p4/3K5 w, g7f9 e7e8 d5d8
2步杀, 2步杀1157, 车马炮双兵胜车马炮双卒士双象, 1NbaR4/6P2/5k3/1P3rn2/6b2/9/9/C8/3p1p3/c3K4 w, e9f9 g6f8 f9f8
2步杀, 2步杀1158, 车马炮双兵双士象胜车马炮三卒士双象, 2bk1aR2/5P3/3nb4/3Np4/9/9/4P4/3C5/3pAp2r/4KAB1c w, g9f9 d9d8 d6b7
2步杀, 2步杀1159, 车马炮双兵双士双象胜车马双炮三卒士双象, 2ra1kb2/CN1R5/4b4/4p4/p7p/9/P3c3P/4B1n2/4A4/2BAK3c w, d8f8 f9e9 b8d7
2步杀, 2步杀1160, 车马炮双兵双士双象胜车双马炮双卒双士象, N2ak4/4acr2/4b4/p8/9/4P4/P4R1np/2n1B4/5C3/2BAKA3 w, f3f8 g8f8 a9c8
2步杀, 2步杀1161, 车马炮双兵胜双车马卒双象, 4k4/3P2P2/b2Nb4/7r1/9/9/9/3n5/4p3r/C1R2K3 w, d8e8 e9e8 c0c8
2步杀, 2步杀1163, 车马炮双兵胜双车马炮三卒士, 9/3P1k3/5a3/2N3p2/5R1P1/5C3/1r5r1/2n3p2/3pcK3/9 w, d8e8 f8e8 f5e5
