title, old_name, hint, fen, moves
1步杀, 1步杀421, 车马炮胜双炮士双象, 1Rb1kc3/4a4/4bc3/1N2C4/9/9/9/9/9/3K5 w, b6c8
1步杀, 1步杀422, 车马炮士胜马炮三卒双士, 3a2N2/Cn2ak3/1R7/9/9/9/9/3Ap4/3p1p3/2c1K4 w, b7f7
1步杀, 1步杀423, 车马炮双士胜双马炮卒双士象, C1bakn3/4a4/9/9/3R5/9/9/3A5/5pn1c/3AKN3 w, d5d9
1步杀, 1步杀424, 车马炮双士双象胜车双士象, 2b1ka3/4a4/9/4R4/6N2/9/6r2/9/9/2BAKAB1C w, i0i9
1步杀, 1步杀425, 车马炮胜车双卒双士双象, 2baka3/3R5/3Nb4/9/4p4/1C7/9/9/4p1r2/5K3 w, d8i8
1步杀, 1步杀426, 车马炮双士象胜车双炮士, 9/C3a3R/c3ck3/9/9/2N6/9/4B4/4Ar3/3AK4 w, i8f8
1步杀, 1步杀427, 车马炮胜车马卒双士双象, 2ba1k2C/4a1R1N/4b4/9/9/9/6r2/2n1p4/9/4K4 w, i8g9
1步杀, 1步杀428, 车马炮双士双象胜车马炮双士双象, 2bk1abr1/9/1N1a1R3/9/9/9/9/C3B4/4A3n/2BA1K2c w, f7f9
1步杀, 1步杀429, 车马炮胜车马炮卒双士, 3k5/4aN1r1/3a5/3RC4/9/9/c1n6/9/4p4/3K5 w, d6d7
1步杀, 1步杀430, 车马炮士胜车马炮卒双士, 3k1a3/4aN3/9/7R1/9/9/9/2n1CA3/1r1p5/c3K4 w, h6d6
1步杀, 1步杀431, 车马炮士胜车马炮卒双士, 3k3r1/4aN3/3a5/9/9/3R5/9/4C1n2/3p5/3AK3c w, d4d7
1步杀, 1步杀432, 车马炮双士胜车马炮卒双士象, C2a2b2/3R5/4kaN2/4p4/4n4/9/9/9/2r1Ac3/3K1A3 w, g7f5
1步杀, 1步杀433, 车马炮士胜车双马双卒双士, 3aka1R1/4nrN2/9/9/9/9/9/2n2C3/3p1p3/4KA3 w, h9f9
1步杀, 1步杀434, 车马炮士象胜车双马双卒双士双象, 2bak4/4a4/4b1N1n/4C3p/5R3/9/9/2n1B4/3r1p3/4KA3 w, f5f9
1步杀, 1步杀435, 车马炮士双象胜车双马炮卒双象, 3k2N1R/3n5/b3n4/9/2b6/9/9/4B4/1r1pA4/c3KCB2 w, g9e8
1步杀, 1步杀436, 车马炮双士胜车双马双炮双士, 3akc3/4a4/3n1n3/1C7/4N4/4R4/9/3A5/9/r1c1KA3 w, b6e6
1步杀, 1步杀437, 车马炮双士象胜双车炮卒士双象, 2b1k4/5R3/3abNc2/9/9/9/9/1r3C3/2p1A1r2/3K1AB2 w, f8d8
1步杀, 1步杀438, 车马炮双士象胜双车炮卒双士双象, 2c1k1b2/2NRa4/b2a5/9/9/7r1/9/1C7/4A1p1r/2BA1K3 w, d8d7
1步杀, 1步杀439, 车马炮士胜双车马双士象, 3ak1n2/3Ra4/3Nb1r2/4C4/9/9/9/4r4/4AK3/9 w, d8e8
1步杀, 1步杀440, 车马炮双士双象胜双车马炮双士双象, 2b6/4ak1N1/4ba3/5R3/9/9/9/4BC3/2r1A2nr/c1BAK4 w, f6f7
1步杀, 1步杀441, 车马炮胜双车双马炮士, 3ak4/6Rn1/6n2/3N5/4C4/9/9/2r6/4r4/c4K3 w, g8e8
1步杀, 1步杀442, 车马炮胜双车双马双炮多卒双士双象, R8/3ka2nC/2Nab4/1n7/2b6/9/9/p3p3p/1c1r1p1r1/2p1K1c2 w, a9d9
1步杀, 1步杀459, 车马双炮双士胜双马士, 4C4/9/CR1ak4/9/9/8n/9/3AN4/4AK1n1/9 w, b7b8
1步杀, 1步杀460, 车马双炮胜车炮双卒双象, C1bR5/4Nk1r1/4b4/4C4/9/9/9/9/2pcp4/3K5 w, d9f9
1步杀, 1步杀461, 车马双炮胜车双炮卒双士象, 3ak1C2/3Ra2N1/5c2c/9/2b6/9/9/5C3/4r4/3K2p2 w, h8f9
1步杀, 1步杀462, 车马双炮胜双车马炮多卒, 5k3/1C1NR1r2/8c/4n4/2r6/9/9/5p3/3p2p2/3pCK3 w, e8f8
1步杀, 1步杀471, 车双马炮双士双象胜车马双炮士象, 5k3/2N1a4/4b2n1/9/5N3/4c4/2c2r3/2R1BC3/4A4/2BAK4 w, f5g7
1步杀, 1步杀472, 车双马炮胜车马双炮三卒双象, 6b2/1R4rC1/3k4b/4n4/4N1N2/9/5c3/3p5/2p1pc3/3K5 w, b8b7
1步杀, 1步杀473, 车双马炮胜车双马双炮双卒双象, 2b1kNc1C/3n2R2/b2N5/1r6c/7n1/9/9/5p3/4p4/5K3 w, f9e7
1步杀, 1步杀474, 车双马炮胜车双马双炮三卒士, 9/5k3/3a5/c3Rcpnn/3C5/9/2r3NN1/3p5/4p4/3K5 w, d5f5
1步杀, 1步杀475, 车双马炮胜双车双马双炮双卒象, 3k1Nc2/9/1rnn4b/6N2/9/9/4R4/4r4/2p1Cc3/3K1p3 w, g6f8
