title, old_name, hint, fen, moves
4步杀, 11姝ユ潃9337, 双车马炮胜双车马三卒士双象, 2ba3r1/5k3/b8/1n3N2C/4p4/3R2R2/9/5p1r1/4p4/5K3 w, d4d8 d9e8 f6d7 b6d7 g4f4 d7f6 f4f6
5步杀, 11姝ユ潃9343, 双车马炮胜双车双马双炮三卒象, 3c1c2R/R8/b2k4C/4Nnp2/1n5r1/9/7r1/9/3p1p3/4K4 w, e6f8 f6e8 f8h7 e8g7 h7g9 g7e6 g9f7 h5h7 f7e9
7步杀, 15姝ユ潃7615, 双车双马炮胜双车炮双卒双象, 1cb6/8C/3k1r3/9/2bN5/9/4NR3/r8/4p1p2/5K1R1 w, f3f7 c9e7 f7e7 c5e7 i8i7 e7g5 h0h7 d7d8 h7h8 d8d9 d5c7 d9e9 h8e8
8步杀, 11姝ユ潃7987, 车双马双炮胜三卒双士, 4N4/4a4/4ka2N/9/9/9/8C/C2p5/4pp3/3K3R1 w, i7g6 e7d7 g6e5 d7d8 e5c6 d8d9 c6b8 d9e9 i3e3 e8f9 b8d7 e9e8 h0h8 e8e7 d7e5
8步杀, 11姝ユ潃9180, 车马炮胜双车炮双卒双士, C2a4c/4k4/N2a5/9/9/1R7/5r3/5p3/4p1r2/5K3 w, b4b8 e8e7 a7c6 e7f7 c6e5 f7e7 a9a7 d7e8 b8b7 e8d7 b7b3 d7e8 e5c6 e7d7 b3b7
8步杀, 11姝ユ潃9271, 车双马炮胜双车马双炮双卒双象, 2bk2bc1/9/1R7/3N2c1r/4N4/1C7/1n7/2r6/6p2/3p1K3 w, b7d7 d9e9 d6f7 e9e8 f7g9 e8e9 b4e4 g6e6 e5g6 e6f6 d7e7 e9d9 g6f8 d9d8 e7d7
8步杀, 11姝ユ潃9382, 双车双马双炮胜双车马双炮多卒象, 5R3/4k4/b2cn4/1Np1N4/4p4/4C4/6r2/4cR3/2p1pr3/3K3C1 w, f9f8 e8e9 b6c8 d7d8 f8f9 e7f9 e6d8 e9d9 e4d4 d9e9 h0h9 g3g9 d8f7 e9d9 c8d6
9步杀, 11姝ユ潃9167, 车马炮胜车双卒士, 1C2N4/4a3R/5k3/9/9/9/r8/3p5/4p4/3K5 w, i8i7 f7f8 b9b8 e8d9 e9d7 f8e8 d7f6 e8f8 f6h7 f8e8 h7g9 e8e9 g9f7 e9e8 f7d6 e8e9 i7i9
9步杀, 11姝ユ潃9339, 双车马炮双士象胜双车马炮双卒双士双象, 4ka3/4a4/1r2b2c1/9/2b1p4/2N6/2n4r1/4C1p2/4A4/R1BAK3R w, a0a9 b7b9 a9b9 e8d9 c4e5 h3h0 i0h0 f9e8 h0h7 e7g9 e2e8 e9e8 b9b8 e8e9 e5d7 e9f9 b8f8
9步杀, 15姝ユ潃8266, 车马炮胜车炮卒双士, 3k3r1/4a4/3a5/6N2/9/9/9/3RC4/4p2c1/5K3 w, g6f8 h9h7 f8h7 h1h2 e2e5 h2h6 h7f8 d9d8 f8e6 d8d9 d2a2 e1f1 f0f1 h6h9 e6c7 d9d8 a2a8
10步杀, 11姝ユ潃8735, 车马炮胜车马炮双卒士双象, 2ck2b2/2N1a1r2/4b4/4p4/9/7R1/n8/3C5/4p4/3K5 w, h4d4 e8d7 d4d7 g8d8 d7d8 d9e9 d8f8 e9d9 c8e7 d9e9 e7c8 e9d9 c8d6 d9e9 d2e2 e9d9 f8d8 d9d8 e2d2
10步杀, 11姝ユ潃9171, 车马炮胜车炮双卒双士象, 2bak3C/4a4/6R2/6N2/9/6r2/4c4/9/2p2p3/4K4 w, g7g9 e8f9 g6i7 g4f4 g9g4 e9e8 g4f4 f1f0 e0f0 e8d8 f4d4 d8e8 i7g8 e3f3 d4f4 e8d8 i9i8 d9e8 f4d4
10步杀, 11姝ユ潃9280, 车双马炮胜双车双马双炮三卒双士双象, 2bRra1c1/2N1kn1NC/5a3/2r5c/2b1p4/1n7/9/9/3p1p3/4K4 w, h8f7 f8h7 f7h8 h7f8 h8f9 h9h8 d9e9 e8d8 e9e5 d8d7 c8e9 d7d8 e9f7 d8d7 i8i7 h8h7 f7d8 h7h0 e5e7
10步杀, 11姝ユ潃9335, 双车马炮胜双车卒双士双象, C3kab2/4a4/2R1b4/9/9/1R3Nr2/9/9/3p2r2/4K4 w, c7c9 e8d9 c9c8 d9e8 b4b9 e8d9 c8e8 f9e8 b9b8 e7c9 b8e8 e9f9 e8e9 f9f8 f4e6 f8f7 e6d8 f7f8 e9f9
10步杀, 12姝ユ潃8985, 双车马炮胜车多卒士双象, 5kb2/9/4ba1R1/9/9/2N6/2p6/5p1RC/4p1p1r/5K3 w, h7f7 f9e9 f7f9 e9f9 h2f2 f9e9 f2f9 e9e8 c4d6 e8d8 i2d2 c3d3 f9f8 d8d9 d6b5 d3d2 b5c7 d9e9 f8e8
10步杀, 12姝ユ潃9454, 车马炮胜车双卒士, 1C3a3/6N1R/5k3/9/9/9/r8/3p5/4p4/3K5 w, g8e9 f9e8 i8i7 f7f8 b9b8 e8d9 e9d7 f8e8 d7f6 e8f8 f6h7 f8e8 h7g9 e8e9 g9f7 e9e8 f7d6 e8e9 i7i9
10步杀, 13姝ユ潃9671, 车马炮胜双车炮双卒双士, C3k3c/4a4/2Na5/9/9/1R7/5r3/5p3/4p1r2/5K3 w, c7b9 e8d9 b9a7 e9e8 b4b8 e8e7 a7c6 e7f7 c6e5 f7e7 a9a7 d7e8 b8b7 e8d7 b7b3 d7e8 e5c6 e7d7 b3b7
10步杀, 16姝ユ潃8722, 车马炮胜车三卒双士象, 2bk1a3/4a4/9/2p1N1p2/1R7/4C4/9/9/4p2r1/5K3 w, b5d5 d9e9 e6d8 e8d7 d8f7 e9e8 f7e5 c9e7 e5d7 e7c5 d7e5 c5e7 e5f7 e8f8 d5d8 f9e8 d8e8 f8f9 e4f4
11步杀, 11姝ユ潃8605, 双车双马双炮胜双车双马双炮双卒双象, 2n3bc1/9/4k2n1/2R1N4/4Ncb2/4R1C2/9/4r4/1r2p1p2/2C2K3 w, c6c7 c9d7 c7d7 e7e8 e6g7 f5f7 e5f7 e2e4 f7g9 e8e9 g9f7 e9e8 f7g5 e8e9 g5f7 e9e8 d7d8 e8e7 g7f9 h7f8 g4g7
11步杀, 11姝ユ潃8723, 车马炮胜车炮卒士象, 2bk4C/9/3a5/5cN2/9/1R7/9/9/3p1r3/4K4 w, g6f8 d7e8 b4d4 f6d6 d4d6 d9e9 f8h9 f1f9 d6d8 d1d0 e0e1 d0e0 d8e8 e9d9 i9f9 c9e7 h9f8 e0d0 e8e7 d9d8 e7d7
11步杀, 11姝ユ潃9168, 车马炮胜车双卒双士, 1C1a5/3k5/3a5/9/2N6/3R5/7r1/5p3/4p4/5K3 w, c5e6 d8e8 e6g7 e8d8 g7f9 d8e8 d4e4 e8f8 e4f4 f8e8 f9g7 e8e7 b9b7 d7e8 g7f5 e7f7 f5d6 f7e7 d6c8 e7d7 f4d4
11步杀, 11姝ユ潃9169, 车马炮胜车炮双卒, 9/1C1k5/9/9/4N4/3c5/3r5/3p5/4p4/3K2R2 w, g0g8 d8d9 g8g9 d9d8 e5f7 d8d7 f7e9 d7e7 g9g7 e7e8 e9c8 d4d8 c8d6 d8d7 g7g8 e8e9 d6f7 e9f9 f7d8 f9e9 g8g9
11步杀, 11姝ユ潃9170, 车马炮胜车炮双卒, 9/5k1C1/9/9/4N4/9/5c3/4p4/3p1r3/2R1K4 w, c0c8 f8f9 c8c9 f9f8 e5d7 f8f7 d7e9 f7e7 c9c7 e7e8 e9g8 f3f8 g8f6 f8f7 c7c8 e8e9 f6d7 e9d9 d7f8 d9e9 c8c9
